           3.793 (12.327 %)
           3.461 (14.766 %)
           0.585 ( 2.661 %)
           0.077 ( 0.364 %)
           0.078 ( 0.378 %)
           0.111 ( 0.609 %)
           0.063 ( 0.354 %)
           0.070 ( 0.391 %)
           0.086 ( 0.485 %)
           7.183 (37.768 %)
           0.051 ( 0.286 %)
           0.109 ( 0.532 %)
           0.090 ( 0.510 %)
           0.072 ( 0.350 %)
           0.062 ( 0.348 %)
           0.058 ( 0.325 %)
           0.105 ( 0.591 %)
           0.101 ( 0.571 %)
           0.066 ( 0.371 %)
           0.107 ( 0.601 %)
           0.074 ( 0.416 %)
           0.086 ( 0.487 %)
           0.033 ( 0.167 %)
           0.074 ( 0.416 %)
           9.666 (47.516 %)
           0.102 ( 0.572 %)
           0.073 ( 0.413 %)
           0.060 ( 0.339 %)
           0.072 ( 0.406 %)
           0.069 ( 0.386 %)
          16.298 (65.514 %)
           0.094 ( 0.455 %)
           0.100 ( 0.487 %)
           0.075 ( 0.420 %)
           0.065 ( 0.366 %)
           0.056 ( 0.315 %)
           0.077 ( 0.434 %)
           0.100 ( 0.561 %)
           0.109 ( 0.613 %)
           0.088 ( 0.493 %)
           0.053 ( 0.299 %)
           0.060 ( 0.340 %)
           0.074 ( 0.416 %)
           0.069 ( 0.389 %)
           0.086 ( 0.483 %)
           0.068 ( 0.382 %)
           0.089 ( 0.501 %)
           0.083 ( 0.470 %)
           0.091 ( 0.516 %)
           0.105 ( 0.593 %)
           0.069 ( 0.386 %)
           0.097 ( 0.546 %)
           0.064 ( 0.359 %)
           0.089 ( 0.500 %)
           0.101 ( 0.555 %)
           0.062 ( 0.339 %)
           0.087 ( 0.489 %)
           0.071 ( 0.400 %)
           0.088 ( 0.493 %)
           0.078 ( 0.436 %)
           0.090 ( 0.508 %)
           0.059 ( 0.326 %)
           5.761 (26.978 %)
           2.878 (14.314 %)
           0.094 ( 0.458 %)
           0.079 ( 0.445 %)
           0.089 ( 0.486 %)
           0.074 ( 0.404 %)
           0.076 ( 0.426 %)
           0.082 ( 0.462 %)
           0.113 ( 0.637 %)
           2.454 (13.242 %)
           0.059 ( 0.321 %)
           0.064 ( 0.358 %)
           0.066 ( 0.372 %)
           0.080 ( 0.449 %)
           0.075 ( 0.420 %)
           0.081 ( 0.456 %)
           2.456 (13.315 %)
           1.040 ( 5.642 %)
           0.069 ( 0.389 %)
           0.070 ( 0.342 %)
           0.077 ( 0.435 %)
           0.048 ( 0.271 %)
           0.069 ( 0.389 %)
           0.057 ( 0.318 %)
           0.080 ( 0.448 %)
           3.048 (15.774 %)
           0.067 ( 0.326 %)
           0.074 ( 0.416 %)
           0.062 ( 0.346 %)
           0.081 ( 0.452 %)
           9.702 (44.961 %)
           0.068 ( 0.381 %)
           0.059 ( 0.330 %)
           0.120 ( 0.585 %)
           1.033 ( 5.735 %)
           0.069 ( 0.390 %)
           0.070 ( 0.392 %)
           0.087 ( 0.492 %)
           0.081 ( 0.455 %)
