           3.793 (12.327 %)	           1.599 (20.191 %)	           0.143 ( 2.895 %)	           0.171 ( 2.573 %)	           0.075 ( 1.577 %)
           3.461 (14.766 %)	           0.025 ( 0.472 %)	           0.068 ( 1.252 %)	           0.042 ( 0.943 %)	           0.081 ( 1.823 %)
           0.585 ( 2.661 %)	           2.577 (46.226 %)	           0.182 ( 3.377 %)	           0.039 ( 0.918 %)	           0.154 ( 3.586 %)
           0.077 ( 0.364 %)	           0.025 ( 0.488 %)	           0.040 ( 0.771 %)	           0.039 ( 0.968 %)	           0.067 ( 1.625 %)
           0.078 ( 0.378 %)	           0.026 ( 0.518 %)	           0.075 ( 1.475 %)	           0.036 ( 0.936 %)	           0.138 ( 3.422 %)
           0.111 ( 0.609 %)	           0.022 ( 0.479 %)	           0.195 ( 4.039 %)	           0.033 ( 0.879 %)	           0.038 ( 1.002 %)
           0.063 ( 0.354 %)	           2.464 (50.470 %)	           0.272 ( 5.933 %)	           0.038 ( 1.076 %)	           0.060 ( 1.677 %)
           0.070 ( 0.391 %)	           0.039 ( 0.910 %)	           0.289 ( 6.821 %)	           0.040 ( 1.107 %)	           0.089 ( 1.877 %)
           0.086 ( 0.485 %)	           0.019 ( 0.455 %)	           0.034 ( 0.813 %)	           0.034 ( 0.952 %)	           0.059 ( 1.594 %)
           7.183 (37.768 %)	           0.016 ( 0.392 %)	           0.039 ( 1.085 %)	           0.039 ( 1.099 %)	           0.126 ( 3.507 %)
           0.051 ( 0.286 %)	           0.021 ( 0.508 %)	           0.183 ( 4.518 %)	           0.032 ( 0.903 %)	           0.076 ( 2.128 %)
           0.109 ( 0.532 %)	           0.067 ( 1.622 %)	           0.287 ( 7.174 %)	           0.042 ( 1.183 %)	           0.075 ( 2.092 %)
           0.090 ( 0.510 %)	           0.017 ( 0.422 %)	           0.170 ( 4.075 %)	           0.021 ( 0.580 %)	           0.058 ( 1.613 %)
           0.072 ( 0.350 %)	           0.016 ( 0.380 %)	           0.277 ( 6.982 %)	           0.036 ( 0.980 %)	           0.123 ( 3.424 %)
           0.062 ( 0.348 %)	           0.020 ( 0.482 %)	           0.035 ( 0.959 %)	           0.041 ( 1.106 %)	           0.058 ( 1.619 %)
           0.058 ( 0.325 %)	           0.019 ( 0.469 %)	           0.144 ( 3.433 %)	           0.037 ( 1.031 %)	           0.058 ( 1.612 %)
           0.105 ( 0.591 %)	           0.019 ( 0.459 %)	           0.312 ( 7.023 %)	           0.038 ( 0.929 %)	           0.064 ( 1.739 %)
           0.101 ( 0.571 %)	           0.017 ( 0.410 %)	           0.103 ( 2.508 %)	           0.417 (11.116 %)	           0.060 ( 1.633 %)
           0.066 ( 0.371 %)	           0.017 ( 0.412 %)	           0.106 ( 2.603 %)	           0.055 ( 1.484 %)	           0.060 ( 1.633 %)
           0.107 ( 0.601 %)	           0.021 ( 0.438 %)	           0.040 ( 1.121 %)	           0.040 ( 1.131 %)	           0.065 ( 1.568 %)
           0.074 ( 0.416 %)	           0.021 ( 0.492 %)	           0.210 ( 5.769 %)	           0.036 ( 0.995 %)	           0.066 ( 1.595 %)
           0.086 ( 0.487 %)	           0.018 ( 0.435 %)	           0.036 ( 0.844 %)	           1.269 (33.360 %)	           0.066 ( 1.602 %)
           0.033 ( 0.167 %)	           0.018 ( 0.445 %)	           0.035 ( 0.820 %)	           0.834 (22.396 %)	           0.035 ( 0.963 %)
           0.074 ( 0.416 %)	           0.021 ( 0.506 %)	           0.132 ( 3.575 %)	           0.045 ( 1.083 %)	           0.077 ( 2.152 %)
           9.666 (47.516 %)	           0.017 ( 0.405 %)	           0.041 ( 1.001 %)	           1.676 (42.240 %)	           0.060 ( 1.618 %)
           0.102 ( 0.572 %)	           0.018 ( 0.444 %)	           0.197 ( 5.407 %)	           0.038 ( 1.037 %)	           0.049 ( 1.336 %)
           0.073 ( 0.413 %)	           0.019 ( 0.450 %)	           0.278 ( 7.076 %)	           0.022 ( 0.601 %)	           0.065 ( 1.775 %)
           0.060 ( 0.339 %)	           0.019 ( 0.439 %)	           0.201 ( 4.863 %)	           0.020 ( 0.544 %)	           0.056 ( 1.528 %)
           0.072 ( 0.406 %)	           0.026 ( 0.481 %)	           0.173 ( 4.157 %)	           0.040 ( 1.088 %)	           0.061 ( 1.646 %)
           0.069 ( 0.386 %)	           0.065 ( 1.191 %)	           0.103 ( 2.453 %)	           0.279 ( 7.722 %)	           0.058 ( 1.609 %)
          16.298 (65.514 %)	           0.026 ( 0.535 %)	           0.263 ( 6.743 %)	           0.149 ( 4.146 %)	           0.059 ( 1.636 %)
           0.094 ( 0.455 %)	           0.021 ( 0.446 %)	           0.285 ( 7.497 %)	           0.036 ( 1.013 %)	           0.060 ( 1.633 %)
           0.100 ( 0.487 %)	           0.019 ( 0.471 %)	           0.186 ( 4.625 %)	           0.047 ( 1.306 %)	           0.102 ( 2.748 %)
           0.075 ( 0.420 %)	           0.022 ( 0.453 %)	           0.251 ( 6.312 %)	           0.042 ( 1.133 %)	           0.077 ( 2.090 %)
           0.065 ( 0.366 %)	           0.019 ( 0.465 %)	           0.185 ( 4.575 %)	           0.188 ( 5.089 %)	           0.058 ( 1.580 %)
           0.056 ( 0.315 %)	           0.016 ( 0.379 %)	           0.264 ( 6.959 %)	           0.042 ( 1.161 %)	           0.085 ( 2.307 %)
           0.077 ( 0.434 %)	           0.032 ( 0.763 %)	           0.036 ( 0.870 %)	           0.031 ( 0.863 %)	           0.060 ( 1.619 %)
           0.100 ( 0.561 %)	           0.021 ( 0.497 %)	           0.131 ( 3.227 %)	           0.038 ( 1.046 %)	           1.786 (41.990 %)
           0.109 ( 0.613 %)	           0.598 (13.612 %)	           0.164 ( 4.052 %)	           0.037 ( 1.025 %)	           0.060 ( 1.632 %)
           0.088 ( 0.493 %)	           0.017 ( 0.400 %)	           0.163 ( 4.018 %)	           0.034 ( 0.957 %)	           0.061 ( 1.648 %)
           0.053 ( 0.299 %)	           1.252 (28.062 %)	           0.037 ( 0.891 %)	           0.029 ( 0.825 %)	           0.060 ( 1.636 %)
           0.060 ( 0.340 %)	           0.030 ( 0.558 %)	           0.150 ( 3.604 %)	           0.041 ( 1.146 %)	           0.062 ( 1.682 %)
           0.074 ( 0.416 %)	           0.036 ( 0.844 %)	           0.283 ( 7.057 %)	           0.034 ( 0.962 %)	           0.058 ( 1.585 %)
           0.069 ( 0.389 %)	           0.022 ( 0.515 %)	           0.269 ( 6.936 %)	           0.074 ( 2.062 %)	           0.062 ( 1.685 %)
           0.086 ( 0.483 %)	           0.021 ( 0.493 %)	           0.306 ( 6.988 %)	           0.038 ( 1.045 %)	           1.268 (32.406 %)
           0.068 ( 0.382 %)	           0.016 ( 0.379 %)	           1.323 (30.897 %)	           0.035 ( 0.957 %)	           0.059 ( 1.606 %)
           0.089 ( 0.501 %)	           1.660 (36.581 %)	           0.290 ( 7.317 %)	           0.036 ( 0.970 %)	           0.129 ( 3.481 %)
           0.083 ( 0.470 %)	           0.018 ( 0.416 %)	           0.109 ( 2.637 %)	           0.036 ( 0.984 %)	           0.103 ( 2.785 %)
           0.091 ( 0.516 %)	           0.036 ( 0.839 %)	           0.278 ( 7.074 %)	           0.033 ( 0.908 %)	           0.066 ( 1.600 %)
           0.105 ( 0.593 %)	           0.017 ( 0.393 %)	           0.168 ( 4.025 %)	           0.035 ( 0.960 %)	           0.036 ( 0.972 %)
           0.069 ( 0.386 %)	           0.036 ( 0.846 %)	           0.100 ( 2.381 %)	           0.037 ( 1.014 %)	           0.059 ( 1.606 %)
           0.097 ( 0.546 %)	           0.040 ( 0.837 %)	           0.036 ( 0.969 %)	           0.036 ( 0.862 %)	           0.062 ( 1.688 %)
           0.064 ( 0.359 %)	           0.015 ( 0.367 %)	           0.203 ( 4.923 %)	           0.038 ( 1.021 %)	           0.075 ( 2.022 %)
           0.089 ( 0.500 %)	           0.037 ( 0.862 %)	           0.235 ( 6.223 %)	           0.041 ( 0.982 %)	           0.128 ( 3.541 %)
           0.101 ( 0.555 %)	           0.018 ( 0.413 %)	           0.033 ( 0.918 %)	           0.037 ( 1.040 %)	           0.067 ( 1.821 %)
           0.062 ( 0.339 %)	           0.016 ( 0.374 %)	           0.036 ( 0.759 %)	           0.035 ( 0.941 %)	           4.154 (89.821 %)
           0.087 ( 0.489 %)	           0.014 ( 0.330 %)	           0.029 ( 0.713 %)	           0.033 ( 0.902 %)	           0.131 ( 3.614 %)
           0.071 ( 0.400 %)	           0.022 ( 0.407 %)	           0.108 ( 2.629 %)	           2.476 (60.825 %)	           0.060 ( 1.626 %)
           0.088 ( 0.493 %)	           0.020 ( 0.412 %)	           0.032 ( 0.787 %)	           0.044 ( 1.239 %)	           0.061 ( 1.654 %)
           0.078 ( 0.436 %)	           0.022 ( 0.456 %)	           0.134 ( 3.718 %)	           0.020 ( 0.475 %)	           0.064 ( 1.731 %)
           0.090 ( 0.508 %)	           0.021 ( 0.444 %)	           0.143 ( 3.416 %)	           0.058 ( 1.613 %)	           0.064 ( 1.723 %)
           0.059 ( 0.326 %)	           0.022 ( 0.511 %)	           0.104 ( 2.526 %)	           0.019 ( 0.545 %)	           0.058 ( 1.572 %)
           5.761 (26.978 %)	           2.646 (47.703 %)	           0.276 ( 6.962 %)	           0.036 ( 0.981 %)	           0.060 ( 1.662 %)
           2.878 (14.314 %)	           0.030 ( 0.700 %)	           0.276 ( 6.952 %)	           0.041 ( 1.118 %)	           0.061 ( 1.696 %)
           0.094 ( 0.458 %)	           4.923 (60.904 %)	           1.295 (29.176 %)	           0.036 ( 0.985 %)	           0.058 ( 1.621 %)
           0.079 ( 0.445 %)	           0.020 ( 0.470 %)	           0.286 ( 7.343 %)	           0.035 ( 0.954 %)	           0.059 ( 1.603 %)
           0.089 ( 0.486 %)	           0.025 ( 0.531 %)	           0.105 ( 2.489 %)	           0.034 ( 0.913 %)	           0.073 ( 1.772 %)
           0.074 ( 0.404 %)	           0.018 ( 0.430 %)	           0.263 ( 6.804 %)	           0.038 ( 1.023 %)	           0.099 ( 2.681 %)
           0.076 ( 0.426 %)	           0.015 ( 0.355 %)	           0.149 ( 3.578 %)	           0.037 ( 1.015 %)	           0.069 ( 1.668 %)
           0.082 ( 0.462 %)	           0.039 ( 0.913 %)	           0.034 ( 0.807 %)	           0.034 ( 0.823 %)	           0.060 ( 1.673 %)
           0.113 ( 0.637 %)	           1.632 (36.040 %)	           0.109 ( 2.601 %)	           0.040 ( 1.115 %)	           0.125 ( 3.472 %)
           2.454 (13.242 %)	           0.042 ( 0.876 %)	           0.113 ( 2.697 %)	           0.023 ( 0.649 %)	           0.058 ( 1.627 %)
           0.059 ( 0.321 %)	           0.028 ( 0.651 %)	           0.168 ( 4.040 %)	           0.067 ( 1.858 %)	           0.062 ( 1.692 %)
           0.064 ( 0.358 %)	           0.055 ( 1.288 %)	           0.046 ( 1.077 %)	           0.033 ( 0.929 %)	           0.067 ( 1.621 %)
           0.066 ( 0.372 %)	           0.026 ( 0.484 %)	           0.160 ( 3.952 %)	           0.019 ( 0.530 %)	           0.058 ( 1.570 %)
           0.080 ( 0.449 %)	           0.023 ( 0.472 %)	           0.034 ( 0.955 %)	           0.035 ( 0.976 %)	           0.101 ( 2.743 %)
           0.075 ( 0.420 %)	           0.016 ( 0.344 %)	           0.167 ( 4.011 %)	           0.039 ( 0.947 %)	           0.143 ( 3.849 %)
           0.081 ( 0.456 %)	           0.020 ( 0.412 %)	           0.078 ( 1.645 %)	           0.036 ( 1.006 %)	           0.057 ( 1.555 %)
           2.456 (13.315 %)	           0.023 ( 0.473 %)	           0.230 ( 4.955 %)	           0.062 ( 1.731 %)	           0.062 ( 1.717 %)
           1.040 ( 5.642 %)	           0.053 ( 1.240 %)	           0.261 ( 6.919 %)	           0.040 ( 1.128 %)	           0.058 ( 1.621 %)
           0.069 ( 0.389 %)	           0.023 ( 0.532 %)	           0.141 ( 3.361 %)	           0.020 ( 0.555 %)	           0.067 ( 1.628 %)
           0.070 ( 0.342 %)	           0.018 ( 0.382 %)	           0.107 ( 2.530 %)	           0.037 ( 1.038 %)	           0.060 ( 1.634 %)
           0.077 ( 0.435 %)	           5.208 (96.576 %)	           0.270 ( 6.969 %)	           0.074 ( 2.069 %)	           0.056 ( 1.552 %)
           0.048 ( 0.271 %)	           0.037 ( 0.905 %)	           0.033 ( 0.774 %)	           0.045 ( 0.944 %)	           0.057 ( 1.601 %)
           0.069 ( 0.389 %)	           0.024 ( 0.559 %)	           0.257 ( 6.552 %)	           0.061 ( 1.655 %)	           0.080 ( 2.225 %)
           0.057 ( 0.318 %)	           2.592 (53.101 %)	           0.215 ( 5.883 %)	           0.036 ( 0.975 %)	           0.067 ( 1.620 %)
           0.080 ( 0.448 %)	           0.020 ( 0.476 %)	           0.205 ( 4.943 %)	           0.049 ( 1.323 %)	           0.060 ( 1.620 %)
           3.048 (15.774 %)	           0.023 ( 0.544 %)	           0.102 ( 2.439 %)	           0.039 ( 1.051 %)	           0.061 ( 1.668 %)
           0.067 ( 0.326 %)	           0.022 ( 0.542 %)	           1.246 (21.175 %)	           0.040 ( 0.967 %)	           0.041 ( 0.990 %)
           0.074 ( 0.416 %)	           0.017 ( 0.421 %)	           0.030 ( 0.706 %)	           0.019 ( 0.516 %)	           0.060 ( 1.640 %)
           0.062 ( 0.346 %)	           0.016 ( 0.389 %)	           0.036 ( 0.849 %)	           0.038 ( 1.030 %)	           0.134 ( 3.616 %)
           0.081 ( 0.452 %)	           0.046 ( 0.962 %)	           0.045 ( 1.215 %)	           0.050 ( 1.402 %)	           0.127 ( 3.440 %)
           9.702 (44.961 %)	           0.019 ( 0.451 %)	           0.209 ( 5.585 %)	           0.030 ( 0.852 %)	           0.058 ( 1.574 %)
           0.068 ( 0.381 %)	           0.018 ( 0.435 %)	           0.035 ( 0.826 %)	           0.031 ( 0.850 %)	           0.059 ( 1.599 %)
           0.059 ( 0.330 %)	           0.129 ( 3.115 %)	           0.321 ( 7.963 %)	           0.045 ( 1.228 %)	           0.126 ( 3.408 %)
           0.120 ( 0.585 %)	           0.020 ( 0.493 %)	           0.035 ( 0.836 %)	           0.036 ( 0.991 %)	           0.126 ( 3.404 %)
           1.033 ( 5.735 %)	           0.020 ( 0.479 %)	           0.241 ( 6.322 %)	           0.040 ( 1.095 %)	           0.062 ( 1.680 %)
           0.069 ( 0.390 %)	           0.020 ( 0.471 %)	           0.050 ( 1.184 %)	           0.035 ( 0.940 %)	           0.069 ( 1.865 %)
           0.070 ( 0.392 %)	           0.016 ( 0.385 %)	           0.260 ( 5.644 %)	           0.030 ( 0.833 %)	           0.059 ( 1.596 %)
           0.087 ( 0.492 %)	           0.022 ( 0.458 %)	           0.219 ( 5.320 %)	           0.035 ( 0.966 %)	           2.536 (62.067 %)
           0.081 ( 0.455 %)	           0.017 ( 0.411 %)	           0.035 ( 0.855 %)	           0.037 ( 1.036 %)	           0.073 ( 2.044 %)
