     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          49.341;           4.888;           5.646;           4.932;           0.143 ( 2.895 %);  12374.652
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          53.458;           5.991;           7.673;           6.057;           0.290 ( 4.792 %);  10076.091
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          62.007;           5.044;           5.458;           5.419;           0.068 ( 1.252 %);  11263.996
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         931.599;           5.778;           5.844;           5.791;           0.012 ( 0.212 %);  10539.878
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          55.177;           4.729;           5.446;           5.376;           0.182 ( 3.377 %);  11353.394
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         122.275;           5.781;           5.841;           5.796;           0.012 ( 0.204 %);  10530.951
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          80.101;           5.230;           5.472;           5.251;           0.040 ( 0.771 %);  11624.536
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         126.177;           5.578;           5.751;           5.595;           0.029 ( 0.518 %);  10907.930
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         131.765;           4.642;           5.080;           5.055;           0.075 ( 1.475 %);  12073.129
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          71.537;           5.392;           5.456;           5.405;           0.012 ( 0.218 %);  11291.654
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          57.512;           4.262;           4.916;           4.835;           0.195 ( 4.039 %);  12623.848
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         126.508;           5.219;           5.289;           5.232;           0.012 ( 0.234 %);  11666.349
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          61.118;           4.120;           4.762;           4.589;           0.272 ( 5.933 %);  13299.790
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         279.949;           5.056;           5.109;           5.067;           0.010 ( 0.201 %);  12044.684
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         192.191;           3.876;           4.484;           4.231;           0.289 ( 6.821 %);  14426.015
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          56.044;           4.758;           4.849;           4.772;           0.015 ( 0.319 %);  12789.780
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          78.982;           4.213;           4.418;           4.230;           0.034 ( 0.813 %);  14430.562
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         700.925;           4.494;           4.556;           4.505;           0.011 ( 0.242 %);  13549.317
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         581.601;           3.567;           3.796;           3.581;           0.039 ( 1.085 %);  17042.867
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          59.087;           4.372;           4.422;           4.382;           0.009 ( 0.213 %);  13928.800
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         212.364;           3.573;           4.324;           4.051;           0.183 ( 4.518 %);  15068.380
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         192.514;           4.371;           4.433;           4.383;           0.011 ( 0.247 %);  13924.659
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         798.558;           3.662;           4.438;           3.994;           0.287 ( 7.174 %);  15279.973
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         852.089;           4.493;           4.541;           4.505;           0.009 ( 0.200 %);  13549.499
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         155.755;           3.661;           4.232;           4.162;           0.170 ( 4.075 %);  14666.037
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          72.401;           4.494;           4.530;           4.505;           0.008 ( 0.179 %);  13549.043
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          65.670;           3.663;           4.233;           3.962;           0.277 ( 6.982 %);  15406.552
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        2404.135;           4.494;           4.546;           4.505;           0.010 ( 0.219 %);  13549.317
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         151.478;           3.667;           3.876;           3.682;           0.035 ( 0.959 %);  16574.585
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         141.939;           4.496;           4.550;           4.507;           0.010 ( 0.217 %);  13543.304
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         123.796;           3.689;           4.244;           4.190;           0.144 ( 3.433 %);  14568.022
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         133.781;           4.495;           4.537;           4.505;           0.008 ( 0.186 %);  13546.948
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         121.725;           4.117;           4.761;           4.436;           0.312 ( 7.023 %);  13759.146
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         113.291;           5.055;           5.102;           5.067;           0.009 ( 0.178 %);  12046.124
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
