     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         107.673;           4.707;           5.069;           4.740;           0.075 ( 1.577 %);  12877.768
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         390.241;           4.351;           4.427;           4.366;           0.016 ( 0.357 %);  13980.718
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          65.309;           4.394;           4.738;           4.426;           0.081 ( 1.823 %);  13789.478
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          90.100;           4.060;           4.112;           4.073;           0.010 ( 0.252 %);  14984.081
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          82.552;           4.252;           4.907;           4.300;           0.154 ( 3.586 %);  14193.622
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          59.194;           3.930;           3.991;           3.940;           0.011 ( 0.271 %);  15490.799
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          47.088;           4.119;           4.445;           4.145;           0.067 ( 1.625 %);  14723.501
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          97.325;           3.802;           3.848;           3.817;           0.008 ( 0.222 %);  15992.379
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         145.590;           3.995;           4.608;           4.040;           0.138 ( 3.422 %);  15108.959
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         179.413;           3.693;           3.736;           3.703;           0.007 ( 0.202 %);  16482.354
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          47.359;           3.773;           3.997;           3.788;           0.038 ( 1.002 %);  16114.313
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         132.048;           3.489;           3.548;           3.500;           0.010 ( 0.285 %);  17439.673
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          72.161;           3.562;           3.843;           3.585;           0.060 ( 1.677 %);  17022.990
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          44.848;           3.291;           3.348;           3.302;           0.010 ( 0.299 %);  18485.656
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          62.355;           4.707;           5.101;           4.742;           0.089 ( 1.877 %);  12872.007
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          72.657;           4.350;           4.411;           4.363;           0.012 ( 0.267 %);  13990.041
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         846.353;           3.661;           3.945;           3.685;           0.059 ( 1.594 %);  16561.774
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          47.166;           3.384;           3.431;           3.393;           0.009 ( 0.252 %);  17987.588
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          43.743;           3.563;           4.121;           3.603;           0.126 ( 3.507 %);  16938.954
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         257.293;           3.294;           3.348;           3.303;           0.010 ( 0.288 %);  18478.534
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          64.013;           3.566;           4.016;           3.591;           0.076 ( 2.128 %);  16995.411
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         145.575;           3.293;           3.340;           3.304;           0.008 ( 0.257 %);  18473.788
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;        1537.544;           3.562;           3.913;           3.589;           0.075 ( 2.092 %);  17005.599
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          48.184;           3.292;           3.340;           3.301;           0.009 ( 0.260 %);  18490.748
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         572.154;           3.563;           3.835;           3.585;           0.058 ( 1.613 %);  17023.997
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          90.425;           3.292;           3.344;           3.302;           0.009 ( 0.268 %);  18486.674
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          70.206;           3.562;           4.108;           3.602;           0.123 ( 3.424 %);  16944.369
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         136.283;           3.292;           3.358;           3.302;           0.011 ( 0.340 %);  18481.586
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         385.231;           3.563;           3.844;           3.585;           0.058 ( 1.619 %);  17023.134
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          58.988;           3.295;           3.348;           3.305;           0.009 ( 0.281 %);  18468.706
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         122.657;           3.562;           3.845;           3.586;           0.058 ( 1.612 %);  17019.681
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          74.548;           3.288;           3.337;           3.302;           0.009 ( 0.270 %);  18485.317
