           3.904 (59.144 %)
           0.010 ( 0.204 %)
           0.010 ( 0.207 %)
           0.009 ( 0.184 %)
           0.008 ( 0.183 %)
           0.012 ( 0.281 %)
           0.009 ( 0.214 %)
           0.010 ( 0.245 %)
           0.009 ( 0.225 %)
           0.010 ( 0.259 %)
           0.009 ( 0.242 %)
           0.009 ( 0.237 %)
           0.009 ( 0.224 %)
           0.007 ( 0.178 %)
           0.008 ( 0.210 %)
           0.008 ( 0.219 %)
           0.007 ( 0.180 %)
           0.008 ( 0.201 %)
           0.006 ( 0.157 %)
           0.010 ( 0.215 %)
           0.008 ( 0.191 %)
           0.007 ( 0.180 %)
           0.008 ( 0.201 %)
           0.010 ( 0.256 %)
           0.007 ( 0.180 %)
           0.007 ( 0.190 %)
           0.007 ( 0.187 %)
           0.009 ( 0.219 %)
           0.009 ( 0.171 %)
           0.009 ( 0.180 %)
           0.009 ( 0.207 %)
           0.166 ( 3.705 %)
           0.008 ( 0.220 %)
           0.010 ( 0.225 %)
           0.006 ( 0.156 %)
           0.008 ( 0.211 %)
           0.009 ( 0.227 %)
           3.556 (73.572 %)
           4.885 (88.895 %)
           0.007 ( 0.187 %)
           0.008 ( 0.215 %)
           0.012 ( 0.243 %)
           2.229 (51.316 %)
           0.007 ( 0.184 %)
           0.021 ( 0.534 %)
           0.007 ( 0.166 %)
           0.011 ( 0.268 %)
           0.010 ( 0.243 %)
           0.007 ( 0.167 %)
           0.009 ( 0.228 %)
           0.009 ( 0.238 %)
           0.009 ( 0.194 %)
           0.010 ( 0.255 %)
           0.008 ( 0.205 %)
           0.010 ( 0.248 %)
           0.006 ( 0.163 %)
           0.008 ( 0.203 %)
           0.012 ( 0.232 %)
           0.008 ( 0.178 %)
           0.008 ( 0.184 %)
           0.010 ( 0.220 %)
           0.009 ( 0.226 %)
           0.007 ( 0.187 %)
           0.033 ( 0.822 %)
           2.849 (63.369 %)
           0.007 ( 0.168 %)
           0.008 ( 0.184 %)
           0.008 ( 0.201 %)
           0.009 ( 0.226 %)
           0.009 ( 0.218 %)
           0.008 ( 0.212 %)
           0.010 ( 0.226 %)
           0.008 ( 0.215 %)
           0.009 ( 0.216 %)
           0.009 ( 0.178 %)
           0.008 ( 0.171 %)
           0.009 ( 0.214 %)
           0.009 ( 0.197 %)
           0.007 ( 0.164 %)
           0.009 ( 0.232 %)
           0.007 ( 0.184 %)
           0.010 ( 0.234 %)
           0.008 ( 0.206 %)
           0.008 ( 0.215 %)
           0.008 ( 0.203 %)
           0.006 ( 0.163 %)
           0.006 ( 0.157 %)
           0.009 ( 0.235 %)
           0.009 ( 0.236 %)
           0.008 ( 0.198 %)
           0.010 ( 0.269 %)
           0.008 ( 0.189 %)
           0.008 ( 0.207 %)
           0.008 ( 0.192 %)
           0.008 ( 0.215 %)
           0.008 ( 0.205 %)
           0.008 ( 0.203 %)
           0.008 ( 0.190 %)
           0.008 ( 0.207 %)
           0.008 ( 0.184 %)
           0.009 ( 0.217 %)
