           0.131 ( 0.574 %)	           3.904 (59.144 %)	           0.290 ( 4.792 %)	           0.016 ( 0.196 %)	           0.016 ( 0.357 %)
           2.545 (13.196 %)	           0.010 ( 0.204 %)	           0.012 ( 0.212 %)	           0.010 ( 0.186 %)	           0.010 ( 0.252 %)
           0.092 ( 0.507 %)	           0.010 ( 0.207 %)	           0.012 ( 0.204 %)	           0.009 ( 0.165 %)	           0.011 ( 0.271 %)
           0.065 ( 0.370 %)	           0.009 ( 0.184 %)	           0.029 ( 0.518 %)	           0.008 ( 0.163 %)	           0.008 ( 0.222 %)
           0.064 ( 0.375 %)	           0.008 ( 0.183 %)	           0.012 ( 0.218 %)	           0.009 ( 0.194 %)	           0.007 ( 0.202 %)
           2.432 (15.646 %)	           0.012 ( 0.281 %)	           0.012 ( 0.234 %)	           2.461 (49.067 %)	           0.010 ( 0.285 %)
          10.435 (55.537 %)	           0.009 ( 0.214 %)	           0.010 ( 0.201 %)	           0.007 ( 0.163 %)	           0.010 ( 0.299 %)
           0.022 ( 0.151 %)	           0.010 ( 0.245 %)	           0.015 ( 0.319 %)	           0.024 ( 0.555 %)	           0.012 ( 0.267 %)
           0.030 ( 0.201 %)	           0.009 ( 0.225 %)	           0.011 ( 0.242 %)	           0.009 ( 0.207 %)	           0.009 ( 0.252 %)
           0.023 ( 0.153 %)	           0.010 ( 0.259 %)	           0.009 ( 0.213 %)	           0.007 ( 0.170 %)	           0.010 ( 0.288 %)
          12.128 (66.391 %)	           0.009 ( 0.242 %)	           0.011 ( 0.247 %)	           0.009 ( 0.195 %)	           0.008 ( 0.257 %)
           0.064 ( 0.376 %)	           0.009 ( 0.237 %)	           0.009 ( 0.200 %)	           0.007 ( 0.170 %)	           0.009 ( 0.260 %)
          11.048 (60.306 %)	           0.009 ( 0.224 %)	           0.008 ( 0.179 %)	           2.528 (51.589 %)	           0.009 ( 0.268 %)
           2.840 (17.699 %)	           0.007 ( 0.178 %)	           0.010 ( 0.219 %)	           0.008 ( 0.172 %)	           0.011 ( 0.340 %)
           8.061 (43.444 %)	           0.008 ( 0.210 %)	           0.010 ( 0.217 %)	           0.008 ( 0.181 %)	           0.009 ( 0.281 %)
           0.024 ( 0.164 %)	           0.008 ( 0.219 %)	           0.008 ( 0.186 %)	           0.044 ( 0.992 %)	           0.009 ( 0.270 %)
           0.022 ( 0.151 %)	           0.007 ( 0.180 %)	           0.009 ( 0.178 %)	           0.011 ( 0.219 %)	           0.008 ( 0.239 %)
           0.021 ( 0.141 %)	           0.008 ( 0.201 %)	           0.007 ( 0.171 %)	           0.012 ( 0.266 %)	           0.009 ( 0.269 %)
           9.919 (56.208 %)	           0.006 ( 0.157 %)	           0.041 ( 0.935 %)	           0.007 ( 0.161 %)	           0.009 ( 0.278 %)
           0.943 ( 6.318 %)	           0.010 ( 0.215 %)	           0.024 ( 0.538 %)	           0.007 ( 0.153 %)	           0.009 ( 0.235 %)
           0.021 ( 0.146 %)	           0.008 ( 0.191 %)	           0.024 ( 0.549 %)	           0.007 ( 0.169 %)	           0.011 ( 0.297 %)
           0.928 ( 6.221 %)	           0.007 ( 0.180 %)	           0.009 ( 0.199 %)	           0.008 ( 0.191 %)	           0.008 ( 0.206 %)
           0.023 ( 0.154 %)	           0.008 ( 0.201 %)	           0.010 ( 0.220 %)	          10.591 (110.213 %)	           0.009 ( 0.278 %)
          16.468 (90.889 %)	           0.010 ( 0.256 %)	           0.011 ( 0.233 %)	           0.009 ( 0.170 %)	           0.009 ( 0.268 %)
           4.980 (30.576 %)	           0.007 ( 0.180 %)	           0.010 ( 0.194 %)	           0.009 ( 0.190 %)	           0.008 ( 0.247 %)
           0.028 ( 0.191 %)	           0.007 ( 0.190 %)	           0.009 ( 0.215 %)	           0.009 ( 0.198 %)	           0.010 ( 0.285 %)
           6.733 (42.258 %)	           0.007 ( 0.187 %)	           0.012 ( 0.268 %)	           0.009 ( 0.198 %)	           0.011 ( 0.319 %)
           0.024 ( 0.159 %)	           0.009 ( 0.219 %)	           0.027 ( 0.603 %)	           0.010 ( 0.215 %)	           0.008 ( 0.234 %)
