           4.860 (13.354 %)
           3.181 (12.915 %)
           0.085 ( 0.387 %)
           0.098 ( 0.462 %)
           0.087 ( 0.435 %)
           0.059 ( 0.312 %)
           0.072 ( 0.403 %)
           0.099 ( 0.559 %)
           0.077 ( 0.432 %)
           0.069 ( 0.390 %)
           0.086 ( 0.485 %)
           0.055 ( 0.310 %)
           0.065 ( 0.366 %)
           0.088 ( 0.428 %)
           0.062 ( 0.350 %)
           0.075 ( 0.423 %)
           0.046 ( 0.261 %)
           0.125 ( 0.704 %)
           0.077 ( 0.432 %)
           0.083 ( 0.465 %)
           0.077 ( 0.432 %)
           0.057 ( 0.324 %)
           0.088 ( 0.497 %)
           0.088 ( 0.480 %)
           0.059 ( 0.324 %)
           0.080 ( 0.438 %)
           0.084 ( 0.462 %)
           0.080 ( 0.449 %)
           0.062 ( 0.341 %)
           0.082 ( 0.448 %)
           0.071 ( 0.389 %)
           0.081 ( 0.445 %)
           0.064 ( 0.358 %)
           0.099 ( 0.556 %)
           0.081 ( 0.454 %)
           0.063 ( 0.342 %)
           0.079 ( 0.434 %)
           0.058 ( 0.326 %)
           9.933 (45.448 %)
           0.062 ( 0.304 %)
           0.064 ( 0.313 %)
           0.105 ( 0.587 %)
           0.075 ( 0.423 %)
           0.070 ( 0.396 %)
           0.067 ( 0.375 %)
           0.081 ( 0.455 %)
           0.071 ( 0.398 %)
           0.092 ( 0.519 %)
           0.058 ( 0.324 %)
           8.976 (40.724 %)
           0.100 ( 0.562 %)
           0.071 ( 0.402 %)
           0.073 ( 0.411 %)
           1.030 ( 4.978 %)
           0.072 ( 0.395 %)
           0.065 ( 0.357 %)
           0.074 ( 0.418 %)
           0.083 ( 0.465 %)
           0.068 ( 0.384 %)
           0.082 ( 0.462 %)
           0.089 ( 0.502 %)
           0.068 ( 0.371 %)
           0.086 ( 0.417 %)
           0.079 ( 0.444 %)
           0.107 ( 0.600 %)
           0.077 ( 0.431 %)
           0.111 ( 0.625 %)
           0.075 ( 0.418 %)
           0.064 ( 0.350 %)
           8.402 (38.857 %)
           0.074 ( 0.416 %)
          13.295 (59.554 %)
           0.075 ( 0.411 %)
           0.085 ( 0.464 %)
           0.099 ( 0.555 %)
           0.086 ( 0.483 %)
           0.072 ( 0.408 %)
           0.071 ( 0.388 %)
           0.079 ( 0.435 %)
           0.076 ( 0.428 %)
           0.061 ( 0.344 %)
           8.234 (41.453 %)
           0.051 ( 0.278 %)
           4.684 (24.371 %)
           0.071 ( 0.390 %)
           0.080 ( 0.436 %)
           0.071 ( 0.392 %)
           0.069 ( 0.388 %)
           0.080 ( 0.447 %)
           0.063 ( 0.352 %)
           0.092 ( 0.390 %)
           0.059 ( 0.275 %)
           0.071 ( 0.396 %)
           0.063 ( 0.355 %)
           0.094 ( 0.457 %)
           9.584 (44.425 %)
           0.068 ( 0.380 %)
           0.052 ( 0.291 %)
           0.061 ( 0.344 %)
           0.069 ( 0.378 %)
           0.096 ( 0.528 %)
