           3.022 (42.744 %)
           0.179 ( 3.566 %)
           0.182 ( 3.628 %)
           4.452 (62.296 %)
           0.111 ( 2.433 %)
           0.181 ( 3.618 %)
           0.017 ( 0.355 %)
           0.124 ( 2.622 %)
           0.105 ( 2.274 %)
           0.145 ( 3.775 %)
           0.172 ( 4.120 %)
           0.063 ( 1.533 %)
           0.110 ( 2.677 %)
           0.099 ( 2.617 %)
           0.044 ( 1.033 %)
           0.140 ( 3.428 %)
           0.231 ( 5.763 %)
           0.014 ( 0.352 %)
           0.147 ( 3.688 %)
           0.242 ( 5.920 %)
           0.135 ( 3.267 %)
           0.143 ( 3.518 %)
           0.087 ( 2.114 %)
           0.255 ( 6.499 %)
           0.210 ( 4.515 %)
           0.137 ( 3.390 %)
           0.114 ( 2.793 %)
           0.265 ( 6.838 %)
           0.251 ( 6.134 %)
           0.035 ( 0.827 %)
           0.300 ( 5.710 %)
           0.064 ( 1.547 %)
           0.171 ( 4.088 %)
           0.165 ( 3.496 %)
           0.282 ( 6.179 %)
           0.131 ( 2.786 %)
           0.112 ( 2.652 %)
           0.118 ( 2.824 %)
           0.090 ( 2.140 %)
           0.204 ( 4.947 %)
           0.222 ( 5.401 %)
           0.268 ( 6.798 %)
           0.121 ( 2.877 %)
           0.289 ( 7.185 %)
           0.173 ( 4.157 %)
           0.128 ( 3.395 %)
           0.140 ( 3.413 %)
           0.154 ( 3.632 %)
           0.090 ( 1.895 %)
           0.181 ( 4.402 %)
           0.136 ( 3.484 %)
           0.228 ( 5.714 %)
           0.193 ( 4.104 %)
           0.114 ( 2.801 %)
           0.230 ( 5.618 %)
           0.135 ( 2.861 %)
           2.526 (55.607 %)
           0.195 ( 4.162 %)
           0.150 ( 3.605 %)
           0.051 ( 1.215 %)
           0.112 ( 2.655 %)
           0.371 ( 9.075 %)
           0.038 ( 0.791 %)
           0.221 ( 5.376 %)
           0.168 ( 3.586 %)
           0.167 ( 3.618 %)
           0.113 ( 2.681 %)
           0.115 ( 2.753 %)
           0.147 ( 3.406 %)
           0.060 ( 1.424 %)
           0.159 ( 4.205 %)
           0.069 ( 1.452 %)
           0.151 ( 3.626 %)
           2.447 (43.341 %)
           3.655 (82.001 %)
           8.331 (138.874 %)
           0.129 ( 2.732 %)
           2.003 (39.654 %)
           1.393 (17.664 %)
           0.230 ( 4.613 %)
           0.470 ( 8.870 %)
           0.207 ( 4.142 %)
           0.297 ( 6.050 %)
           0.138 ( 2.826 %)
           0.185 ( 4.073 %)
           0.125 ( 2.822 %)
           0.218 ( 5.302 %)
           0.071 ( 1.743 %)
           0.145 ( 3.451 %)
           0.177 ( 4.232 %)
           0.188 ( 4.525 %)
           0.193 ( 4.649 %)
           0.192 ( 4.639 %)
           0.033 ( 0.776 %)
           0.016 ( 0.376 %)
           0.264 ( 6.744 %)
           0.245 ( 5.986 %)
           0.172 ( 4.137 %)
           0.128 ( 3.061 %)
           0.208 ( 5.033 %)
           0.220 ( 5.362 %)
