           4.860 (13.354 %)	           3.697 (35.076 %)	           0.344 ( 3.437 %)	           3.022 (42.744 %)	           0.102 ( 1.141 %)
           3.181 (12.915 %)	           0.025 ( 0.454 %)	           0.135 ( 2.355 %)	           0.179 ( 3.566 %)	           0.059 ( 1.279 %)
           0.085 ( 0.387 %)	           0.025 ( 0.482 %)	           0.291 ( 5.559 %)	           0.182 ( 3.628 %)	           0.051 ( 1.113 %)
           0.098 ( 0.462 %)	           0.025 ( 0.499 %)	           0.054 ( 1.030 %)	           4.452 (62.296 %)	           0.043 ( 0.998 %)
           0.087 ( 0.435 %)	           0.023 ( 0.472 %)	           0.216 ( 4.340 %)	           0.111 ( 2.433 %)	           0.043 ( 1.053 %)
           0.059 ( 0.312 %)	           0.020 ( 0.433 %)	           0.304 ( 6.289 %)	           0.181 ( 3.618 %)	           0.041 ( 1.071 %)
           0.072 ( 0.403 %)	           0.021 ( 0.472 %)	           0.166 ( 3.840 %)	           0.017 ( 0.355 %)	           0.037 ( 0.972 %)
           0.099 ( 0.559 %)	           0.038 ( 0.904 %)	           0.286 ( 6.174 %)	           0.124 ( 2.622 %)	           0.054 ( 1.224 %)
           0.077 ( 0.432 %)	           0.020 ( 0.418 %)	           0.257 ( 6.102 %)	           0.105 ( 2.274 %)	           0.038 ( 0.985 %)
           0.069 ( 0.390 %)	           0.021 ( 0.508 %)	           0.087 ( 1.733 %)	           0.145 ( 3.775 %)	           0.037 ( 0.971 %)
           0.086 ( 0.485 %)	           0.017 ( 0.411 %)	           0.036 ( 0.830 %)	           0.172 ( 4.120 %)	           0.036 ( 0.933 %)
           0.055 ( 0.310 %)	           0.019 ( 0.443 %)	           0.214 ( 3.742 %)	           0.063 ( 1.533 %)	           0.051 ( 1.152 %)
           0.065 ( 0.366 %)	           0.022 ( 0.519 %)	           2.481 (52.429 %)	           0.110 ( 2.677 %)	           0.042 ( 0.943 %)
           0.088 ( 0.428 %)	           0.016 ( 0.380 %)	           0.035 ( 0.776 %)	           0.099 ( 2.617 %)	           0.042 ( 1.064 %)
           0.062 ( 0.350 %)	           0.018 ( 0.412 %)	           0.168 ( 4.179 %)	           0.044 ( 1.033 %)	           0.048 ( 1.205 %)
           0.075 ( 0.423 %)	           0.020 ( 0.474 %)	           0.172 ( 3.872 %)	           0.140 ( 3.428 %)	           0.047 ( 1.227 %)
           0.046 ( 0.261 %)	           0.020 ( 0.484 %)	           0.056 ( 1.403 %)	           0.231 ( 5.763 %)	           0.036 ( 0.944 %)
           0.125 ( 0.704 %)	           0.061 ( 1.480 %)	           0.112 ( 2.808 %)	           0.014 ( 0.352 %)	           0.044 ( 1.138 %)
           0.077 ( 0.432 %)	           0.018 ( 0.438 %)	           0.193 ( 4.351 %)	           0.147 ( 3.688 %)	           0.039 ( 0.977 %)
