     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         366.424;          32.861;          49.752;          36.392;           4.860 (13.354 %);   1677.159
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          37.546;          27.227;          27.808;          27.429;           0.220 ( 0.801 %);   2225.166
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         113.061;          23.389;          39.213;          24.634;           3.181 (12.915 %);   2477.679
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         293.762;          19.455;          19.926;          19.517;           0.076 ( 0.389 %);   3127.354
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          69.009;          21.864;          22.310;          21.955;           0.085 ( 0.387 %);   2779.950
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         200.333;          18.149;          18.909;          18.222;           0.125 ( 0.687 %);   3349.615
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         184.525;          21.128;          21.671;          21.261;           0.098 ( 0.462 %);   2870.785
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         191.340;          17.566;          18.009;          17.632;           0.072 ( 0.408 %);   3461.696
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         809.611;          19.644;          20.178;          19.896;           0.087 ( 0.435 %);   3067.780
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          60.246;          16.310;          30.955;          17.194;           2.476 (14.399 %);   3549.744
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         507.024;          18.728;          19.021;          18.810;           0.059 ( 0.312 %);   3244.898
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          87.083;          15.553;          15.703;          15.609;           0.030 ( 0.195 %);   3910.247
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          77.953;          17.694;          18.013;          17.771;           0.072 ( 0.403 %);   3434.484
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          70.174;          14.695;          69.975;          17.804;          10.293 (57.813 %);   3428.224
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         195.947;          17.557;          18.137;          17.798;           0.099 ( 0.559 %);   3429.274
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          43.147;          14.722;          14.801;          14.764;           0.020 ( 0.139 %);   4134.121
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          42.327;          17.689;          17.997;          17.786;           0.077 ( 0.432 %);   3431.734
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          51.650;          14.725;          73.283;          18.337;          11.506 (62.746 %);   3328.541
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         397.626;          17.706;          17.957;          17.812;           0.069 ( 0.390 %);   3426.690
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         360.895;          14.731;          14.894;          14.765;           0.033 ( 0.226 %);   4133.883
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         108.288;          17.741;          18.218;          17.800;           0.086 ( 0.485 %);   3428.976
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         210.640;          14.730;          62.427;          16.203;           8.298 (51.211 %);   3766.820
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         265.865;          17.750;          18.012;          17.806;           0.055 ( 0.310 %);   3427.786
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         180.529;          14.713;          20.575;          14.938;           1.012 ( 6.777 %);   4085.957
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          64.546;          17.705;          18.005;          17.801;           0.065 ( 0.366 %);   3428.690
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1594.379;          14.724;          14.868;          14.751;           0.028 ( 0.188 %);   4137.603
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         779.780;          20.463;          20.890;          20.573;           0.088 ( 0.428 %);   2966.751
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          41.091;          14.720;          29.802;          15.680;           2.793 (17.810 %);   3892.511
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          97.118;          17.676;          17.917;          17.774;           0.062 ( 0.350 %);   3433.934
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         982.434;          14.712;          14.925;          14.762;           0.035 ( 0.236 %);   4134.706
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         107.530;          17.721;          18.135;          17.822;           0.075 ( 0.423 %);   3424.656
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         126.283;          14.708;          14.831;          14.761;           0.021 ( 0.140 %);   4134.978
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         102.853;          17.685;          17.965;          17.728;           0.046 ( 0.261 %);   3442.850
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          55.982;          14.708;          14.858;          14.757;           0.029 ( 0.200 %);   4135.920
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         779.701;          17.524;          18.195;          17.800;           0.125 ( 0.704 %);   3428.906
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         255.393;          14.721;          14.825;          14.753;           0.021 ( 0.143 %);   4137.101
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;       12411.566;          17.732;          18.155;          17.829;           0.077 ( 0.432 %);   3423.399
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         843.682;          14.742;          47.522;          15.778;           5.699 (36.121 %);   3868.430
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         176.795;          17.688;          18.090;          17.786;           0.083 ( 0.465 %);   3431.652
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         104.874;          14.724;          15.005;          14.812;           0.097 ( 0.656 %);   4120.664
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         196.238;          17.691;          18.080;          17.795;           0.077 ( 0.432 %);   3429.864
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         251.354;          14.723;          70.154;          17.600;          10.505 (59.687 %);   3467.853
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          80.417;          17.677;          17.976;          17.742;           0.057 ( 0.324 %);   3440.116
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         388.966;          14.732;          14.986;          14.798;           0.080 ( 0.541 %);   4124.554
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         164.587;          17.556;          18.108;          17.730;           0.088 ( 0.497 %);   3442.526
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         167.663;          14.732;          58.265;          18.751;          11.516 (61.415 %);   3254.993
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          69.118;          18.187;          18.656;          18.307;           0.088 ( 0.480 %);   3333.968
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          59.738;          15.123;          22.398;          15.390;           1.258 ( 8.176 %);   3965.835
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         386.562;          18.171;          18.371;          18.267;           0.059 ( 0.324 %);   3341.296
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         270.392;          15.124;          22.391;          15.377;           1.259 ( 8.190 %);   3969.344
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          44.108;          18.226;          18.648;          18.299;           0.080 ( 0.438 %);   3335.415
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         162.776;          15.129;          15.230;          15.167;           0.028 ( 0.182 %);   4024.264
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         273.323;          18.033;          18.426;          18.218;           0.084 ( 0.462 %);   3350.255
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1409.990;          14.711;          28.880;          15.449;           2.420 (15.665 %);   3950.728
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          83.427;          17.571;          17.988;          17.751;           0.080 ( 0.449 %);   3438.348
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         143.315;          14.709;          19.309;          14.904;           0.791 ( 5.309 %);   4095.236
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         735.145;          18.207;          18.400;          18.305;           0.062 ( 0.341 %);   3334.316
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          84.284;          15.139;          43.718;          16.191;           5.019 (30.999 %);   3769.732
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          56.568;          18.080;          18.620;          18.319;           0.082 ( 0.448 %);   3331.779
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          64.959;          15.122;          15.244;          15.171;           0.023 ( 0.151 %);   4023.130
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         727.822;          18.192;          18.487;          18.305;           0.071 ( 0.389 %);   3334.393
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          87.463;          15.135;          43.039;          16.018;           4.851 (30.285 %);   3810.519
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          83.028;          18.205;          18.616;          18.317;           0.081 ( 0.445 %);   3332.170
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1146.986;          15.118;          15.250;          15.162;           0.026 ( 0.169 %);   4025.511
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         120.609;          17.712;          17.912;          17.802;           0.064 ( 0.358 %);   3428.568
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         105.270;          14.716;          72.058;          20.290;          13.510 (66.584 %);   3008.203
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          37.230;          17.528;          18.036;          17.719;           0.099 ( 0.556 %);   3444.628
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         620.760;          14.720;          14.821;          14.769;           0.024 ( 0.160 %);   4132.628
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         453.583;          17.707;          18.134;          17.815;           0.081 ( 0.454 %);   3426.130
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          84.009;          14.732;          57.054;          18.209;           9.244 (50.766 %);   3352.006
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         101.995;          18.195;          18.472;          18.298;           0.063 ( 0.342 %);   3335.647
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          88.043;          15.131;          15.354;          15.182;           0.035 ( 0.234 %);   4020.119
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         423.566;          18.180;          18.613;          18.301;           0.079 ( 0.434 %);   3335.105
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         127.308;          15.135;          34.548;          15.980;           3.535 (22.122 %);   3819.377
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         550.013;          17.686;          18.025;          17.738;           0.058 ( 0.326 %);   3440.897
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         295.926;          14.717;          14.865;          14.761;           0.027 ( 0.183 %);   4134.910
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         168.038;          17.696;          64.329;          21.855;           9.933 (45.448 %);   2792.732
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         115.380;          16.160;          16.281;          16.200;           0.025 ( 0.153 %);   3767.659
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         231.613;          20.283;          20.683;          20.514;           0.062 ( 0.304 %);   2975.359
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          91.684;          17.038;          17.397;          17.087;           0.063 ( 0.366 %);   3571.966
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          60.224;          20.507;          20.776;          20.583;           0.064 ( 0.313 %);   2965.284
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         174.626;          17.037;          17.499;          17.088;           0.077 ( 0.448 %);   3571.808
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
