     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         994.958;           8.865;           9.464;           8.902;           0.102 ( 1.141 %);   6856.249
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          77.048;           6.998;           7.623;           7.035;           0.107 ( 1.516 %);   8676.190
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         228.352;           4.575;           4.921;           4.595;           0.059 ( 1.279 %);  13281.549
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         123.687;           3.607;           3.929;           3.628;           0.055 ( 1.504 %);  16823.783
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         120.398;           4.575;           4.876;           4.596;           0.051 ( 1.113 %);  13281.286
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         177.363;           3.607;           6.740;           3.724;           0.545 (14.630 %);  16390.344
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          55.062;           4.297;           4.552;           4.314;           0.043 ( 0.998 %);  14147.165
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        3092.172;           3.388;           3.696;           3.407;           0.053 ( 1.545 %);  17915.908
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         208.010;           4.052;           4.305;           4.069;           0.043 ( 1.053 %);  15001.267
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          93.731;           3.195;           3.488;           3.215;           0.054 ( 1.691 %);  18984.675
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         257.877;           3.834;           4.077;           3.849;           0.041 ( 1.071 %);  15857.406
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         176.378;           3.021;           3.308;           3.039;           0.049 ( 1.604 %);  20083.360
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         254.412;           3.832;           4.054;           3.848;           0.037 ( 0.972 %);  15863.151
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         378.745;           3.025;           3.299;           3.042;           0.047 ( 1.541 %);  20064.554
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
