           0.220 ( 0.801 %)	           0.019 ( 0.216 %)	           0.016 ( 0.159 %)	           0.027 ( 0.459 %)	           0.107 ( 1.516 %)
           0.076 ( 0.389 %)	           0.010 ( 0.203 %)	           2.626 (41.959 %)	           0.018 ( 0.374 %)	           0.055 ( 1.504 %)
           0.125 ( 0.687 %)	           0.011 ( 0.225 %)	           0.010 ( 0.189 %)	           0.444 ( 9.224 %)	           0.545 (14.630 %)
           0.072 ( 0.408 %)	           0.010 ( 0.217 %)	           0.010 ( 0.195 %)	           0.019 ( 0.411 %)	           0.053 ( 1.545 %)
           2.476 (14.399 %)	           0.010 ( 0.226 %)	           0.008 ( 0.166 %)	           0.010 ( 0.220 %)	           0.054 ( 1.691 %)
           0.030 ( 0.195 %)	           0.010 ( 0.227 %)	           0.009 ( 0.172 %)	           0.012 ( 0.247 %)	           0.049 ( 1.604 %)
          10.293 (57.813 %)	           0.008 ( 0.203 %)	           0.007 ( 0.160 %)	           0.011 ( 0.243 %)	           0.047 ( 1.541 %)
           0.020 ( 0.139 %)	           0.009 ( 0.234 %)	           0.009 ( 0.164 %)	           0.009 ( 0.202 %)	           0.054 ( 1.550 %)
          11.506 (62.746 %)	           0.010 ( 0.218 %)	           0.023 ( 0.515 %)	           0.010 ( 0.232 %)	           0.071 ( 2.333 %)
           0.033 ( 0.226 %)	           0.007 ( 0.183 %)	           0.009 ( 0.170 %)	           0.010 ( 0.235 %)	           0.053 ( 1.727 %)
           8.298 (51.211 %)	           0.008 ( 0.215 %)	           0.008 ( 0.179 %)	           0.008 ( 0.212 %)	           0.047 ( 1.549 %)
           1.012 ( 6.777 %)	           0.010 ( 0.243 %)	           0.009 ( 0.158 %)	           0.007 ( 0.193 %)	           0.056 ( 1.585 %)
           0.028 ( 0.188 %)	           0.009 ( 0.216 %)	           0.009 ( 0.198 %)	           0.011 ( 0.282 %)	           0.056 ( 1.583 %)
           2.793 (17.810 %)	           0.008 ( 0.193 %)	           0.007 ( 0.161 %)	           0.008 ( 0.200 %)	           0.008 ( 0.250 %)
           0.035 ( 0.236 %)	           0.008 ( 0.198 %)	           0.007 ( 0.151 %)	           0.011 ( 0.272 %)	           0.071 ( 2.252 %)
           0.021 ( 0.140 %)	           0.007 ( 0.183 %)	           0.007 ( 0.151 %)	           0.008 ( 0.212 %)	           0.048 ( 1.563 %)
           0.029 ( 0.200 %)	           0.008 ( 0.206 %)	           0.008 ( 0.174 %)	           0.008 ( 0.212 %)	           0.048 ( 1.594 %)
           0.021 ( 0.143 %)	           0.024 ( 0.628 %)	           0.011 ( 0.238 %)	           0.007 ( 0.184 %)	           0.047 ( 1.547 %)
           5.699 (36.121 %)	           0.008 ( 0.220 %)	           0.009 ( 0.191 %)	           0.009 ( 0.241 %)	           0.050 ( 1.600 %)
           0.097 ( 0.656 %)	           0.007 ( 0.193 %)	           0.007 ( 0.163 %)	           0.008 ( 0.198 %)	           0.059 ( 1.874 %)
          10.505 (59.687 %)	           0.007 ( 0.180 %)	           0.009 ( 0.177 %)	           0.026 ( 0.665 %)	           0.049 ( 1.609 %)
           0.080 ( 0.541 %)	           0.007 ( 0.180 %)	           0.007 ( 0.161 %)	           0.010 ( 0.265 %)	           0.049 ( 1.576 %)
          11.516 (61.415 %)	           0.009 ( 0.223 %)	           0.022 ( 0.491 %)	           0.008 ( 0.219 %)	           0.049 ( 1.574 %)
           1.258 ( 8.176 %)	           0.007 ( 0.174 %)	           0.009 ( 0.202 %)	           0.011 ( 0.276 %)	           0.049 ( 1.554 %)
           1.259 ( 8.190 %)	           0.008 ( 0.198 %)	           0.010 ( 0.213 %)	           0.012 ( 0.263 %)	           0.050 ( 1.606 %)
           0.028 ( 0.182 %)	           0.008 ( 0.214 %)	           0.050 ( 0.984 %)	           0.010 ( 0.259 %)	           0.048 ( 1.551 %)
           2.420 (15.665 %)	           0.008 ( 0.203 %)	           0.009 ( 0.218 %)	           0.010 ( 0.262 %)	           0.048 ( 1.536 %)
           0.791 ( 5.309 %)	           0.007 ( 0.184 %)	           0.006 ( 0.147 %)	           0.007 ( 0.191 %)	           0.073 ( 2.340 %)
           5.019 (30.999 %)	           0.009 ( 0.203 %)	           0.024 ( 0.538 %)	           0.027 ( 0.681 %)	           0.048 ( 1.553 %)
           0.023 ( 0.151 %)	           0.008 ( 0.205 %)	           0.007 ( 0.159 %)	           0.011 ( 0.266 %)	           0.048 ( 1.545 %)
           4.851 (30.285 %)	           0.010 ( 0.249 %)	           0.008 ( 0.191 %)	           0.009 ( 0.183 %)	           0.048 ( 1.525 %)
           0.026 ( 0.169 %)	           0.025 ( 0.645 %)	           0.008 ( 0.169 %)	           0.009 ( 0.243 %)	           0.047 ( 1.515 %)
          13.510 (66.584 %)	           0.009 ( 0.230 %)	           0.009 ( 0.204 %)	           0.009 ( 0.217 %)	           0.053 ( 1.689 %)
           0.024 ( 0.160 %)	           0.008 ( 0.202 %)	           0.007 ( 0.161 %)	           0.010 ( 0.230 %)	           0.048 ( 1.526 %)
           9.244 (50.766 %)	           0.010 ( 0.258 %)	           0.008 ( 0.176 %)	           0.011 ( 0.240 %)	           0.049 ( 1.577 %)
           0.035 ( 0.234 %)	           0.008 ( 0.212 %)	           0.009 ( 0.210 %)	           0.011 ( 0.238 %)	           0.049 ( 1.565 %)
           3.535 (22.122 %)	           0.007 ( 0.185 %)	           0.008 ( 0.192 %)	           0.009 ( 0.216 %)	           0.049 ( 1.581 %)
           0.027 ( 0.183 %)	           0.008 ( 0.199 %)	           0.008 ( 0.172 %)	           0.009 ( 0.227 %)	           0.054 ( 1.739 %)
           0.025 ( 0.153 %)	           0.007 ( 0.183 %)	           0.010 ( 0.201 %)	           0.008 ( 0.198 %)	           0.049 ( 1.572 %)
           0.063 ( 0.366 %)	           0.010 ( 0.244 %)	           0.007 ( 0.163 %)	           0.011 ( 0.268 %)	           0.049 ( 1.558 %)
           0.077 ( 0.448 %)	           0.009 ( 0.228 %)	           0.023 ( 0.513 %)	           0.011 ( 0.270 %)	           0.046 ( 1.529 %)
           0.025 ( 0.172 %)	           0.009 ( 0.228 %)	           0.010 ( 0.221 %)	           0.010 ( 0.248 %)	           0.052 ( 1.701 %)
           0.029 ( 0.197 %)	           0.010 ( 0.262 %)	           0.008 ( 0.183 %)	           0.010 ( 0.255 %)	           0.047 ( 1.519 %)
           0.020 ( 0.137 %)	           0.010 ( 0.245 %)	           0.009 ( 0.213 %)	           0.012 ( 0.305 %)	           0.049 ( 1.560 %)
           0.036 ( 0.244 %)	           0.009 ( 0.232 %)	           0.008 ( 0.181 %)	           0.009 ( 0.217 %)	           0.048 ( 1.523 %)
           0.020 ( 0.138 %)	           0.008 ( 0.204 %)	           0.007 ( 0.158 %)	           0.010 ( 0.261 %)	           0.047 ( 1.514 %)
           0.020 ( 0.138 %)	           0.007 ( 0.175 %)	           0.009 ( 0.203 %)	           0.010 ( 0.255 %)	           0.050 ( 1.585 %)
           0.027 ( 0.180 %)	           0.008 ( 0.195 %)	           0.009 ( 0.202 %)	           0.010 ( 0.232 %)	           0.047 ( 1.509 %)
           0.021 ( 0.144 %)	           0.008 ( 0.199 %)	           0.008 ( 0.168 %)	           0.009 ( 0.199 %)	           0.050 ( 1.590 %)
           0.021 ( 0.128 %)	           0.009 ( 0.234 %)	           0.010 ( 0.214 %)	           0.008 ( 0.209 %)	           0.008 ( 0.254 %)
           0.067 ( 0.457 %)	           0.007 ( 0.186 %)	           0.007 ( 0.161 %)	           0.009 ( 0.234 %)	           0.049 ( 1.567 %)
           0.023 ( 0.157 %)	           0.010 ( 0.261 %)	           0.055 ( 1.221 %)	           0.011 ( 0.289 %)	           0.047 ( 1.519 %)
           1.373 ( 9.089 %)	           0.009 ( 0.240 %)	           0.009 ( 0.204 %)	           0.010 ( 0.232 %)	           0.049 ( 1.576 %)
