"","V1","V2","V3","V4","V5"
"1",30.768,7.918,4.932,6.634,4.74
"2",23.437,5.269,5.419,4.408,4.426
"3",21.975,5.575,5.376,4.272,4.3
"4",21.275,5.092,5.251,4.008,4.145
"5",20.58,4.929,5.055,3.892,4.04
"6",18.239,4.63,4.835,3.779,3.788
"7",17.831,4.883,4.589,3.576,3.585
"8",17.826,4.248,4.231,3.576,4.742
"9",17.751,4.129,4.23,3.576,3.685
"10",19.019,4.13,3.581,3.584,3.603
"11",17.807,4.13,4.051,3.575,3.591
"12",20.532,4.138,3.994,3.576,3.589
"13",17.731,4.13,4.162,3.574,3.585
"14",20.578,4.13,3.962,3.677,3.602
"15",17.809,4.137,3.682,3.675,3.585
"16",17.785,4.129,4.19,3.576,3.586
"17",17.733,4.244,4.436,4.134,3.686
"18",17.786,4.245,4.094,3.748,3.685
"19",17.813,4.13,4.084,3.679,3.684
"20",17.811,4.775,3.578,3.576,4.145
"21",17.75,4.246,3.643,3.576,4.146
"22",17.735,4.245,4.236,3.803,4.15
"23",19.574,4.129,4.232,3.725,3.589
"24",17.784,4.131,3.7,4.138,3.591
"25",20.343,4.13,4.142,3.968,3.685
"26",17.762,4.13,3.65,3.676,3.68
"27",17.766,4.244,3.927,3.672,3.686
"28",17.796,4.244,4.131,3.671,3.687
"29",17.815,5.457,4.161,3.674,3.685
"30",17.79,5.465,4.213,3.619,3.586
"31",24.877,4.773,3.902,3.597,3.585
"32",20.601,4.776,3.806,3.578,3.687
"33",20.576,4.13,4.032,3.579,3.694
"34",17.73,4.776,3.969,3.681,3.695
"35",17.795,4.128,4.034,3.7,3.685
"36",17.834,4.244,3.789,3.58,3.692
"37",17.802,4.247,4.116,3.574,3.687
"38",17.761,4.13,4.071,3.675,4.253
"39",17.733,4.396,4.05,3.582,3.687
"40",17.783,4.244,4.05,3.579,3.685
"41",17.796,4.461,4.116,3.574,3.686
"42",17.776,5.458,4.17,3.577,3.686
"43",17.794,4.247,4.011,3.579,3.684
"44",17.775,4.246,3.876,3.585,3.684
"45",17.783,4.243,4.38,3.676,3.914
"46",17.811,4.246,4.283,3.679,3.685
"47",17.732,4.537,3.961,3.676,3.702
"48",17.712,4.245,4.151,3.674,3.693
"49",17.718,4.248,3.928,3.674,4.145
"50",17.777,4.244,4.164,3.676,3.686
"51",17.791,4.248,4.21,3.676,3.686
"52",17.722,4.78,3.674,4.133,3.686
"53",17.79,4.129,4.129,3.676,3.694
"54",17.808,4.246,3.775,4.138,3.604
"55",18.198,4.245,3.582,3.575,3.689
"56",18.294,4.245,4.758,3.675,4.625
"57",17.786,4.251,4.12,3.676,3.615
"58",17.787,5.458,4.089,4.071,3.685
"59",17.795,4.775,4.115,3.578,3.686
"60",17.808,4.776,3.599,4.135,3.686
"61",17.779,4.773,4.174,3.579,3.687
"62",18.244,4.245,4.099,3.574,3.687
"63",21.355,5.547,3.964,3.68,3.586
"64",20.107,4.246,3.963,3.677,3.587
"65",20.613,8.083,4.438,3.678,3.59
"66",17.784,4.246,3.894,3.674,3.685
"67",18.313,4.771,4.213,3.684,4.146
"68",18.282,4.246,3.859,3.675,3.707
"69",17.814,4.241,4.155,3.675,4.146
"70",17.796,4.248,4.229,4.133,3.589
"71",17.769,4.529,4.197,3.576,3.603
"72",18.534,4.781,4.197,3.573,3.586
"73",18.29,4.248,4.164,3.584,3.685
"74",17.828,4.252,4.232,3.575,4.145
"75",17.819,5.457,4.052,3.577,3.685
"76",17.807,4.775,3.586,3.575,3.692
"77",17.793,4.775,4.162,4.135,3.705
"78",17.769,4.776,4.739,3.575,3.685
"79",18.443,4.776,4.646,3.584,3.586
"80",18.432,4.251,3.773,3.576,3.585
"81",17.817,4.245,4.187,3.574,4.145
"82",20.586,4.775,4.219,3.581,3.685
"83",17.782,5.392,3.877,3.583,3.586
"84",17.75,4.133,4.229,4.725,3.586
"85",17.776,4.248,3.92,3.685,3.591
"86",17.801,4.882,3.657,3.676,4.146
"87",17.812,4.244,4.146,3.677,3.689
"88",19.32,4.244,4.199,3.676,3.685
"89",20.502,4.129,5.885,4.134,4.143
"90",17.761,4.13,4.231,3.672,3.684
"91",17.812,4.13,4.23,3.682,3.703
"92",17.825,4.78,3.677,3.577,3.702
"93",21.578,4.252,3.743,3.575,3.685
"94",17.787,4.243,4.23,3.674,3.684
"95",17.828,4.149,4.029,3.676,3.703
"96",20.527,4.132,4.23,3.674,3.702
"97",18.007,4.243,3.81,3.676,3.686
"98",17.783,4.251,4.218,3.674,3.688
"99",17.815,4.248,4.607,3.574,3.684
"100",17.724,4.773,4.119,3.576,4.086
"101",17.754,4.244,4.14,3.576,3.594
