"","V1","V2","V3","V4","V5"
"1",3.793,1.599,0.143,0.171,0.075
"2",3.461,0.025,0.068,0.042,0.081
"3",0.585,2.577,0.182,0.039,0.154
"4",0.077,0.025,0.04,0.039,0.067
"5",0.078,0.026,0.075,0.036,0.138
"6",0.111,0.022,0.195,0.033,0.038
"7",0.063,2.464,0.272,0.038,0.06
"8",0.07,0.039,0.289,0.04,0.089
"9",0.086,0.019,0.034,0.034,0.059
"10",7.183,0.016,0.039,0.039,0.126
"11",0.051,0.021,0.183,0.032,0.076
"12",0.109,0.067,0.287,0.042,0.075
"13",0.09,0.017,0.17,0.021,0.058
"14",0.072,0.016,0.277,0.036,0.123
"15",0.062,0.02,0.035,0.041,0.058
"16",0.058,0.019,0.144,0.037,0.058
"17",0.105,0.019,0.312,0.038,0.064
"18",0.101,0.017,0.103,0.417,0.06
"19",0.066,0.017,0.106,0.055,0.06
"20",0.107,0.021,0.04,0.04,0.065
"21",0.074,0.021,0.21,0.036,0.066
"22",0.086,0.018,0.036,1.269,0.066
"23",0.033,0.018,0.035,0.834,0.035
"24",0.074,0.021,0.132,0.045,0.077
"25",9.666,0.017,0.041,1.676,0.06
"26",0.102,0.018,0.197,0.038,0.049
"27",0.073,0.019,0.278,0.022,0.065
"28",0.06,0.019,0.201,0.02,0.056
"29",0.072,0.026,0.173,0.04,0.061
"30",0.069,0.065,0.103,0.279,0.058
"31",16.298,0.026,0.263,0.149,0.059
"32",0.094,0.021,0.285,0.036,0.06
"33",0.1,0.019,0.186,0.047,0.102
"34",0.075,0.022,0.251,0.042,0.077
"35",0.065,0.019,0.185,0.188,0.058
"36",0.056,0.016,0.264,0.042,0.085
"37",0.077,0.032,0.036,0.031,0.06
"38",0.1,0.021,0.131,0.038,1.786
"39",0.109,0.598,0.164,0.037,0.06
"40",0.088,0.017,0.163,0.034,0.061
"41",0.053,1.252,0.037,0.029,0.06
"42",0.06,0.03,0.15,0.041,0.062
"43",0.074,0.036,0.283,0.034,0.058
"44",0.069,0.022,0.269,0.074,0.062
"45",0.086,0.021,0.306,0.038,1.268
"46",0.068,0.016,1.323,0.035,0.059
"47",0.089,1.66,0.29,0.036,0.129
"48",0.083,0.018,0.109,0.036,0.103
"49",0.091,0.036,0.278,0.033,0.066
"50",0.105,0.017,0.168,0.035,0.036
"51",0.069,0.036,0.1,0.037,0.059
"52",0.097,0.04,0.036,0.036,0.062
"53",0.064,0.015,0.203,0.038,0.075
"54",0.089,0.037,0.235,0.041,0.128
"55",0.101,0.018,0.033,0.037,0.067
"56",0.062,0.016,0.036,0.035,4.154
"57",0.087,0.014,0.029,0.033,0.131
"58",0.071,0.022,0.108,2.476,0.06
"59",0.088,0.02,0.032,0.044,0.061
"60",0.078,0.022,0.134,0.02,0.064
"61",0.09,0.021,0.143,0.058,0.064
"62",0.059,0.022,0.104,0.019,0.058
"63",5.761,2.646,0.276,0.036,0.06
"64",2.878,0.03,0.276,0.041,0.061
"65",0.094,4.923,1.295,0.036,0.058
"66",0.079,0.02,0.286,0.035,0.059
"67",0.089,0.025,0.105,0.034,0.073
"68",0.074,0.018,0.263,0.038,0.099
"69",0.076,0.015,0.149,0.037,0.069
"70",0.082,0.039,0.034,0.034,0.06
"71",0.113,1.632,0.109,0.04,0.125
"72",2.454,0.042,0.113,0.023,0.058
"73",0.059,0.028,0.168,0.067,0.062
"74",0.064,0.055,0.046,0.033,0.067
"75",0.066,0.026,0.16,0.019,0.058
"76",0.08,0.023,0.034,0.035,0.101
"77",0.075,0.016,0.167,0.039,0.143
"78",0.081,0.02,0.078,0.036,0.057
"79",2.456,0.023,0.23,0.062,0.062
"80",1.04,0.053,0.261,0.04,0.058
"81",0.069,0.023,0.141,0.02,0.067
"82",0.07,0.018,0.107,0.037,0.06
"83",0.077,5.208,0.27,0.074,0.056
"84",0.048,0.037,0.033,0.045,0.057
"85",0.069,0.024,0.257,0.061,0.08
"86",0.057,2.592,0.215,0.036,0.067
"87",0.08,0.02,0.205,0.049,0.06
"88",3.048,0.023,0.102,0.039,0.061
"89",0.067,0.022,1.246,0.04,0.041
"90",0.074,0.017,0.03,0.019,0.06
"91",0.062,0.016,0.036,0.038,0.134
"92",0.081,0.046,0.045,0.05,0.127
"93",9.702,0.019,0.209,0.03,0.058
"94",0.068,0.018,0.035,0.031,0.059
"95",0.059,0.129,0.321,0.045,0.126
"96",0.12,0.02,0.035,0.036,0.126
"97",1.033,0.02,0.241,0.04,0.062
"98",0.069,0.02,0.05,0.035,0.069
"99",0.07,0.016,0.26,0.03,0.059
"100",0.087,0.022,0.219,0.035,2.536
"101",0.081,0.017,0.035,0.037,0.073
