"","V1","V2","V3","V4","V5"
"1",22.819,6.601,6.057,8.114,4.366
"2",19.289,4.901,5.791,5.404,4.073
"3",18.22,4.738,5.796,5.233,3.94
"4",17.627,4.738,5.595,4.912,3.817
"5",17.076,4.584,5.405,4.768,3.703
"6",15.546,4.307,5.232,5.016,3.5
"7",18.79,4.06,5.067,4.381,3.302
"8",14.751,3.948,4.772,4.384,4.363
"9",14.757,3.843,4.505,4.382,3.393
"10",14.763,3.842,4.382,4.381,3.303
"11",18.268,3.843,4.383,4.382,3.304
"12",17.085,3.841,4.505,4.386,3.301
"13",18.321,3.841,4.505,4.9,3.302
"14",16.045,3.841,4.505,4.506,3.302
"15",18.556,3.842,4.507,4.504,3.305
"16",14.765,3.842,4.505,4.391,3.302
"17",14.767,3.947,5.067,5.071,3.394
"18",14.756,3.948,4.383,4.508,3.393
"19",17.647,3.841,4.389,4.506,3.394
"20",14.927,4.442,4.386,4.381,3.82
"21",14.764,3.948,4.385,4.381,3.817
"22",14.923,3.948,4.504,4.382,3.817
"23",15.016,3.842,4.505,9.61,3.302
"24",18.119,3.837,4.508,5.066,3.303
"25",16.287,3.842,5.067,4.507,3.393
"26",14.772,3.841,4.383,4.503,3.395
"27",15.933,3.949,4.505,4.504,3.395
"28",14.762,3.948,4.507,4.505,3.397
"29",18.771,5.075,4.508,4.504,3.394
"30",14.761,5.079,4.505,4.385,3.303
"31",14.763,4.441,4.384,4.387,3.302
"32",17.072,4.472,4.383,4.382,3.392
"33",16.684,3.841,4.383,4.381,3.395
"34",14.765,4.442,4.384,4.504,3.394
"35",16.914,3.842,4.382,4.503,3.394
"36",14.762,3.948,4.384,4.386,3.395
"37",14.759,3.949,4.383,4.382,3.416
"38",14.777,4.834,4.386,4.507,3.396
"39",18.138,5.495,4.383,4.385,3.394
"40",14.755,3.948,4.383,4.385,3.394
"41",18.042,3.95,4.383,4.381,3.395
"42",14.761,5.071,4.505,4.382,3.394
"43",18.632,4.344,4.505,4.386,3.4
"44",14.75,3.948,4.728,4.384,3.393
"45",18.642,3.95,5.07,4.503,3.394
"46",14.757,3.948,4.504,4.507,3.394
"47",17.831,3.949,4.505,4.503,3.393
"48",14.767,3.949,5.068,4.504,3.393
"49",18.602,3.948,4.505,4.504,3.817
"50",14.749,3.948,4.505,4.516,3.393
"51",17.474,3.948,4.505,4.503,3.393
"52",14.764,4.442,4.507,5.066,3.394
"53",14.779,3.844,4.504,4.509,3.397
"54",14.762,3.948,4.504,5.072,3.301
"55",15.985,3.948,4.383,4.384,3.402
"56",15.179,3.949,5.068,4.504,3.305
"57",14.773,3.948,4.383,4.509,3.302
"58",14.769,5.075,4.384,4.381,3.394
"59",14.856,4.442,4.383,4.386,3.394
"60",14.931,4.441,4.383,5.067,3.392
"61",17.192,4.442,4.51,4.382,3.395
"62",15.173,3.948,4.42,4.382,3.394
"63",16.534,3.949,4.518,4.503,3.308
"64",15.171,3.953,4.505,4.504,3.302
"65",20.056,4.496,4.505,4.75,3.305
"66",14.8,3.947,4.504,4.504,3.393
"67",15.489,4.441,4.504,4.504,3.817
"68",15.172,3.949,4.508,4.504,3.301
"69",14.762,3.948,5.072,4.504,3.819
"70",14.767,3.948,4.504,5.067,3.302
"71",14.766,3.949,4.507,4.381,3.302
"72",15.183,4.442,4.505,4.382,3.302
"73",15.178,3.948,4.505,4.39,3.395
"74",14.775,3.949,4.436,4.382,3.818
"75",14.89,5.076,4.384,4.381,3.394
"76",14.765,4.441,4.382,4.382,3.394
"77",18.932,4.444,4.507,5.066,3.404
"78",14.769,4.442,5.068,4.382,3.394
"79",15.182,4.442,5.067,4.391,3.307
"80",15.177,3.948,4.386,4.381,3.3
"81",14.765,3.948,4.504,4.384,3.82
"82",15.746,4.443,4.505,4.382,3.394
"83",14.762,3.841,4.504,4.382,3.306
"84",14.764,3.842,4.504,5.791,3.303
"85",14.756,3.949,4.382,4.504,3.302
"86",14.763,3.947,4.386,4.504,3.818
"87",18.78,3.947,4.505,4.508,3.593
"88",17.063,3.948,4.752,4.503,3.393
"89",17.107,3.844,7.001,5.067,3.82
"90",14.77,3.841,4.505,4.503,3.394
"91",14.767,3.842,4.505,4.506,3.393
"92",14.756,4.441,4.503,4.383,3.396
"93",16.083,3.948,4.505,4.381,3.394
"94",14.779,3.947,4.504,4.507,3.396
"95",18.455,3.842,4.653,4.504,3.393
"96",17.072,3.842,4.506,4.506,3.393
"97",18.669,3.949,4.504,4.503,3.394
"98",14.78,3.948,4.505,4.505,3.401
"99",17.2,3.943,5.068,4.387,3.393
"100",14.775,4.442,4.505,4.381,3.302
"101",14.771,3.949,5.066,4.382,3.301
