"","V1","V2","V3","V4","V5"
"1",0.131,3.904,0.29,0.016,0.016
"2",2.545,0.01,0.012,0.01,0.01
"3",0.092,0.01,0.012,0.009,0.011
"4",0.065,0.009,0.029,0.008,0.008
"5",0.064,0.008,0.012,0.009,0.007
"6",2.432,0.012,0.012,2.461,0.01
"7",10.435,0.009,0.01,0.007,0.01
"8",0.022,0.01,0.015,0.024,0.012
"9",0.03,0.009,0.011,0.009,0.009
"10",0.023,0.01,0.009,0.007,0.01
"11",12.128,0.009,0.011,0.009,0.008
"12",0.064,0.009,0.009,0.007,0.009
"13",11.048,0.009,0.008,2.528,0.009
"14",2.84,0.007,0.01,0.008,0.011
"15",8.061,0.008,0.01,0.008,0.009
"16",0.024,0.008,0.008,0.044,0.009
"17",0.022,0.007,0.009,0.011,0.008
"18",0.021,0.008,0.007,0.012,0.009
"19",9.919,0.006,0.041,0.007,0.009
"20",0.943,0.01,0.024,0.007,0.009
"21",0.021,0.008,0.024,0.007,0.011
"22",0.928,0.007,0.009,0.008,0.008
"23",0.023,0.008,0.01,10.591,0.009
"24",16.468,0.01,0.011,0.009,0.009
"25",4.98,0.007,0.01,0.009,0.008
"26",0.028,0.007,0.009,0.009,0.01
"27",6.733,0.007,0.012,0.009,0.011
"28",0.024,0.009,0.027,0.01,0.008
"29",12.424,0.009,0.023,0.011,0.008
"30",0.035,0.009,0.01,0.008,0.01
"31",0.02,0.009,0.008,0.038,0.011
"32",0.065,0.166,0.01,0.008,0.009
"33",2.571,0.008,0.011,0.008,0.012
"34",0.036,0.01,0.009,0.009,0.01
"35",10.131,0.006,0.007,0.008,0.009
"36",0.026,0.008,0.012,0.028,0.008
"37",0.02,0.009,0.008,0.01,0.081
"38",0.03,3.556,0.025,0.01,0.012
"39",11.48,4.885,0.01,0.023,0.011
"40",0.024,0.007,0.009,0.025,0.01
"41",8.253,0.008,0.008,0.009,0.01
"42",0.025,0.012,0.013,0.008,0.011
"43",8.427,2.229,0.009,0.013,0.009
"44",0.021,0.007,1.284,0.025,0.009
"45",10.016,0.021,0.012,0.009,0.01
"46",0.024,0.007,0.01,0.009,0.01
"47",9.873,0.011,0.009,0.008,0.011
"48",0.027,0.01,0.011,0.008,0.008
"49",11.119,0.007,0.008,0.007,0.01
"50",0.024,0.009,0.01,0.073,0.008
"51",9.242,0.009,0.009,0.008,0.009
"52",0.024,0.009,0.009,0.009,0.01
"53",0.081,0.01,0.008,0.02,0.021
"54",0.049,0.008,0.009,0.009,0.007
"55",4.676,0.01,0.009,0.008,0.024
"56",0.026,0.006,0.012,0.008,0.01
"57",0.106,0.008,0.008,0.024,0.008
"58",0.049,0.012,0.009,0.007,0.01
"59",0.551,0.008,0.01,0.026,0.011
"60",0.985,0.008,0.009,0.011,0.008
"61",6.736,0.01,0.029,0.009,0.01
"62",0.021,0.009,0.218,0.012,0.01
"63",0.048,0.007,0.074,0.01,0.011
"64",0.062,0.033,0.01,0.009,0.011
"65",7.398,2.849,0.011,1.386,0.026
"66",0.135,0.007,0.011,0.01,0.008
"67",1.814,0.008,0.011,0.009,0.011
"68",0.026,0.008,0.026,0.009,0.008
"69",0.025,0.009,0.013,0.012,0.01
"70",0.045,0.009,0.008,0.008,0.011
"71",0.061,0.008,0.026,0.007,0.011
"72",0.025,0.01,0.008,0.009,0.008
"73",0.022,0.008,0.01,0.009,0.012
"74",0.022,0.009,0.077,0.009,0.012
"75",0.742,0.009,0.009,0.008,0.009
"76",0.022,0.008,0.007,0.008,0.01
"77",10.979,0.009,0.01,0.01,0.033
"78",0.02,0.009,0.012,0.007,0.012
"79",0.036,0.007,0.013,0.007,0.013
"80",0.026,0.009,0.009,0.009,0.009
"81",0.026,0.007,0.007,0.009,0.012
"82",2.77,0.01,0.011,0.009,0.008
"83",0.022,0.008,0.009,0.01,0.026
"84",0.026,0.008,0.009,0.019,0.011
"85",0.03,0.008,0.008,0.011,0.012
"86",0.033,0.006,0.01,0.01,0.01
"87",8.673,0.006,0.011,0.007,1.13
"88",0.029,0.009,1.383,0.009,0.014
"89",0.119,0.009,5.423,0.009,0.023
"90",0.034,0.008,0.009,0.009,0.008
"91",0.032,0.01,0.011,0.008,0.008
"92",0.025,0.008,0.009,0.014,0.01
"93",0.021,0.008,0.009,0.007,0.008
"94",0.063,0.008,0.008,0.008,0.011
"95",12.048,0.008,0.185,0.01,0.01
"96",0.068,0.008,0.023,0.009,0.01
"97",10.485,0.008,0.01,0.007,0.011
"98",0.068,0.008,0.008,0.022,0.009
"99",7.045,0.008,0.012,0.009,0.008
"100",0.02,0.008,0.011,0.007,0.009
"101",0.028,0.009,0.009,0.008,0.009
