"","V1","V2","V3","V4","V5"
"1",36.392,10.54,10.009,7.069,8.902
"2",24.634,5.456,5.753,5.01,4.595
"3",21.955,5.093,5.229,5.008,4.596
"4",21.261,4.929,5.23,7.146,4.314
"5",19.896,4.774,4.968,4.572,4.069
"6",18.81,4.628,4.826,5.008,3.849
"7",17.771,4.366,4.313,4.913,3.848
"8",17.798,4.246,4.635,4.718,4.452
"9",17.786,4.775,4.206,4.595,3.848
"10",17.812,4.133,5.042,3.844,3.848
"11",17.8,4.128,4.397,4.175,3.848
"12",17.806,4.245,5.707,4.094,4.453
"13",17.801,4.245,4.733,4.093,4.449
"14",20.573,4.241,4.507,3.801,3.955
"15",17.774,4.242,4.012,4.241,3.956
"16",17.822,4.128,4.432,4.075,3.851
"17",17.728,4.129,3.968,4.001,3.848
"18",17.8,4.137,3.978,4.11,3.849
"19",17.829,4.127,4.433,3.987,3.958
"20",17.786,4.136,4.481,4.088,3.955
"21",17.795,4.131,4.511,4.123,3.849
"22",17.742,4.131,4.45,4.077,3.954
"23",17.73,4.129,4.435,4.093,3.956
"24",18.307,4.128,4.23,3.921,3.961
"25",18.267,4.129,3.985,4.657,3.956
"26",18.299,4.13,4.464,4.03,3.958
"27",18.218,4.128,4.24,4.078,3.954
"28",17.751,4.13,4.297,3.875,3.957
"29",18.305,4.774,4.038,4.091,3.955
"30",18.319,4.245,4.329,4.24,3.958
"31",18.305,4.129,3.931,5.256,3.955
"32",18.317,4.132,4.415,4.11,3.956
"33",17.802,4.243,3.977,4.172,3.959
"34",17.719,4.243,3.997,4.713,3.955
"35",17.815,4.129,4.481,4.563,3.955
"36",18.298,4.244,4.399,4.689,3.955
"37",18.301,4.244,4.346,4.207,3.956
"38",17.738,4.244,4.45,4.19,3.955
"39",21.855,4.244,5.023,4.207,3.961
"40",20.514,4.247,3.996,4.13,3.957
"41",20.583,4.243,4.449,4.105,3.851
"42",17.817,4.13,4.36,3.942,3.852
"43",17.821,4.128,4.768,4.189,3.956
"44",17.785,4.242,4.248,4.023,3.959
"45",17.792,4.243,4.235,4.155,3.963
"46",17.791,4.244,4.398,3.771,3.96
"47",17.782,4.243,4.483,4.098,3.958
"48",17.76,4.245,4.471,4.248,3.957
"49",17.767,4.244,4.063,4.731,3.96
"50",22.04,4.243,4.493,4.112,3.955
"51",17.761,4.244,5.47,3.899,3.958
"52",17.744,4.244,4.441,3.994,3.955
"53",17.789,4.13,4.469,4.693,3.959
"54",20.69,4.132,4.327,4.078,3.851
"55",18.303,4.244,4.397,4.09,3.85
"56",18.318,4.246,4.496,4.713,5.584
"57",17.819,4.777,5.024,4.542,5.377
"58",17.755,4.252,4.45,4.694,3.958
"59",17.785,4.244,4.434,4.172,4.19
"60",17.828,4.243,3.978,4.215,4.596
"61",17.805,4.128,4.449,4.205,4.452
"62",18.272,4.128,4.466,4.089,4.189
"63",20.574,4.128,5.343,4.768,4.187
"64",17.783,4.13,5.004,4.107,4.068
"65",17.74,4.129,4.624,4.694,4.19
"66",17.818,4.128,5.506,4.627,4.454
"67",17.775,4.13,4.504,4.206,4.314
"68",17.816,4.13,4.64,4.191,4.594
"69",18.271,4.128,4.408,4.328,4.745
"70",21.622,4.776,4.232,4.222,4.763
"71",17.79,4.129,4.968,3.776,4.912
"72",22.324,4.129,4.432,4.751,4.91
"73",18.305,4.131,4.45,4.175,4.918
"74",18.246,4.78,4.322,5.646,4.769
"75",17.804,5.455,4.32,4.457,4.753
"76",17.811,4.245,4.15,5.999,4.608
"77",17.723,4.243,3.995,4.73,4.318
"78",18.281,4.355,4.449,5.05,4.189
"79",18.243,7.083,3.968,7.889,3.957
"80",17.799,4.246,4.058,4.986,3.851
"81",17.765,4.334,4.19,5.294,3.957
"82",19.863,4.242,4.483,4.988,3.954
"83",18.262,4.244,4.467,4.906,3.955
"84",19.218,4.245,4.454,4.867,3.957
"85",18.261,4.243,3.886,4.536,3.956
"86",18.31,4.245,4.343,4.437,3.849
"87",18.245,4.247,4.494,4.111,4.318
"88",17.737,4.247,7.087,4.094,3.957
"89",17.825,4.256,5.998,4.189,3.958
"90",17.811,4.244,6.582,4.175,3.955
"91",23.532,4.245,4.809,4.147,3.99
"92",21.592,4.243,5.341,4.147,3.955
"93",17.804,4.244,5.146,4.138,3.955
"94",17.812,4.292,7.906,4.231,3.968
"95",20.518,4.248,5.587,4.241,3.956
"96",21.573,4.243,5.547,3.914,3.957
"97",17.81,4.243,5.122,4.086,3.957
"98",17.817,4.253,5.28,4.156,4.452
"99",17.796,4.243,5.159,4.186,3.848
"100",18.305,4.244,5.235,4.139,3.848
"101",18.215,4.249,5.151,4.11,3.85
