"","V1","V2","V3","V4","V5"
"1",4.86,3.697,0.344,3.022,0.102
"2",3.181,0.025,0.135,0.179,0.059
"3",0.085,0.025,0.291,0.182,0.051
"4",0.098,0.025,0.054,4.452,0.043
"5",0.087,0.023,0.216,0.111,0.043
"6",0.059,0.02,0.304,0.181,0.041
"7",0.072,0.021,0.166,0.017,0.037
"8",0.099,0.038,0.286,0.124,0.054
"9",0.077,0.02,0.257,0.105,0.038
"10",0.069,0.021,0.087,0.145,0.037
"11",0.086,0.017,0.036,0.172,0.036
"12",0.055,0.019,0.214,0.063,0.051
"13",0.065,0.022,2.481,0.11,0.042
"14",0.088,0.016,0.035,0.099,0.042
"15",0.062,0.018,0.168,0.044,0.048
"16",0.075,0.02,0.172,0.14,0.047
"17",0.046,0.02,0.056,0.231,0.036
"18",0.125,0.061,0.112,0.014,0.044
"19",0.077,0.018,0.193,0.147,0.039
"20",0.083,0.016,0.11,0.242,0.035
"21",0.077,0.019,0.183,0.135,0.037
"22",0.057,0.021,0.171,0.143,0.036
"23",0.088,0.02,0.172,0.087,0.039
"24",0.088,0.018,0.198,0.255,0.038
"25",0.059,0.015,0.138,0.21,0.04
"26",0.08,0.015,0.065,0.137,0.048
"27",0.084,0.018,0.102,0.114,0.033
"28",0.08,0.018,0.185,0.265,0.056
"29",0.062,0.018,0.158,0.251,0.035
"30",0.082,0.018,0.146,0.035,0.061
"31",0.071,0.017,0.202,0.3,0.037
"32",0.081,0.031,0.192,0.064,0.038
"33",0.064,0.017,0.109,0.171,0.059
"34",0.099,0.015,0.146,0.165,0.037
"35",0.081,0.017,0.11,0.282,0.04
"36",0.063,0.018,0.207,0.131,0.037
"37",0.079,0.02,0.145,0.112,0.038
"38",0.058,0.017,0.15,0.118,0.038
"39",9.933,0.016,0.138,0.09,0.037
"40",0.062,0.037,0.143,0.204,0.051
"41",0.064,0.024,0.15,0.222,0.036
"42",0.105,0.017,0.11,0.268,0.061
"43",0.075,0.015,2.471,0.121,0.039
"44",0.07,0.018,0.227,0.289,0.06
"45",0.067,0.018,1.362,0.173,0.049
"46",0.081,0.018,0.209,0.128,0.054
"47",0.071,0.019,0.074,0.14,0.052
"48",0.092,0.018,0.111,0.154,0.05
"49",0.058,0.018,0.234,0.09,0.069
"50",8.976,0.017,0.049,0.181,0.039
"51",0.1,0.019,2.77,0.136,0.052
"52",0.071,0.015,0.166,0.228,0.045
"53",0.073,0.03,0.117,0.193,0.048
"54",1.03,0.019,0.151,0.114,0.054
"55",0.072,0.017,0.212,0.23,0.044
"56",0.065,0.02,0.028,0.135,3.154
"57",0.074,0.037,0.134,2.526,4.373
"58",0.083,0.057,0.152,0.195,0.05
"59",0.068,0.021,0.17,0.15,0.05
"60",0.082,0.017,0.071,0.051,0.056
"61",0.089,0.019,0.174,0.112,0.055
"62",0.068,0.016,0.147,0.371,0.051
"63",0.086,0.017,0.223,0.038,0.038
"64",0.079,0.016,0.172,0.221,0.038
"65",0.107,0.02,1.3,0.168,0.054
"66",0.077,0.018,4.065,0.167,0.065
"67",0.111,0.022,0.103,0.113,0.043
"68",0.075,0.02,0.292,0.115,0.054
"69",0.064,0.018,0.212,0.147,0.044
"70",8.402,0.034,0.236,0.06,0.122
"71",0.074,0.019,0.235,0.159,0.053
"72",13.295,0.021,0.191,0.069,0.051
"73",0.075,0.02,0.169,0.151,0.056
"74",0.085,0.054,0.164,2.447,0.18
"75",0.099,0.027,0.166,3.655,0.082
"76",0.086,0.016,0.164,8.331,0.079
"77",0.072,0.02,0.143,0.129,0.062
"78",0.071,0.491,0.151,2.003,0.046
"79",0.079,1.293,0.053,1.393,0.05
"80",0.076,0.02,0.268,0.23,0.055
"81",0.061,0.22,0.19,0.47,0.05
"82",8.234,0.024,0.113,0.207,0.039
"83",0.051,0.021,0.12,0.297,0.038
"84",4.684,0.02,0.146,0.138,0.049
"85",0.071,0.018,0.145,0.185,0.045
"86",0.08,0.022,0.131,0.125,0.04
"87",0.071,0.035,0.05,0.218,2.499
"88",0.069,0.04,3.422,0.071,0.051
"89",0.08,0.021,5.36,0.145,0.048
"90",0.063,0.018,0.104,0.177,0.037
"91",0.092,0.022,0.178,0.188,0.23
"92",0.059,0.02,0.179,0.193,0.042
"93",0.071,0.024,0.314,0.192,0.038
"94",0.063,0.173,0.196,0.033,0.113
"95",0.094,0.037,0.073,0.016,0.047
"96",9.584,0.017,0.331,0.264,0.036
"97",0.068,0.019,0.175,0.245,0.045
"98",0.052,0.018,0.271,0.172,0.056
"99",0.061,0.017,2.619,0.128,0.038
"100",0.069,0.02,0.252,0.208,0.038
"101",0.096,0.046,2.504,0.22,0.053
