"","V1","V2","V3","V4","V5"
"1",27.429,8.883,10.136,5.929,7.035
"2",19.517,5.076,6.259,4.745,3.628
"3",18.222,4.739,5.407,4.817,3.724
"4",17.632,4.586,5.232,4.74,3.407
"5",17.194,4.443,5.068,4.74,3.215
"6",15.609,4.307,5.068,4.743,3.039
"7",17.804,4.061,4.385,4.586,3.042
"8",14.764,3.948,5.379,4.442,3.515
"9",18.337,4.443,4.386,4.309,3.048
"10",14.765,3.843,5.068,4.063,3.042
"11",16.203,3.842,4.384,3.95,3.039
"12",14.938,3.949,5.793,3.843,3.519
"13",14.751,3.948,4.506,3.844,3.514
"14",15.68,3.948,4.506,3.95,3.121
"15",14.762,3.949,4.506,3.951,3.136
"16",14.761,3.842,4.505,3.846,3.039
"17",14.757,3.842,4.507,3.843,3.039
"18",14.753,3.845,4.506,3.843,3.039
"19",15.778,3.842,4.505,3.843,3.128
"20",14.812,3.843,4.507,3.95,3.128
"21",17.6,3.842,5.067,3.953,3.04
"22",14.798,3.842,4.505,3.843,3.123
"23",18.751,3.842,4.509,3.842,3.122
"24",15.39,3.842,4.505,3.842,3.124
"25",15.377,3.842,4.508,4.443,3.124
"26",15.167,3.842,5.076,3.842,3.124
"27",15.449,3.844,4.268,3.842,3.123
"28",14.904,3.841,4.384,3.843,3.132
"29",16.191,4.442,4.387,3.954,3.123
"30",15.171,3.948,4.383,3.949,3.125
"31",16.018,3.844,4.383,5.077,3.124
"32",15.162,3.844,4.504,3.843,3.124
"33",20.29,3.948,4.506,3.949,3.127
"34",14.769,3.948,4.508,4.444,3.124
"35",18.209,3.843,4.504,4.443,3.123
"36",15.182,3.948,4.506,4.447,3.123
"37",15.98,3.948,4.383,3.95,3.124
"38",14.761,3.948,4.506,3.95,3.127
"39",16.2,3.948,5.069,3.948,3.124
"40",17.087,3.949,4.505,3.949,3.126
"41",17.088,3.951,4.509,3.949,3.04
"42",14.764,3.841,4.383,3.949,3.041
"43",14.767,3.842,4.384,3.95,3.122
"44",14.759,3.949,4.387,3.95,3.124
"45",14.757,3.948,4.506,3.956,3.124
"46",14.764,3.948,4.505,3.95,3.127
"47",14.76,3.948,4.506,3.951,3.123
"48",14.754,3.947,4.506,4.444,3.124
"49",14.764,3.948,4.508,4.443,3.124
"50",16.2,3.949,4.505,3.843,3.115
"51",14.767,3.949,4.506,3.846,3.125
"52",14.774,3.949,4.514,3.843,3.123
"53",15.101,3.842,4.509,4.443,3.124
"54",17.071,3.842,4.384,3.842,3.043
"55",15.174,3.949,4.505,3.95,3.04
"56",15.172,3.948,4.507,4.443,3.126
"57",14.767,4.443,5.38,3.843,4.259
"58",14.764,3.949,4.506,4.442,3.124
"59",14.801,3.949,4.506,3.949,3.307
"60",17.83,3.95,4.506,3.95,3.637
"61",14.773,3.842,4.506,3.95,3.515
"62",16.345,3.841,4.509,3.949,3.308
"63",16.319,3.841,5.793,4.444,3.308
"64",16.701,3.841,5.069,3.951,3.222
"65",14.756,3.841,4.505,4.671,3.308
"66",14.761,3.842,4.536,4.442,3.512
"67",14.758,3.842,4.505,3.949,3.41
"68",14.764,3.841,5.069,3.949,3.633
"69",15.23,3.846,4.505,4.443,3.748
"70",16.648,4.442,4.383,3.95,3.759
"71",14.763,3.842,5.068,3.95,3.878
"72",14.777,3.842,4.505,4.447,4.105
"73",15.181,3.843,4.506,3.952,3.877
"74",16.221,4.445,4.385,4.835,3.748
"75",14.757,5.077,4.384,4.29,3.748
"76",18.315,3.948,4.506,4.22,3.631
"77",14.772,3.949,4.506,4.443,3.409
"78",16.267,4.377,4.509,4.738,3.307
"79",15.182,6.908,4.508,8.186,3.124
"80",18.507,3.947,4.506,4.739,3.04
"81",15.813,3.949,4.506,4.906,3.124
"82",18.358,3.951,4.53,4.739,3.124
"83",16.931,3.949,4.505,4.738,3.132
"84",19.23,3.947,4.505,4.59,3.124
"85",15.182,3.949,4.383,4.309,3.123
"86",15.174,5.908,4.384,4.181,3.048
"87",15.183,3.948,4.514,3.949,3.123
"88",17.336,3.949,5.575,3.846,3.132
"89",14.788,4.043,4.783,3.95,3.123
"90",17.62,3.949,7.388,3.95,3.123
"91",19.515,3.949,5.235,3.949,3.123
"92",15.631,3.949,5.666,3.95,3.125
"93",14.77,4.053,5.407,3.95,3.125
"94",17.829,3.95,8.893,3.949,3.125
"95",16.677,3.951,5.592,3.95,3.125
"96",16.199,3.949,5.793,3.951,3.131
"97",14.758,3.949,5.937,3.949,3.124
"98",18.777,3.948,5.74,3.952,3.516
"99",14.762,3.958,5.555,3.95,3.055
"100",15.173,3.948,5.232,3.95,3.039
"101",15.287,3.949,4.77,3.949,3.045
