"","V1","V2","V3","V4","V5"
"1",0.22,0.019,0.016,0.027,0.107
"2",0.076,0.01,2.626,0.018,0.055
"3",0.125,0.011,0.01,0.444,0.545
"4",0.072,0.01,0.01,0.019,0.053
"5",2.476,0.01,0.008,0.01,0.054
"6",0.03,0.01,0.009,0.012,0.049
"7",10.293,0.008,0.007,0.011,0.047
"8",0.02,0.009,0.009,0.009,0.054
"9",11.506,0.01,0.023,0.01,0.071
"10",0.033,0.007,0.009,0.01,0.053
"11",8.298,0.008,0.008,0.008,0.047
"12",1.012,0.01,0.009,0.007,0.056
"13",0.028,0.009,0.009,0.011,0.056
"14",2.793,0.008,0.007,0.008,0.008
"15",0.035,0.008,0.007,0.011,0.071
"16",0.021,0.007,0.007,0.008,0.048
"17",0.029,0.008,0.008,0.008,0.048
"18",0.021,0.024,0.011,0.007,0.047
"19",5.699,0.008,0.009,0.009,0.05
"20",0.097,0.007,0.007,0.008,0.059
"21",10.505,0.007,0.009,0.026,0.049
"22",0.08,0.007,0.007,0.01,0.049
"23",11.516,0.009,0.022,0.008,0.049
"24",1.258,0.007,0.009,0.011,0.049
"25",1.259,0.008,0.01,0.012,0.05
"26",0.028,0.008,0.05,0.01,0.048
"27",2.42,0.008,0.009,0.01,0.048
"28",0.791,0.007,0.006,0.007,0.073
"29",5.019,0.009,0.024,0.027,0.048
"30",0.023,0.008,0.007,0.011,0.048
"31",4.851,0.01,0.008,0.009,0.048
"32",0.026,0.025,0.008,0.009,0.047
"33",13.51,0.009,0.009,0.009,0.053
"34",0.024,0.008,0.007,0.01,0.048
"35",9.244,0.01,0.008,0.011,0.049
"36",0.035,0.008,0.009,0.011,0.049
"37",3.535,0.007,0.008,0.009,0.049
"38",0.027,0.008,0.008,0.009,0.054
"39",0.025,0.007,0.01,0.008,0.049
"40",0.063,0.01,0.007,0.011,0.049
"41",0.077,0.009,0.023,0.011,0.046
"42",0.025,0.009,0.01,0.01,0.052
"43",0.029,0.01,0.008,0.01,0.047
"44",0.02,0.01,0.009,0.012,0.049
"45",0.036,0.009,0.008,0.009,0.048
"46",0.02,0.008,0.007,0.01,0.047
"47",0.02,0.007,0.009,0.01,0.05
"48",0.027,0.008,0.009,0.01,0.047
"49",0.021,0.008,0.008,0.009,0.05
"50",0.021,0.009,0.01,0.008,0.008
"51",0.067,0.007,0.007,0.009,0.049
"52",0.023,0.01,0.055,0.011,0.047
"53",1.373,0.009,0.009,0.01,0.049
"54",0.066,0.007,0.008,0.009,0.051
"55",0.029,0.009,0.009,0.008,0.048
"56",0.029,0.007,0.007,0.01,0.054
"57",0.027,0.008,1.786,0.008,3.452
"58",0.025,0.007,0.009,0.009,0.047
"59",0.085,0.009,0.008,0.01,0.05
"60",10.191,0.01,0.008,0.009,0.083
"61",0.063,0.008,0.01,0.01,0.055
"62",6.585,0.009,0.022,0.011,0.052
"63",2.794,0.009,0.009,0.009,0.052
"64",8.624,0.007,0.011,0.011,0.074
"65",0.02,0.008,0.01,1.301,0.051
"66",0.023,0.008,0.143,0.011,0.019
"67",0.02,0.008,0.008,0.011,0.056
"68",0.025,0.007,0.009,0.009,0.067
"69",0.362,0.026,0.009,0.01,0.058
"70",0.023,0.01,0.007,0.013,0.088
"71",0.031,0.009,0.008,0.008,0.06
"72",0.027,0.007,0.008,0.03,1.294
"73",0.025,0.007,0.008,0.012,0.06
"74",6.034,0.025,0.008,2.882,0.059
"75",0.024,0.011,0.007,2.528,0.06
"76",9.696,0.01,0.007,0.211,0.062
"77",0.026,0.008,0.007,0.01,0.056
"78",5.247,1.073,0.008,0.011,0.053
"79",0.034,0.117,0.009,0.322,0.05
"80",8.69,0.007,0.007,0.013,0.047
"81",3.417,0.009,0.008,0.019,0.05
"82",6.436,0.014,0.085,0.011,0.049
"83",5.585,0.007,0.007,0.01,0.071
"84",7.32,0.008,0.009,0.026,0.049
"85",0.06,0.009,0.007,0.008,0.049
"86",0.023,3.497,0.007,0.008,0.071
"87",0.021,0.008,0.023,0.008,0.047
"88",7.964,0.007,1.324,0.01,0.073
"89",0.166,0.537,0.01,0.008,0.047
"90",9.38,0.009,0.266,0.01,0.049
"91",0.073,0.007,0.009,0.007,0.049
"92",3.632,0.009,1.285,0.01,0.048
"93",0.02,0.591,0.01,0.009,0.048
"94",9.277,0.01,0.411,0.009,0.05
"95",2.873,0.009,0.009,0.008,0.05
"96",0.022,0.01,0.01,0.01,0.065
"97",0.026,0.01,0.009,0.011,0.049
"98",9.924,0.009,0.01,0.025,0.055
"99",0.021,0.062,0.01,0.008,0.083
"100",0.024,0.01,0.012,0.01,0.048
"101",2.537,0.009,0.008,0.011,0.05
