           6.830 (37.067 %)
           0.072 ( 0.468 %)
           0.063 ( 0.397 %)
           1.789 (11.092 %)
           0.061 ( 0.385 %)
           0.084 ( 0.531 %)
           0.917 ( 5.906 %)
           0.056 ( 0.356 %)
           0.065 ( 0.365 %)
           0.060 ( 0.389 %)
           0.062 ( 0.405 %)
           0.061 ( 0.397 %)
           0.071 ( 0.399 %)
           0.082 ( 0.534 %)
           0.042 ( 0.271 %)
           0.053 ( 0.343 %)
           2.429 (15.108 %)
           0.070 ( 0.442 %)
           2.639 (15.509 %)
           0.075 ( 0.488 %)
           0.072 ( 0.457 %)
           0.058 ( 0.365 %)
           0.036 ( 0.236 %)
           0.053 ( 0.345 %)
           0.048 ( 0.315 %)
           0.032 ( 0.208 %)
           0.071 ( 0.449 %)
           0.071 ( 0.447 %)
           0.061 ( 0.400 %)
           0.050 ( 0.327 %)
           0.057 ( 0.370 %)
           0.063 ( 0.410 %)
           0.053 ( 0.347 %)
           0.071 ( 0.464 %)
           0.060 ( 0.390 %)
           0.069 ( 0.449 %)
           0.067 ( 0.438 %)
           0.085 ( 0.538 %)
           0.080 ( 0.505 %)
           0.062 ( 0.391 %)
           0.076 ( 0.427 %)
           0.050 ( 0.323 %)
           0.059 ( 0.383 %)
           0.073 ( 0.462 %)
           0.074 ( 0.467 %)
           0.054 ( 0.345 %)
           0.040 ( 0.261 %)
           0.056 ( 0.362 %)
           0.048 ( 0.302 %)
           0.051 ( 0.321 %)
           0.175 ( 1.109 %)
           0.967 ( 6.041 %)
           1.776 (10.944 %)
           0.056 ( 0.353 %)
           0.074 ( 0.472 %)
           0.051 ( 0.325 %)
           0.062 ( 0.394 %)
           0.057 ( 0.363 %)
           1.670 (10.401 %)
           0.063 ( 0.398 %)
           1.626 (10.134 %)
           0.165 ( 1.043 %)
           0.071 ( 0.462 %)
           0.076 ( 0.482 %)
           0.071 ( 0.448 %)
           0.067 ( 0.328 %)
           0.067 ( 0.435 %)
          13.967 (74.348 %)
           0.056 ( 0.363 %)
           0.061 ( 0.384 %)
           0.047 ( 0.297 %)
           0.076 ( 0.491 %)
           0.073 ( 0.479 %)
           0.067 ( 0.438 %)
           0.046 ( 0.300 %)
           0.053 ( 0.347 %)
           0.044 ( 0.287 %)
           0.068 ( 0.439 %)
           0.059 ( 0.388 %)
           0.045 ( 0.295 %)
           0.070 ( 0.392 %)
           0.820 ( 5.296 %)
           0.045 ( 0.289 %)
           0.063 ( 0.410 %)
           0.054 ( 0.352 %)
           0.069 ( 0.449 %)
           0.060 ( 0.395 %)
           2.478 (15.374 %)
           0.062 ( 0.392 %)
           0.037 ( 0.240 %)
           0.065 ( 0.424 %)
           0.061 ( 0.397 %)
           0.078 ( 0.508 %)
           0.054 ( 0.349 %)
           0.039 ( 0.255 %)
           0.073 ( 0.475 %)
           0.057 ( 0.369 %)
           0.055 ( 0.362 %)
           0.058 ( 0.381 %)
           0.052 ( 0.337 %)
           0.059 ( 0.386 %)
