           6.830 (37.067 %)	           0.193 ( 4.792 %)	           0.106 ( 3.836 %)	           0.035 ( 1.582 %)	           0.043 ( 1.176 %)
           0.072 ( 0.468 %)	           0.196 ( 5.004 %)	           0.086 ( 3.003 %)	           0.029 ( 1.326 %)	           2.471 (60.051 %)
           0.063 ( 0.397 %)	           0.155 ( 3.918 %)	           0.089 ( 3.097 %)	           0.033 ( 1.487 %)	           0.045 ( 1.170 %)
           1.789 (11.092 %)	           0.123 ( 2.740 %)	           0.107 ( 3.208 %)	           0.081 ( 3.153 %)	           0.077 ( 1.794 %)
           0.061 ( 0.385 %)	           0.182 ( 4.408 %)	           0.029 ( 1.036 %)	           0.033 ( 1.453 %)	           0.053 ( 1.380 %)
           0.084 ( 0.531 %)	           0.279 ( 6.480 %)	           0.110 ( 3.753 %)	           0.030 ( 1.326 %)	           2.488 (59.083 %)
           0.917 ( 5.906 %)	           0.165 ( 3.889 %)	           2.213 (66.187 %)	           0.030 ( 1.323 %)	           0.073 ( 1.899 %)
           0.056 ( 0.356 %)	           0.148 ( 3.684 %)	           0.107 ( 3.760 %)	           0.031 ( 1.366 %)	           0.365 ( 9.355 %)
           0.065 ( 0.365 %)	           0.159 ( 3.979 %)	           0.104 ( 3.657 %)	           0.029 ( 1.263 %)	           0.085 ( 2.224 %)
           0.060 ( 0.389 %)	           0.316 ( 6.306 %)	           0.171 ( 5.705 %)	           0.034 ( 1.504 %)	           0.099 ( 2.552 %)
           0.062 ( 0.405 %)	           0.180 ( 4.356 %)	           0.101 ( 3.420 %)	           0.035 ( 1.366 %)	           0.207 ( 3.496 %)
           0.061 ( 0.397 %)	           1.775 (40.031 %)	           0.107 ( 3.735 %)	           0.035 ( 1.522 %)	           0.080 ( 1.830 %)
           0.071 ( 0.399 %)	           0.060 ( 1.263 %)	           0.027 ( 0.956 %)	           0.037 ( 1.613 %)	           0.093 ( 2.012 %)
           0.082 ( 0.534 %)	           0.146 ( 3.640 %)	           0.110 ( 3.789 %)	           0.031 ( 1.344 %)	           0.079 ( 1.725 %)
           0.042 ( 0.271 %)	           0.178 ( 4.571 %)	           0.102 ( 3.530 %)	           0.016 ( 0.712 %)	           0.097 ( 2.144 %)
           0.053 ( 0.343 %)	           0.161 ( 4.082 %)	           0.032 ( 1.142 %)	           0.033 ( 1.277 %)	           0.076 ( 1.797 %)
           2.429 (15.108 %)	           0.223 ( 5.366 %)	           0.030 ( 1.076 %)	           0.019 ( 0.846 %)	           0.045 ( 1.038 %)
           0.070 ( 0.442 %)	           0.185 ( 4.482 %)	           0.109 ( 3.772 %)	           0.018 ( 0.821 %)	           0.065 ( 1.700 %)
           2.639 (15.509 %)	           0.150 ( 3.717 %)	           0.112 ( 3.877 %)	           0.058 ( 2.587 %)	           0.076 ( 1.955 %)
           0.075 ( 0.488 %)	           0.133 ( 3.228 %)	           0.102 ( 3.512 %)	           0.029 ( 1.310 %)	           0.053 ( 1.338 %)
           0.072 ( 0.457 %)	           0.096 ( 2.257 %)	           0.107 ( 3.636 %)	           0.018 ( 0.815 %)	           0.049 ( 1.268 %)
           0.058 ( 0.365 %)	           0.205 ( 5.031 %)	           0.114 ( 3.508 %)	           0.015 ( 0.587 %)	           0.059 ( 1.541 %)
           0.036 ( 0.236 %)	           0.166 ( 4.048 %)	           0.106 ( 3.722 %)	           0.020 ( 0.910 %)	           0.040 ( 1.041 %)
           0.053 ( 0.345 %)	           0.159 ( 3.974 %)	           2.588 (71.104 %)	           0.017 ( 0.756 %)	           0.065 ( 1.664 %)
           0.048 ( 0.315 %)	           0.278 ( 6.461 %)	           0.111 ( 3.823 %)	           0.017 ( 0.745 %)	           0.060 ( 1.572 %)
           0.032 ( 0.208 %)	           0.167 ( 4.178 %)	           0.033 ( 1.026 %)	           0.033 ( 1.449 %)	           0.083 ( 2.119 %)
           0.071 ( 0.449 %)	           0.193 ( 4.781 %)	           0.110 ( 3.774 %)	           0.017 ( 0.747 %)	           0.035 ( 0.808 %)
           0.071 ( 0.447 %)	           0.330 ( 6.612 %)	           0.109 ( 3.738 %)	           0.028 ( 1.218 %)	           0.065 ( 1.280 %)
           0.061 ( 0.400 %)	           0.212 ( 5.061 %)	           0.262 ( 8.854 %)	           0.014 ( 0.615 %)	           0.066 ( 1.337 %)
           0.050 ( 0.327 %)	           0.237 ( 5.055 %)	           0.104 ( 3.531 %)	           0.019 ( 0.843 %)	           0.072 ( 1.925 %)
           0.057 ( 0.370 %)	           0.293 ( 6.958 %)	           0.108 ( 3.698 %)	           0.031 ( 1.372 %)	           0.064 ( 1.452 %)
           0.063 ( 0.410 %)	           0.143 ( 3.427 %)	           0.028 ( 1.002 %)	           0.030 ( 1.292 %)	           4.603 (86.046 %)
           0.053 ( 0.347 %)	           0.194 ( 4.829 %)	           0.111 ( 3.806 %)	           0.034 ( 1.478 %)	           0.070 ( 1.807 %)
           0.071 ( 0.464 %)	           0.163 ( 3.932 %)	           4.653 (91.899 %)	           0.017 ( 0.745 %)	           0.069 ( 1.809 %)
           0.060 ( 0.390 %)	           0.167 ( 4.066 %)	           0.142 ( 4.859 %)	           0.034 ( 1.477 %)	           0.073 ( 1.872 %)
           0.069 ( 0.449 %)	           0.241 ( 5.160 %)	           0.108 ( 3.702 %)	           0.032 ( 1.420 %)	           0.044 ( 1.141 %)
           0.067 ( 0.438 %)	           0.137 ( 3.391 %)	           0.108 ( 3.677 %)	           1.628 (56.183 %)	           0.060 ( 1.580 %)
           0.085 ( 0.538 %)	           0.146 ( 3.662 %)	           0.085 ( 2.850 %)	           0.030 ( 1.323 %)	           0.070 ( 1.793 %)
           0.080 ( 0.505 %)	           0.155 ( 3.856 %)	           0.249 ( 5.754 %)	           2.563 (81.772 %)	           0.050 ( 1.300 %)
           0.062 ( 0.391 %)	           0.170 ( 4.276 %)	           0.033 ( 1.059 %)	           0.038 ( 1.521 %)	           0.055 ( 1.449 %)
           0.076 ( 0.427 %)	           0.199 ( 5.155 %)	           0.033 ( 1.005 %)	           0.388 (14.748 %)	           0.049 ( 1.274 %)
           0.050 ( 0.323 %)	           0.130 ( 2.714 %)	           0.120 ( 3.382 %)	           0.033 ( 1.334 %)	           0.074 ( 1.929 %)
           0.059 ( 0.383 %)	           0.165 ( 3.618 %)	           0.211 ( 4.069 %)	           0.035 ( 1.356 %)	           0.045 ( 1.185 %)
           0.073 ( 0.462 %)	           0.297 ( 6.760 %)	           1.603 (42.350 %)	           0.027 ( 1.171 %)	           0.043 ( 1.135 %)
           0.074 ( 0.467 %)	           0.175 ( 4.467 %)	           0.036 ( 1.029 %)	           0.035 ( 1.514 %)	           0.060 ( 1.522 %)
           0.054 ( 0.345 %)	           0.158 ( 4.039 %)	           0.037 ( 1.040 %)	           0.084 ( 3.244 %)	           0.064 ( 1.662 %)
           0.040 ( 0.261 %)	           0.194 ( 4.892 %)	           0.134 ( 3.684 %)	           0.033 ( 1.298 %)	           0.057 ( 1.495 %)
