     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          39.894;          14.895;          34.809;          18.427;           6.830 (37.067 %);   3312.338
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          28.443;           7.267;          39.940;           9.799;           7.209 (73.569 %);   6229.002
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          32.386;          15.292;          15.719;          15.349;           0.072 ( 0.468 %);   3976.467
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          13.168;           7.266;           7.395;           7.288;           0.022 ( 0.303 %);   8375.165
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         662.962;          15.776;          16.144;          15.826;           0.063 ( 0.397 %);   3856.623
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          46.860;           7.463;           7.643;           7.491;           0.030 ( 0.407 %);   8147.897
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          31.834;          15.769;          26.086;          16.127;           1.789 (11.092 %);   3784.664
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          22.857;           7.465;           7.623;           7.494;           0.028 ( 0.369 %);   8144.339
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.090;          15.700;          16.076;          15.758;           0.061 ( 0.385 %);   3873.228
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         297.915;           7.463;           7.663;           7.496;           0.038 ( 0.509 %);   8142.034
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          73.603;          15.722;          16.218;          15.771;           0.084 ( 0.531 %);   3870.140
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.428;           7.468;           7.637;           7.503;           0.031 ( 0.408 %);   8134.241
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.715;          15.304;          20.605;          15.518;           0.917 ( 5.906 %);   3933.238
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          94.750;           7.264;           7.430;           7.288;           0.028 ( 0.390 %);   8374.364
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.224;          15.756;          16.093;          15.828;           0.056 ( 0.356 %);   3856.217
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          36.497;           7.467;           7.776;           7.497;           0.052 ( 0.690 %);   8141.475
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         104.459;          17.674;          18.043;          17.723;           0.065 ( 0.365 %);   3443.915
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         133.666;           8.392;           8.582;           8.428;           0.033 ( 0.392 %);   7241.846
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          12.877;          15.327;          15.688;          15.390;           0.060 ( 0.389 %);   3965.991
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          48.261;           7.265;           7.437;           7.292;           0.030 ( 0.406 %);   8370.362
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          41.232;          15.298;          15.666;          15.345;           0.062 ( 0.405 %);   3977.512
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.751;           7.255;           7.455;           7.290;           0.032 ( 0.440 %);   8372.519
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          41.736;          15.280;          15.653;          15.336;           0.061 ( 0.397 %);   3979.940
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          52.839;           7.264;           7.486;           7.295;           0.038 ( 0.520 %);   8366.607
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          46.304;          17.677;          18.108;          17.745;           0.071 ( 0.399 %);   3439.599
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          74.212;           7.261;          21.858;           8.314;           2.581 (31.049 %);   7341.545
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.733;          15.335;          15.838;          15.400;           0.082 ( 0.534 %);   3963.298
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          57.992;           7.265;           7.430;           7.292;           0.028 ( 0.378 %);   8369.805
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.838;          15.346;          15.577;          15.397;           0.042 ( 0.271 %);   3964.024
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          26.666;           7.260;           7.403;           7.287;           0.024 ( 0.326 %);   8375.687
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          22.735;          15.284;          15.586;          15.337;           0.053 ( 0.343 %);   3979.586
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.590;           7.256;           7.480;           7.289;           0.036 ( 0.498 %);   8373.946
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          37.756;          15.320;          29.575;          16.077;           2.429 (15.108 %);   3796.334
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          17.499;           7.467;           7.663;           7.498;           0.033 ( 0.435 %);   8140.060
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          17.721;          15.781;          16.192;          15.826;           0.070 ( 0.442 %);   3856.646
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          24.394;           7.468;           7.658;           7.499;           0.032 ( 0.420 %);   8138.810
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         127.343;          15.357;          30.111;          17.013;           2.639 (15.509 %);   3587.560
