     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          15.529;           3.600;           3.820;           3.618;           0.043 ( 1.176 %);  16868.165
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.294;           2.416;           2.455;           2.423;           0.007 ( 0.296 %);  25186.132
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          32.421;           3.609;          17.876;           4.115;           2.471 (60.051 %);  14830.939
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          13.976;           2.478;           2.527;           2.488;           0.008 ( 0.341 %);  24530.321
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          58.270;           3.720;           3.917;           3.841;           0.045 ( 1.170 %);  15889.306
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          32.088;           2.481;           2.528;           2.488;           0.009 ( 0.342 %);  24530.321
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         116.554;           4.274;           4.725;           4.298;           0.077 ( 1.794 %);  14201.528
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.642;           2.868;           2.915;           2.877;           0.009 ( 0.304 %);  21212.851
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          35.125;           3.809;           4.091;           3.831;           0.053 ( 1.380 %);  15930.778
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          93.614;           2.557;           2.592;           2.564;           0.006 ( 0.237 %);  23804.944
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          43.639;           3.699;          18.062;           4.211;           2.488 (59.083 %);  14492.863
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          49.468;           2.478;           2.510;           2.489;           0.006 ( 0.243 %);  24523.751
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          29.129;           3.711;           4.088;           3.834;           0.073 ( 1.899 %);  15920.704
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          68.410;           2.480;           2.521;           2.491;           0.007 ( 0.280 %);  24502.569
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          39.688;           3.809;           5.913;           3.898;           0.365 ( 9.355 %);  15657.705
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          47.322;           2.549;           2.593;           2.557;           0.008 ( 0.323 %);  23872.377
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          24.378;           3.799;           4.226;           3.838;           0.085 ( 2.224 %);  15901.223
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          58.980;           2.549;           2.641;           2.559;           0.017 ( 0.660 %);  23849.480
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.866;           3.800;           4.275;           3.874;           0.099 ( 2.552 %);  15757.046
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          26.034;           2.550;           2.597;           2.559;           0.010 ( 0.372 %);  23850.327
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          36.442;           5.337;           6.685;           5.922;           0.207 ( 3.496 %);  10306.247
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          27.482;           3.954;           4.380;           4.175;           0.094 ( 2.252 %);  14620.048
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          22.706;           4.276;           4.519;           4.391;           0.080 ( 1.830 %);  13901.401
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.230;           2.878;           2.924;           2.885;           0.008 ( 0.272 %);  21154.034
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          29.646;           4.578;           5.024;           4.628;           0.093 ( 2.012 %);  13189.013
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         776.933;           3.057;          11.202;           3.317;           1.416 (42.676 %);  18401.047
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.876;           4.570;           4.980;           4.603;           0.079 ( 1.725 %);  13260.039
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          16.077;           3.060;           3.119;           3.070;           0.010 ( 0.339 %);  19883.906
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          82.445;           4.413;           4.833;           4.529;           0.097 ( 2.144 %);  13475.528
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          22.190;           2.962;           3.036;           2.973;           0.014 ( 0.457 %);  20530.867
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          15.084;           4.147;           4.356;           4.244;           0.076 ( 1.797 %);  14382.852
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          26.866;           2.782;           2.843;           2.792;           0.010 ( 0.367 %);  21863.102
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          46.031;           4.286;           4.494;           4.307;           0.045 ( 1.038 %);  14172.749
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          16.522;           2.868;           2.927;           2.877;           0.010 ( 0.347 %);  21213.744
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         142.015;           3.800;           4.159;           3.826;           0.065 ( 1.700 %);  15952.733
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.505;           2.547;           5.352;           2.646;           0.486 (18.371 %);  23069.066
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         205.453;           3.819;           4.155;           3.866;           0.076 ( 1.955 %);  15787.924
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          17.284;           2.551;           2.597;           2.561;           0.010 ( 0.398 %);  23835.933
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.099;           3.813;           4.034;           3.940;           0.053 ( 1.338 %);  15490.322
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          21.722;           2.549;           2.591;           2.558;           0.007 ( 0.274 %);  23863.891
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          33.633;           3.806;           4.008;           3.833;           0.049 ( 1.268 %);  15923.222
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          32.729;           2.551;           2.589;           2.558;           0.008 ( 0.310 %);  23857.955
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          47.228;           3.808;           4.066;           3.837;           0.059 ( 1.541 %);  15905.994
