           7.209 (73.569 %)
           0.022 ( 0.303 %)
           0.030 ( 0.407 %)
           0.028 ( 0.369 %)
           0.038 ( 0.509 %)
           0.031 ( 0.408 %)
           0.028 ( 0.390 %)
           0.052 ( 0.690 %)
           0.033 ( 0.392 %)
           0.030 ( 0.406 %)
           0.032 ( 0.440 %)
           0.038 ( 0.520 %)
           2.581 (31.049 %)
           0.028 ( 0.378 %)
           0.024 ( 0.326 %)
           0.036 ( 0.498 %)
           0.033 ( 0.435 %)
           0.032 ( 0.420 %)
           0.034 ( 0.399 %)
           0.031 ( 0.428 %)
           0.044 ( 0.585 %)
           0.031 ( 0.416 %)
           0.031 ( 0.429 %)
           0.022 ( 0.306 %)
           0.031 ( 0.428 %)
           0.041 ( 0.560 %)
           0.031 ( 0.409 %)
           0.026 ( 0.342 %)
           0.031 ( 0.419 %)
           0.032 ( 0.444 %)
           0.032 ( 0.436 %)
           0.027 ( 0.373 %)
           0.037 ( 0.503 %)
           0.033 ( 0.452 %)
           0.030 ( 0.412 %)
           0.027 ( 0.364 %)
           0.039 ( 0.537 %)
           0.036 ( 0.476 %)
           0.030 ( 0.405 %)
           0.037 ( 0.493 %)
           0.032 ( 0.374 %)
           0.029 ( 0.397 %)
           2.485 (31.432 %)
           0.023 ( 0.305 %)
           0.028 ( 0.375 %)
           0.041 ( 0.541 %)
           0.045 ( 0.622 %)
           0.033 ( 0.458 %)
           0.029 ( 0.383 %)
           0.027 ( 0.363 %)
           0.055 ( 0.730 %)
           0.067 ( 0.887 %)
           0.062 ( 0.825 %)
           0.026 ( 0.346 %)
           0.040 ( 0.528 %)
           0.030 ( 0.400 %)
           0.029 ( 0.383 %)
           0.833 (10.902 %)
           0.024 ( 0.315 %)
           0.031 ( 0.417 %)
           0.029 ( 0.386 %)
           0.037 ( 0.487 %)
          10.491 (92.664 %)
           0.025 ( 0.329 %)
           0.038 ( 0.505 %)
           0.036 ( 0.369 %)
           0.626 ( 8.458 %)
           0.027 ( 0.368 %)
           0.030 ( 0.406 %)
           0.045 ( 0.603 %)
           0.042 ( 0.564 %)
           0.023 ( 0.309 %)
           0.047 ( 0.643 %)
           0.033 ( 0.447 %)
           0.036 ( 0.495 %)
           0.045 ( 0.613 %)
           0.035 ( 0.478 %)
           0.030 ( 0.406 %)
           0.026 ( 0.360 %)
           0.030 ( 0.409 %)
           0.033 ( 0.393 %)
           0.027 ( 0.376 %)
           0.031 ( 0.425 %)
           0.029 ( 0.394 %)
           0.035 ( 0.484 %)
           0.026 ( 0.352 %)
           0.039 ( 0.539 %)
           0.033 ( 0.446 %)
           0.045 ( 0.604 %)
           0.026 ( 0.351 %)
           0.031 ( 0.423 %)
           0.020 ( 0.273 %)
           0.034 ( 0.467 %)
           0.026 ( 0.352 %)
           0.030 ( 0.414 %)
           0.024 ( 0.322 %)
           0.048 ( 0.659 %)
           0.029 ( 0.398 %)
           0.026 ( 0.359 %)
           0.024 ( 0.330 %)
           0.026 ( 0.356 %)
