           7.209 (73.569 %)	           0.041 ( 2.114 %)	           0.039 ( 2.018 %)	           0.042 ( 2.103 %)	           0.007 ( 0.296 %)
           0.022 ( 0.303 %)	           0.043 ( 2.174 %)	           0.043 ( 2.150 %)	           0.040 ( 2.061 %)	           0.008 ( 0.341 %)
           0.030 ( 0.407 %)	           0.044 ( 2.184 %)	           0.044 ( 2.177 %)	           0.041 ( 2.048 %)	           0.009 ( 0.342 %)
           0.028 ( 0.369 %)	           0.051 ( 2.191 %)	           0.043 ( 1.835 %)	           0.047 ( 2.052 %)	           0.009 ( 0.304 %)
           0.038 ( 0.509 %)	           0.044 ( 2.209 %)	           0.041 ( 1.969 %)	           0.043 ( 2.082 %)	           0.006 ( 0.237 %)
           0.031 ( 0.408 %)	           0.060 ( 2.964 %)	           0.046 ( 2.216 %)	           4.023 (146.471 %)	           0.006 ( 0.243 %)
           0.028 ( 0.390 %)	           0.038 ( 1.840 %)	           0.043 ( 2.057 %)	           0.042 ( 2.067 %)	           0.007 ( 0.280 %)
           0.052 ( 0.690 %)	           0.046 ( 2.229 %)	           0.043 ( 2.133 %)	           0.040 ( 1.978 %)	           0.008 ( 0.323 %)
           0.033 ( 0.392 %)	           0.044 ( 2.171 %)	           0.043 ( 2.152 %)	           0.042 ( 2.063 %)	           0.017 ( 0.660 %)
           0.030 ( 0.406 %)	           0.069 ( 2.997 %)	           0.046 ( 2.211 %)	           0.043 ( 2.110 %)	           0.010 ( 0.372 %)
           0.032 ( 0.440 %)	           1.522 (65.749 %)	           0.046 ( 2.203 %)	           0.009 ( 0.386 %)	           0.094 ( 2.252 %)
           0.038 ( 0.520 %)	           0.062 ( 2.994 %)	           8.225 (163.085 %)	           0.042 ( 2.057 %)	           0.008 ( 0.272 %)
           2.581 (31.049 %)	           0.069 ( 2.970 %)	           0.045 ( 2.192 %)	           0.042 ( 2.047 %)	           1.416 (42.676 %)
           0.028 ( 0.378 %)	           0.046 ( 2.218 %)	           0.045 ( 2.162 %)	           0.041 ( 2.026 %)	           0.010 ( 0.339 %)
           0.024 ( 0.326 %)	           0.044 ( 2.207 %)	           0.044 ( 2.121 %)	           0.044 ( 2.130 %)	           0.014 ( 0.457 %)
           0.036 ( 0.498 %)	           0.044 ( 2.198 %)	           1.281 (57.509 %)	           0.047 ( 2.050 %)	           0.010 ( 0.367 %)
           0.033 ( 0.435 %)	           0.060 ( 2.857 %)	           0.043 ( 2.158 %)	           0.041 ( 2.077 %)	           0.010 ( 0.347 %)
           0.032 ( 0.420 %)	           0.044 ( 2.140 %)	           0.045 ( 2.193 %)	           0.042 ( 2.111 %)	           0.486 (18.371 %)
           0.034 ( 0.399 %)	           0.053 ( 2.624 %)	           0.062 ( 2.968 %)	           0.041 ( 2.051 %)	           0.010 ( 0.398 %)
           0.031 ( 0.428 %)	           0.044 ( 2.176 %)	           0.015 ( 0.711 %)	           0.040 ( 1.999 %)	           0.007 ( 0.274 %)
           0.044 ( 0.585 %)	           0.043 ( 2.079 %)	           0.038 ( 1.814 %)	           0.040 ( 2.029 %)	           0.008 ( 0.310 %)
           0.031 ( 0.416 %)	           0.046 ( 2.208 %)	           0.048 ( 2.095 %)	           0.047 ( 2.063 %)	           0.010 ( 0.376 %)
           0.031 ( 0.429 %)	           0.043 ( 2.156 %)	           0.061 ( 3.048 %)	           0.039 ( 1.973 %)	           0.008 ( 0.312 %)
           0.022 ( 0.306 %)	           0.039 ( 1.920 %)	           0.049 ( 2.425 %)	           0.041 ( 2.019 %)	           0.008 ( 0.305 %)
           0.031 ( 0.428 %)	           0.044 ( 2.198 %)	           0.061 ( 2.974 %)	           0.043 ( 2.094 %)	           0.010 ( 0.382 %)
           0.041 ( 0.560 %)	           0.043 ( 2.121 %)	           0.051 ( 2.209 %)	           0.042 ( 2.045 %)	           0.005 ( 0.208 %)
           0.031 ( 0.409 %)	           0.043 ( 2.150 %)	           0.042 ( 2.035 %)	           0.041 ( 2.013 %)	           0.007 ( 0.249 %)
           0.026 ( 0.342 %)	           2.554 (89.336 %)	           0.010 ( 0.501 %)	           0.041 ( 1.991 %)	          11.053 (220.505 %)
           0.031 ( 0.419 %)	           0.041 ( 1.965 %)	           0.043 ( 2.078 %)	           0.041 ( 1.984 %)	           0.010 ( 0.301 %)
           0.032 ( 0.444 %)	           0.052 ( 2.221 %)	           0.047 ( 2.276 %)	           0.041 ( 2.007 %)	           0.006 ( 0.232 %)
           0.032 ( 0.436 %)	           0.058 ( 2.891 %)	           0.046 ( 2.224 %)	           0.041 ( 2.003 %)	           0.007 ( 0.260 %)
           0.027 ( 0.373 %)	           0.035 ( 1.734 %)	           0.056 ( 2.687 %)	           0.042 ( 2.035 %)	           0.010 ( 0.376 %)
           0.037 ( 0.503 %)	           0.045 ( 2.147 %)	           0.041 ( 1.985 %)	           0.042 ( 2.064 %)	           0.006 ( 0.235 %)
           0.033 ( 0.452 %)	           0.046 ( 2.223 %)	           0.045 ( 2.201 %)	           0.043 ( 2.111 %)	           0.009 ( 0.354 %)
           0.030 ( 0.412 %)	           0.045 ( 2.187 %)	           0.045 ( 2.173 %)	           0.044 ( 2.150 %)	           0.010 ( 0.375 %)
           0.027 ( 0.364 %)	           0.051 ( 2.198 %)	           0.046 ( 2.195 %)	           0.043 ( 2.101 %)	           0.011 ( 0.423 %)
           0.039 ( 0.537 %)	           0.046 ( 2.226 %)	           2.835 (110.555 %)	           0.065 ( 3.164 %)	           0.005 ( 0.202 %)
           0.036 ( 0.476 %)	           0.044 ( 2.198 %)	           0.324 (15.269 %)	           0.041 ( 2.018 %)	           0.006 ( 0.250 %)
           0.030 ( 0.405 %)	           0.038 ( 1.870 %)	           0.036 ( 0.987 %)	           0.046 ( 2.049 %)	           0.008 ( 0.313 %)
           0.037 ( 0.493 %)	           0.043 ( 2.140 %)	           0.042 ( 1.852 %)	           0.068 ( 3.032 %)	           0.008 ( 0.317 %)
           0.032 ( 0.374 %)	           0.040 ( 2.038 %)	           0.006 ( 0.271 %)	           0.048 ( 2.076 %)	           0.007 ( 0.280 %)
           0.029 ( 0.397 %)	           0.051 ( 2.188 %)	           0.054 ( 2.171 %)	           0.045 ( 2.014 %)	           0.007 ( 0.292 %)
           2.485 (31.432 %)	           0.051 ( 2.184 %)	           1.437 (30.605 %)	           0.069 ( 2.994 %)	           0.010 ( 0.383 %)
           0.023 ( 0.305 %)	           0.043 ( 2.163 %)	           0.072 ( 2.905 %)	           0.041 ( 2.018 %)	           0.010 ( 0.389 %)
           0.028 ( 0.375 %)	           0.039 ( 1.915 %)	           1.291 (45.475 %)	           0.042 ( 2.056 %)	           0.007 ( 0.292 %)
           0.041 ( 0.541 %)	           0.043 ( 2.147 %)	           0.055 ( 2.136 %)	           0.047 ( 2.051 %)	           0.005 ( 0.208 %)
           0.045 ( 0.622 %)	           0.044 ( 2.211 %)	           0.075 ( 2.901 %)	           0.071 ( 3.065 %)	           0.007 ( 0.255 %)
           0.033 ( 0.458 %)	           0.321 (15.669 %)	           0.054 ( 2.180 %)	           0.047 ( 2.048 %)	           0.006 ( 0.250 %)
           0.029 ( 0.383 %)	           0.051 ( 2.208 %)	           0.052 ( 2.174 %)	           0.043 ( 2.089 %)	           0.007 ( 0.272 %)
           0.027 ( 0.363 %)	           0.044 ( 2.199 %)	           0.050 ( 2.212 %)	           0.040 ( 2.030 %)	           0.006 ( 0.250 %)
           0.055 ( 0.730 %)	           0.043 ( 2.117 %)	           0.046 ( 2.105 %)	           0.042 ( 2.092 %)	           0.009 ( 0.310 %)
           0.067 ( 0.887 %)	           0.043 ( 2.132 %)	           0.041 ( 1.890 %)	           0.040 ( 2.030 %)	           0.012 ( 0.481 %)
           0.062 ( 0.825 %)	           0.044 ( 2.162 %)	           0.044 ( 2.131 %)	           0.041 ( 2.059 %)	           0.005 ( 0.212 %)
           0.026 ( 0.346 %)	           0.038 ( 1.856 %)	           0.043 ( 2.059 %)	           0.042 ( 2.057 %)	           0.006 ( 0.223 %)
           0.040 ( 0.528 %)	           0.008 ( 0.394 %)	           0.062 ( 2.988 %)	           0.042 ( 2.079 %)	           0.009 ( 0.360 %)
           0.030 ( 0.400 %)	           0.047 ( 2.001 %)	           0.059 ( 2.855 %)	           2.476 (99.562 %)	           0.007 ( 0.267 %)
           0.029 ( 0.383 %)	           0.039 ( 1.891 %)	           0.044 ( 2.194 %)	           0.042 ( 2.074 %)	           0.009 ( 0.365 %)
           0.833 (10.902 %)	           0.040 ( 1.980 %)	           0.045 ( 2.227 %)	           0.041 ( 2.009 %)	           0.009 ( 0.363 %)
           0.024 ( 0.315 %)	           0.045 ( 2.198 %)	           0.043 ( 2.154 %)	           0.066 ( 3.213 %)	           0.006 ( 0.224 %)
           0.031 ( 0.417 %)	           0.045 ( 2.197 %)	           0.044 ( 2.186 %)	           0.069 ( 2.990 %)	           0.010 ( 0.337 %)
           0.029 ( 0.386 %)	           0.045 ( 2.245 %)	           0.043 ( 2.133 %)	           0.006 ( 0.293 %)	           0.007 ( 0.231 %)
           0.037 ( 0.487 %)	           0.006 ( 0.320 %)	           0.044 ( 2.151 %)	           0.046 ( 2.016 %)	           0.007 ( 0.270 %)
          10.491 (92.664 %)	           0.038 ( 1.804 %)	           0.038 ( 1.798 %)	           0.043 ( 2.105 %)	           0.007 ( 0.280 %)
           0.025 ( 0.329 %)	           0.044 ( 2.158 %)	           0.040 ( 1.906 %)	           0.042 ( 2.076 %)	           0.009 ( 0.366 %)
           0.038 ( 0.505 %)	           0.039 ( 1.923 %)	           0.061 ( 2.938 %)	           0.042 ( 2.077 %)	           0.009 ( 0.349 %)
           0.036 ( 0.369 %)	           0.045 ( 1.926 %)	           0.046 ( 2.219 %)	           0.048 ( 2.084 %)	           0.007 ( 0.283 %)
           0.626 ( 8.458 %)	           0.070 ( 3.019 %)	           0.064 ( 2.982 %)	           0.041 ( 2.085 %)	           0.007 ( 0.264 %)
           0.027 ( 0.368 %)	           0.039 ( 1.916 %)	           0.008 ( 0.381 %)	           0.009 ( 0.432 %)	           0.009 ( 0.356 %)
           0.030 ( 0.406 %)	           0.042 ( 2.026 %)	           0.046 ( 2.059 %)	           0.042 ( 2.076 %)	           0.008 ( 0.310 %)
           0.045 ( 0.603 %)	           0.038 ( 1.813 %)	           0.048 ( 2.176 %)	           0.043 ( 2.086 %)	           0.012 ( 0.372 %)
           0.042 ( 0.564 %)	           0.045 ( 2.193 %)	           0.056 ( 2.617 %)	           0.042 ( 2.072 %)	           0.007 ( 0.271 %)
           0.023 ( 0.309 %)	           0.045 ( 2.197 %)	           0.046 ( 2.225 %)	           0.041 ( 2.028 %)	           0.006 ( 0.231 %)
           0.047 ( 0.643 %)	           0.043 ( 2.112 %)	           0.042 ( 2.022 %)	           0.042 ( 2.039 %)	           0.009 ( 0.367 %)
           0.033 ( 0.447 %)	           0.045 ( 2.230 %)	           0.042 ( 2.034 %)	           0.043 ( 2.111 %)	           0.005 ( 0.198 %)
           0.036 ( 0.495 %)	           0.060 ( 2.946 %)	           0.047 ( 2.291 %)	           0.045 ( 1.969 %)	           0.008 ( 0.327 %)
           0.045 ( 0.613 %)	           0.036 ( 1.788 %)	           0.046 ( 2.219 %)	           0.042 ( 2.035 %)	           0.006 ( 0.242 %)
           0.035 ( 0.478 %)	           0.045 ( 2.184 %)	           0.039 ( 1.859 %)	           0.046 ( 2.022 %)	           0.008 ( 0.301 %)
           0.030 ( 0.406 %)	           0.045 ( 2.188 %)	           0.046 ( 2.200 %)	           0.042 ( 2.112 %)	           0.008 ( 0.315 %)
           0.026 ( 0.360 %)	           0.060 ( 2.893 %)	           0.044 ( 2.120 %)	           0.040 ( 1.998 %)	           0.012 ( 0.414 %)
           0.030 ( 0.409 %)	           0.050 ( 2.132 %)	           0.051 ( 2.187 %)	           0.054 ( 2.037 %)	           0.006 ( 0.247 %)
           0.033 ( 0.393 %)	           0.046 ( 2.226 %)	           0.045 ( 2.228 %)	           0.048 ( 2.085 %)	           0.019 ( 0.742 %)
           0.027 ( 0.376 %)	           0.045 ( 2.170 %)	           0.043 ( 2.116 %)	           0.047 ( 2.058 %)	           0.007 ( 0.287 %)
           0.031 ( 0.425 %)	           0.007 ( 0.360 %)	           0.045 ( 2.157 %)	           0.042 ( 2.092 %)	           0.008 ( 0.270 %)
           0.029 ( 0.394 %)	           0.038 ( 1.846 %)	           0.045 ( 2.173 %)	           0.041 ( 2.000 %)	           0.007 ( 0.274 %)
           0.035 ( 0.484 %)	           0.042 ( 1.994 %)	           0.045 ( 2.160 %)	           0.042 ( 2.096 %)	           0.005 ( 0.208 %)
           0.026 ( 0.352 %)	           0.046 ( 2.212 %)	           0.061 ( 2.950 %)	           0.043 ( 2.106 %)	           0.008 ( 0.275 %)
           0.039 ( 0.539 %)	           0.052 ( 2.235 %)	           0.044 ( 2.148 %)	           0.040 ( 2.020 %)	           0.007 ( 0.276 %)
           0.033 ( 0.446 %)	           0.011 ( 0.519 %)	           0.065 ( 2.754 %)	           0.042 ( 2.086 %)	           0.009 ( 0.336 %)
           0.045 ( 0.604 %)	           0.043 ( 2.087 %)	           0.041 ( 1.994 %)	           0.042 ( 2.042 %)	           0.008 ( 0.301 %)
           0.026 ( 0.351 %)	           0.045 ( 2.185 %)	           0.044 ( 2.094 %)	           0.041 ( 2.036 %)	           0.010 ( 0.340 %)
