           4.386 (27.303 %)
           5.326 (32.120 %)
           1.279 ( 8.217 %)
           0.056 ( 0.367 %)
           0.049 ( 0.310 %)
           0.052 ( 0.330 %)
           0.065 ( 0.369 %)
           0.061 ( 0.396 %)
           0.056 ( 0.363 %)
           0.060 ( 0.387 %)
           6.730 (39.601 %)
           0.069 ( 0.436 %)
           1.606 (10.010 %)
           2.127 (13.101 %)
           0.065 ( 0.411 %)
           0.077 ( 0.491 %)
           0.265 ( 1.716 %)
           0.137 ( 0.890 %)
           0.064 ( 0.408 %)
           0.075 ( 0.472 %)
           0.053 ( 0.336 %)
           0.063 ( 0.400 %)
           1.307 ( 8.167 %)
           0.073 ( 0.475 %)
           0.053 ( 0.343 %)
           1.257 ( 7.866 %)
           0.109 ( 0.688 %)
           1.495 ( 9.335 %)
           0.066 ( 0.421 %)
           1.598 ( 9.963 %)
           0.914 ( 5.738 %)
           2.466 (15.316 %)
           0.063 ( 0.411 %)
           0.061 ( 0.399 %)
           1.109 ( 7.141 %)
           0.066 ( 0.433 %)
           0.064 ( 0.415 %)
           0.041 ( 0.264 %)
           0.057 ( 0.369 %)
           0.091 ( 0.590 %)
           0.072 ( 0.405 %)
           0.073 ( 0.477 %)
           0.071 ( 0.464 %)
           0.065 ( 0.365 %)
           0.064 ( 0.408 %)
           0.059 ( 0.388 %)
           0.047 ( 0.306 %)
           0.050 ( 0.325 %)
           0.046 ( 0.290 %)
           0.080 ( 0.506 %)
           0.065 ( 0.423 %)
           0.081 ( 0.455 %)
           0.076 ( 0.481 %)
           0.062 ( 0.391 %)
           0.055 ( 0.357 %)
           0.061 ( 0.398 %)
           0.055 ( 0.361 %)
           0.086 ( 0.559 %)
           0.072 ( 0.469 %)
           0.065 ( 0.424 %)
           0.051 ( 0.332 %)
           0.069 ( 0.451 %)
           0.066 ( 0.370 %)
           0.072 ( 0.466 %)
           0.099 ( 0.561 %)
           0.057 ( 0.375 %)
           0.110 ( 0.714 %)
           9.774 (51.050 %)
           4.786 (28.166 %)
           6.339 (35.946 %)
           0.063 ( 0.398 %)
           1.068 ( 6.698 %)
           0.055 ( 0.349 %)
           0.057 ( 0.373 %)
           0.076 ( 0.481 %)
           0.046 ( 0.291 %)
           0.057 ( 0.369 %)
           0.038 ( 0.250 %)
           0.054 ( 0.350 %)
           0.073 ( 0.475 %)
           0.078 ( 0.505 %)
           0.047 ( 0.305 %)
           0.059 ( 0.384 %)
           0.053 ( 0.348 %)
           0.054 ( 0.340 %)
           0.054 ( 0.343 %)
           1.906 (11.589 %)
           1.348 ( 8.434 %)
           0.051 ( 0.321 %)
           0.066 ( 0.416 %)
           0.052 ( 0.329 %)
           0.071 ( 0.465 %)
           0.062 ( 0.349 %)
           0.051 ( 0.334 %)
           0.064 ( 0.416 %)
           0.038 ( 0.239 %)
           0.050 ( 0.318 %)
           0.074 ( 0.465 %)
           0.050 ( 0.317 %)
           0.047 ( 0.297 %)
           0.052 ( 0.331 %)
