           2.803 (70.895 %)
           0.031 ( 1.257 %)
           0.031 ( 1.252 %)
           0.773 (24.466 %)
           0.018 ( 0.719 %)
           1.802 (62.679 %)
           0.017 ( 0.676 %)
           0.031 ( 1.222 %)
           0.033 ( 1.297 %)
           0.015 ( 0.620 %)
           0.031 ( 1.225 %)
           0.030 ( 1.152 %)
           0.160 ( 6.178 %)
           0.014 ( 0.563 %)
           0.033 ( 1.285 %)
           0.028 ( 1.084 %)
           0.036 ( 1.260 %)
           0.033 ( 1.290 %)
           0.029 ( 1.115 %)
           0.033 ( 1.280 %)
           0.049 ( 1.899 %)
           0.033 ( 1.297 %)
           0.034 ( 1.189 %)
           0.032 ( 1.113 %)
           0.019 ( 0.745 %)
           0.033 ( 1.294 %)
           0.031 ( 1.210 %)
           0.032 ( 1.229 %)
           0.017 ( 0.650 %)
           0.031 ( 1.211 %)
           0.035 ( 1.364 %)
           0.051 ( 1.774 %)
           0.027 ( 1.050 %)
           0.032 ( 1.279 %)
           0.033 ( 1.304 %)
           0.027 ( 1.092 %)
           0.032 ( 1.265 %)
           0.033 ( 1.324 %)
           0.317 (12.477 %)
           0.026 ( 1.044 %)
           0.031 ( 1.238 %)
           0.015 ( 0.604 %)
           0.029 ( 1.138 %)
           0.067 ( 2.597 %)
           0.030 ( 1.209 %)
           0.030 ( 1.187 %)
           0.028 ( 1.089 %)
           0.019 ( 0.734 %)
           0.031 ( 1.190 %)
           0.028 ( 1.098 %)
           0.013 ( 0.515 %)
           0.013 ( 0.509 %)
           0.015 ( 0.581 %)
           0.012 ( 0.451 %)
           0.014 ( 0.546 %)
           0.032 ( 1.279 %)
           0.033 ( 1.328 %)
           0.035 ( 1.419 %)
           0.016 ( 0.609 %)
           0.016 ( 0.543 %)
           0.033 ( 1.308 %)
           0.034 ( 1.382 %)
           0.027 ( 1.099 %)
           0.032 ( 1.299 %)
           0.147 ( 5.632 %)
           0.711 (23.546 %)
           0.036 ( 1.412 %)
           0.030 ( 1.213 %)
           0.016 ( 0.641 %)
           0.034 ( 1.349 %)
           0.032 ( 1.277 %)
           0.015 ( 0.611 %)
           0.030 ( 1.046 %)
           0.030 ( 1.175 %)
           0.031 ( 1.235 %)
           0.017 ( 0.675 %)
           0.026 ( 1.055 %)
           0.016 ( 0.646 %)
           0.027 ( 1.094 %)
           0.030 ( 1.042 %)
           0.032 ( 1.108 %)
           0.013 ( 0.501 %)
           0.029 ( 1.120 %)
           0.032 ( 1.293 %)
           0.017 ( 0.669 %)
           0.031 ( 1.255 %)
           0.014 ( 0.562 %)
           0.028 ( 1.089 %)
           0.014 ( 0.548 %)
           0.063 ( 2.440 %)
           1.270 (45.603 %)
           0.014 ( 0.482 %)
           0.040 ( 1.546 %)
           0.032 ( 1.106 %)
           0.035 ( 1.356 %)
           0.028 ( 1.099 %)
           0.030 ( 1.157 %)
           0.027 ( 1.119 %)
           0.042 ( 1.270 %)
           0.031 ( 1.225 %)
           0.020 ( 0.800 %)
