           4.386 (27.303 %)	           0.020 ( 0.479 %)	           2.803 (70.895 %)	           0.032 ( 1.422 %)	           0.038 ( 0.986 %)
           5.326 (32.120 %)	           1.267 (29.209 %)	           0.031 ( 1.257 %)	           0.033 ( 1.485 %)	           0.042 ( 1.085 %)
           1.279 ( 8.217 %)	           0.020 ( 0.478 %)	           0.031 ( 1.252 %)	           0.035 ( 1.542 %)	           0.041 ( 1.074 %)
           0.056 ( 0.367 %)	           0.022 ( 0.535 %)	           0.773 (24.466 %)	           0.034 ( 1.486 %)	           0.045 ( 1.013 %)
           0.049 ( 0.310 %)	           0.021 ( 0.498 %)	           0.018 ( 0.719 %)	           0.060 ( 2.641 %)	           0.040 ( 1.044 %)
           0.052 ( 0.330 %)	           0.038 ( 0.807 %)	           1.802 (62.679 %)	           0.096 ( 4.180 %)	           0.040 ( 1.048 %)
           0.065 ( 0.369 %)	           0.024 ( 0.556 %)	           0.017 ( 0.676 %)	           0.033 ( 1.428 %)	           0.044 ( 1.101 %)
           0.061 ( 0.396 %)	           0.023 ( 0.543 %)	           0.031 ( 1.222 %)	           0.034 ( 1.491 %)	           0.046 ( 1.154 %)
           0.056 ( 0.363 %)	           0.020 ( 0.494 %)	           0.033 ( 1.297 %)	           0.056 ( 2.449 %)	           0.042 ( 1.065 %)
           0.060 ( 0.387 %)	           0.029 ( 0.705 %)	           0.015 ( 0.620 %)	           0.105 ( 4.691 %)	           0.036 ( 0.918 %)
           6.730 (39.601 %)	           0.017 ( 0.423 %)	           0.031 ( 1.225 %)	           0.012 ( 0.543 %)	           0.048 ( 1.201 %)
           0.069 ( 0.436 %)	           0.022 ( 0.461 %)	           0.030 ( 1.152 %)	           0.031 ( 1.387 %)	           0.037 ( 0.935 %)
           1.606 (10.010 %)	           0.033 ( 0.774 %)	           0.160 ( 6.178 %)	           0.016 ( 0.741 %)	           0.045 ( 1.128 %)
           2.127 (13.101 %)	           0.020 ( 0.462 %)	           0.014 ( 0.563 %)	           0.032 ( 1.416 %)	           0.047 ( 1.189 %)
           0.065 ( 0.411 %)	           0.021 ( 0.498 %)	           0.033 ( 1.285 %)	           0.030 ( 1.321 %)	           2.539 (58.979 %)
           0.077 ( 0.491 %)	           0.018 ( 0.422 %)	           0.028 ( 1.084 %)	           0.031 ( 1.348 %)	           0.041 ( 1.066 %)
           0.265 ( 1.716 %)	           0.022 ( 0.512 %)	           0.036 ( 1.260 %)	           0.016 ( 0.713 %)	           0.039 ( 1.001 %)
           0.137 ( 0.890 %)	           0.021 ( 0.502 %)	           0.033 ( 1.290 %)	           0.034 ( 1.501 %)	           0.040 ( 1.043 %)
           0.064 ( 0.408 %)	           0.028 ( 0.650 %)	           0.029 ( 1.115 %)	           0.033 ( 1.431 %)	           0.038 ( 0.985 %)
           0.075 ( 0.472 %)	           0.025 ( 0.600 %)	           0.033 ( 1.280 %)	           0.035 ( 1.519 %)	           0.037 ( 0.956 %)
           0.053 ( 0.336 %)	           0.021 ( 0.495 %)	           0.049 ( 1.899 %)	           0.031 ( 1.371 %)	           0.036 ( 0.946 %)
           0.063 ( 0.400 %)	           0.020 ( 0.483 %)	           0.033 ( 1.297 %)	           0.031 ( 1.359 %)	           0.042 ( 1.059 %)
           1.307 ( 8.167 %)	           0.033 ( 0.776 %)	           0.034 ( 1.189 %)	           0.030 ( 1.337 %)	           0.041 ( 1.035 %)
           0.073 ( 0.475 %)	           0.020 ( 0.480 %)	           0.032 ( 1.113 %)	           0.015 ( 0.674 %)	           0.041 ( 1.071 %)
           0.053 ( 0.343 %)	           0.017 ( 0.400 %)	           0.019 ( 0.745 %)	           0.013 ( 0.589 %)	           0.039 ( 1.006 %)
           1.257 ( 7.866 %)	           0.034 ( 0.798 %)	           0.033 ( 1.294 %)	           0.018 ( 0.780 %)	           0.046 ( 1.194 %)
           0.109 ( 0.688 %)	           0.027 ( 0.630 %)	           0.031 ( 1.210 %)	           0.033 ( 1.437 %)	           0.045 ( 1.159 %)
           1.495 ( 9.335 %)	           0.024 ( 0.568 %)	           0.032 ( 1.229 %)	           0.034 ( 1.322 %)	           0.052 ( 1.362 %)
           0.066 ( 0.421 %)	           0.019 ( 0.450 %)	           0.017 ( 0.650 %)	           0.031 ( 1.211 %)	           0.041 ( 1.033 %)
           1.598 ( 9.963 %)	           0.021 ( 0.493 %)	           0.031 ( 1.211 %)	           0.030 ( 1.309 %)	           4.081 (75.245 %)
           0.914 ( 5.738 %)	           0.027 ( 0.567 %)	           0.035 ( 1.364 %)	           0.033 ( 1.285 %)	           0.038 ( 0.995 %)
           2.466 (15.316 %)	           0.025 ( 0.581 %)	           0.051 ( 1.774 %)	           0.014 ( 0.635 %)	           0.040 ( 1.040 %)
           0.063 ( 0.411 %)	           0.033 ( 0.686 %)	           0.027 ( 1.050 %)	           0.031 ( 1.372 %)	           0.048 ( 1.203 %)
           0.061 ( 0.399 %)	           0.017 ( 0.410 %)	           0.032 ( 1.279 %)	           0.033 ( 1.463 %)	           0.043 ( 1.077 %)
           1.109 ( 7.141 %)	           0.016 ( 0.397 %)	           0.033 ( 1.304 %)	           1.299 (41.133 %)	           0.059 ( 1.484 %)
           0.066 ( 0.433 %)	           0.021 ( 0.503 %)	           0.027 ( 1.092 %)	           0.015 ( 0.643 %)	           0.062 ( 1.557 %)
           0.064 ( 0.415 %)	           0.014 ( 0.347 %)	           0.032 ( 1.265 %)	           0.029 ( 1.309 %)	           0.038 ( 0.975 %)
           0.041 ( 0.264 %)	           0.020 ( 0.431 %)	           0.033 ( 1.324 %)	           0.029 ( 1.329 %)	           0.048 ( 0.950 %)
           0.057 ( 0.369 %)	           0.025 ( 0.612 %)	           0.317 (12.477 %)	           0.016 ( 0.740 %)	           0.048 ( 1.259 %)
           0.091 ( 0.590 %)	           0.021 ( 0.510 %)	           0.026 ( 1.044 %)	           0.050 ( 2.229 %)	           0.047 ( 1.228 %)
           0.072 ( 0.405 %)	           0.016 ( 0.378 %)	           0.031 ( 1.238 %)	           0.030 ( 1.363 %)	           0.043 ( 1.074 %)
           0.073 ( 0.477 %)	           0.020 ( 0.483 %)	           0.015 ( 0.604 %)	           0.016 ( 0.736 %)	           0.082 ( 1.848 %)
           0.071 ( 0.464 %)	           0.020 ( 0.489 %)	           0.029 ( 1.138 %)	           0.033 ( 1.507 %)	           1.545 (28.850 %)
           0.065 ( 0.365 %)	           0.021 ( 0.506 %)	           0.067 ( 2.597 %)	           0.030 ( 1.359 %)	           0.039 ( 1.009 %)
           0.064 ( 0.408 %)	           0.019 ( 0.457 %)	           0.030 ( 1.209 %)	           0.019 ( 0.836 %)	           0.040 ( 1.051 %)
           0.059 ( 0.388 %)	           0.018 ( 0.428 %)	           0.030 ( 1.187 %)	           0.031 ( 1.384 %)	           0.038 ( 0.978 %)
