     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.652;           2.550;          18.823;           3.954;           2.803 (70.895 %);  15435.952
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          14.437;           2.014;           3.790;           2.131;           0.423 (19.840 %);  28641.149
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.369;           2.418;           2.600;           2.432;           0.031 ( 1.257 %);  25097.005
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          46.834;           1.960;           2.008;           1.972;           0.009 ( 0.449 %);  30957.551
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          84.221;           2.480;           2.667;           2.495;           0.031 ( 1.252 %);  24461.503
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          34.883;           1.958;           2.001;           1.969;           0.009 ( 0.475 %);  30996.140
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          31.597;           2.547;           4.561;           3.160;           0.773 (24.466 %);  19313.626
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          20.277;           2.014;           3.785;           2.310;           0.620 (26.832 %);  26426.306
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.331;           2.548;           2.659;           2.560;           0.018 ( 0.719 %);  23838.472
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          28.053;           2.017;           2.062;           2.026;           0.008 ( 0.382 %);  30120.084
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.152;           2.550;          12.913;           2.875;           1.802 (62.679 %);  21228.948
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.523;           2.014;           2.048;           2.024;           0.007 ( 0.330 %);  30149.841
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          43.277;           2.546;           2.653;           2.560;           0.017 ( 0.676 %);  23837.907
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          59.520;           2.015;           2.058;           2.024;           0.007 ( 0.356 %);  30155.258
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          24.670;           2.548;           2.735;           2.563;           0.031 ( 1.222 %);  23815.077
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          29.733;           2.012;           2.048;           2.023;           0.007 ( 0.350 %);  30175.588
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         360.111;           2.549;           2.748;           2.565;           0.033 ( 1.297 %);  23799.600
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          44.691;           2.015;           2.059;           2.025;           0.008 ( 0.374 %);  30137.210
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          14.372;           2.489;           2.581;           2.497;           0.015 ( 0.620 %);  24438.649
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          36.541;           1.960;           2.006;           1.970;           0.008 ( 0.402 %);  30987.079
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          52.253;           2.478;           2.662;           2.494;           0.031 ( 1.225 %);  24469.527
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          83.186;           1.960;           2.005;           1.969;           0.007 ( 0.379 %);  30990.894
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          31.698;           2.548;           2.724;           2.562;           0.030 ( 1.152 %);  23819.020
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.982;           2.013;           2.068;           2.024;           0.009 ( 0.462 %);  30162.483
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.871;           2.547;           3.476;           2.586;           0.160 ( 6.178 %);  23599.383
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          28.299;           2.015;           2.065;           2.023;           0.008 ( 0.420 %);  30164.290
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          15.990;           2.549;           2.637;           2.562;           0.014 ( 0.563 %);  23827.192
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          31.986;           2.015;           2.055;           2.024;           0.007 ( 0.338 %);  30162.483
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.769;           2.549;           2.747;           2.566;           0.033 ( 1.285 %);  23785.547
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          26.822;           2.016;           2.063;           2.027;           0.008 ( 0.400 %);  30117.382
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         271.802;           2.550;           2.716;           2.563;           0.028 ( 1.084 %);  23810.854
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          17.886;           2.013;           2.060;           2.023;           0.008 ( 0.380 %);  30167.001
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.205;           2.868;           3.085;           2.885;           0.036 ( 1.260 %);  21157.589
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          17.397;           2.268;           2.309;           2.277;           0.007 ( 0.317 %);  26804.718
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          17.227;           2.513;           2.706;           2.527;           0.033 ( 1.290 %);  24150.891
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.537;           1.970;           2.002;           1.980;           0.006 ( 0.292 %);  30833.387
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         139.878;           2.549;           2.720;           2.563;           0.029 ( 1.115 %);  23811.417
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          17.096;           2.015;           2.051;           2.023;           0.007 ( 0.323 %);  30165.194
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          39.056;           2.549;           2.745;           2.564;           0.033 ( 1.280 %);  23803.257
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         145.023;           2.012;           2.050;           2.022;           0.007 ( 0.326 %);  30181.466
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          33.441;           2.548;           2.835;           2.567;           0.049 ( 1.899 %);  23774.598
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          47.753;           2.015;           3.764;           2.246;           0.539 (23.993 %);  27169.915
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          38.578;           2.548;           2.748;           2.565;           0.033 ( 1.297 %);  23799.881
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          22.675;           2.013;           2.063;           2.024;           0.008 ( 0.417 %);  30153.452
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          19.842;           2.866;           3.071;           2.883;           0.034 ( 1.189 %);  21171.377
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          20.611;           2.267;           2.324;           2.279;           0.010 ( 0.459 %);  26782.976
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          41.730;           2.866;           3.059;           2.883;           0.032 ( 1.113 %);  21170.487
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          35.924;           2.264;           2.320;           2.277;           0.010 ( 0.433 %);  26800.082
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          23.060;           2.480;           2.593;           2.493;           0.019 ( 0.745 %);  24487.376
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          92.198;           1.959;           2.010;           1.970;           0.009 ( 0.433 %);  30988.510
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          55.858;           2.547;           2.746;           2.563;           0.033 ( 1.294 %);  23813.106
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          46.320;           2.015;           2.056;           2.024;           0.007 ( 0.349 %);  30157.064
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          23.024;           2.549;           2.733;           2.562;           0.031 ( 1.210 %);  23819.020
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          36.197;           2.267;           2.316;           2.278;           0.009 ( 0.394 %);  26797.586
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
