     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          22.071;           3.834;           4.059;           3.850;           0.038 ( 0.986 %);  15853.287
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          13.082;           3.022;           3.057;           3.031;           0.007 ( 0.222 %);  20139.789
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.687;           3.832;           4.079;           3.848;           0.042 ( 1.085 %);  15860.903
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          48.213;           3.022;           3.048;           3.030;           0.005 ( 0.175 %);  20140.997
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.753;           3.834;           4.078;           3.850;           0.041 ( 1.074 %);  15854.785
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          29.809;           3.023;           3.066;           3.032;           0.008 ( 0.266 %);  20131.133
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         174.007;           4.435;           4.701;           4.455;           0.045 ( 1.013 %);  13700.279
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          25.935;           3.496;           3.530;           3.506;           0.008 ( 0.224 %);  17410.879
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.852;           3.841;           4.080;           3.857;           0.040 ( 1.044 %);  15823.521
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         145.500;           3.022;           3.056;           3.031;           0.007 ( 0.222 %);  20137.574
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          26.031;           3.845;           4.085;           3.861;           0.040 ( 1.048 %);  15807.873
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          27.739;           3.026;           3.053;           3.034;           0.006 ( 0.191 %);  20120.073
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          39.683;           3.947;           4.205;           3.964;           0.044 ( 1.101 %);  15396.188
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          11.357;           3.107;           3.137;           3.117;           0.006 ( 0.201 %);  19582.711
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          52.192;           3.939;           4.209;           3.957;           0.046 ( 1.154 %);  15424.249
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          20.125;           3.107;           3.137;           3.115;           0.006 ( 0.187 %);  19596.238
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          15.774;           3.940;           4.189;           3.957;           0.042 ( 1.065 %);  15426.494
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.749;           3.105;           3.172;           3.115;           0.011 ( 0.358 %);  19592.616
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          28.025;           3.948;           4.164;           3.963;           0.036 ( 0.918 %);  15400.662
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          28.715;           3.106;           3.148;           3.114;           0.007 ( 0.241 %);  19597.573
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         175.934;           3.939;           4.219;           3.956;           0.048 ( 1.201 %);  15428.030
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          14.826;           3.106;           3.151;           3.115;           0.008 ( 0.261 %);  19596.238
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          46.219;           3.940;           4.159;           3.956;           0.037 ( 0.935 %);  15430.157
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          24.018;           3.105;          13.283;           3.424;           1.770 (51.697 %);  17827.424
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          24.484;           3.942;           4.204;           3.957;           0.045 ( 1.128 %);  15424.131
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;        1443.880;           3.023;           3.047;           3.031;           0.005 ( 0.168 %);  20139.789
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          36.102;           3.938;           4.216;           3.956;           0.047 ( 1.189 %);  15428.857
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          42.038;           3.106;           3.136;           3.115;           0.006 ( 0.191 %);  19595.476
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          20.937;           3.838;          18.441;           4.304;           2.539 (58.979 %);  14180.232
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          73.009;           3.023;           3.057;           3.031;           0.007 ( 0.221 %);  20137.775
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;         177.875;           3.834;           4.077;           3.850;           0.041 ( 1.066 %);  15852.040
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          29.303;           3.021;           3.062;           3.030;           0.007 ( 0.243 %);  20143.012
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          35.074;           3.838;           4.066;           3.853;           0.039 ( 1.001 %);  15842.065
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          25.201;           3.023;           3.072;           3.031;           0.009 ( 0.285 %);  20134.353
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          25.200;           3.834;           4.072;           3.850;           0.040 ( 1.043 %);  15852.913
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          24.631;           3.022;           3.070;           3.031;           0.009 ( 0.289 %);  20138.379
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          55.563;           3.833;           4.057;           3.849;           0.038 ( 0.985 %);  15857.781
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          19.823;           3.023;           3.086;           3.032;           0.011 ( 0.354 %);  20131.938
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          30.391;           3.842;           4.060;           3.857;           0.037 ( 0.956 %);  15825.759
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          16.518;           3.021;           3.086;           3.032;           0.011 ( 0.364 %);  20130.932
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          18.055;           3.840;           4.056;           3.856;           0.036 ( 0.946 %);  15829.490
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          22.416;           3.023;           3.088;           3.032;           0.011 ( 0.376 %);  20131.737
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          21.642;           3.940;           4.187;           3.956;           0.042 ( 1.059 %);  15428.857
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          20.431;           3.107;           3.155;           3.116;           0.008 ( 0.268 %);  19590.139
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          44.768;           3.941;           4.182;           3.956;           0.041 ( 1.035 %);  15427.794
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          23.531;           3.107;           3.153;           3.116;           0.008 ( 0.257 %);  19590.711
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          24.776;           3.833;           4.077;           3.850;           0.041 ( 1.071 %);  15854.036
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          16.628;           3.024;           3.052;           3.030;           0.006 ( 0.185 %);  20142.407
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          16.740;           3.833;           4.064;           3.850;           0.039 ( 1.006 %);  15852.289
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;         273.711;           3.022;           3.074;           3.031;           0.009 ( 0.299 %);  20138.379
     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;       1000;          16.493;           3.842;           4.114;           3.859;           0.046 ( 1.194 %);  15817.308
    UNROLL;           0.125;           0.000;           0.000;          8;       1000;          18.823;           3.025;           3.076;           3.034;           0.009 ( 0.303 %);  20115.853
