           0.423 (19.840 %)
           0.009 ( 0.449 %)
           0.009 ( 0.475 %)
           0.620 (26.832 %)
           0.008 ( 0.382 %)
           0.007 ( 0.330 %)
           0.007 ( 0.356 %)
           0.007 ( 0.350 %)
           0.008 ( 0.374 %)
           0.008 ( 0.402 %)
           0.007 ( 0.379 %)
           0.009 ( 0.462 %)
           0.008 ( 0.420 %)
           0.007 ( 0.338 %)
           0.008 ( 0.400 %)
           0.008 ( 0.380 %)
           0.007 ( 0.317 %)
           0.006 ( 0.292 %)
           0.007 ( 0.323 %)
           0.007 ( 0.326 %)
           0.539 (23.993 %)
           0.008 ( 0.417 %)
           0.010 ( 0.459 %)
           0.010 ( 0.433 %)
           0.009 ( 0.433 %)
           0.007 ( 0.349 %)
           0.009 ( 0.394 %)
           0.007 ( 0.323 %)
           0.009 ( 0.447 %)
           0.009 ( 0.446 %)
           0.008 ( 0.402 %)
           0.009 ( 0.380 %)
           0.007 ( 0.368 %)
           0.009 ( 0.439 %)
           0.009 ( 0.449 %)
           0.008 ( 0.427 %)
           0.009 ( 0.456 %)
           0.008 ( 0.409 %)
           0.008 ( 0.408 %)
           0.008 ( 0.419 %)
           0.012 ( 0.611 %)
           0.008 ( 0.418 %)
           0.008 ( 0.379 %)
           0.008 ( 0.396 %)
           0.006 ( 0.328 %)
           0.008 ( 0.411 %)
           0.009 ( 0.437 %)
           0.008 ( 0.378 %)
           0.007 ( 0.339 %)
           0.008 ( 0.402 %)
           0.008 ( 0.377 %)
           0.009 ( 0.437 %)
           0.009 ( 0.423 %)
           0.016 ( 0.782 %)
           0.009 ( 0.445 %)
           0.008 ( 0.428 %)
           0.009 ( 0.449 %)
           0.014 ( 0.730 %)
           0.007 ( 0.346 %)
           0.012 ( 0.523 %)
           0.007 ( 0.334 %)
           0.008 ( 0.413 %)
           0.009 ( 0.446 %)
           2.859 (110.212 %)
           0.165 ( 7.934 %)
           0.009 ( 0.442 %)
           0.008 ( 0.389 %)
           0.008 ( 0.410 %)
           0.007 ( 0.348 %)
           0.008 ( 0.409 %)
           0.009 ( 0.482 %)
           0.007 ( 0.377 %)
           0.013 ( 0.563 %)
           0.007 ( 0.340 %)
           0.009 ( 0.442 %)
           0.008 ( 0.410 %)
           0.008 ( 0.395 %)
           0.010 ( 0.484 %)
           0.007 ( 0.362 %)
           0.010 ( 0.425 %)
           0.008 ( 0.361 %)
           0.009 ( 0.425 %)
           0.009 ( 0.466 %)
           0.010 ( 0.489 %)
           0.007 ( 0.371 %)
           0.009 ( 0.465 %)
           0.006 ( 0.303 %)
           0.008 ( 0.394 %)
           0.009 ( 0.465 %)
           3.913 (114.684 %)
           0.011 ( 0.537 %)
           0.010 ( 0.448 %)
           0.008 ( 0.404 %)
           0.010 ( 0.423 %)
           0.007 ( 0.348 %)
           0.007 ( 0.369 %)
           2.181 (66.143 %)
           0.028 ( 1.474 %)
           0.012 ( 0.478 %)
           0.008 ( 0.416 %)
           0.008 ( 0.382 %)
