           0.024 ( 0.343 %)	           0.009 ( 0.438 %)	           0.423 (19.840 %)	           0.006 ( 0.325 %)	           0.007 ( 0.222 %)
           0.049 ( 0.684 %)	           0.010 ( 0.488 %)	           0.009 ( 0.449 %)	           0.007 ( 0.346 %)	           0.005 ( 0.175 %)
           0.034 ( 0.472 %)	           0.009 ( 0.439 %)	           0.009 ( 0.475 %)	           0.006 ( 0.305 %)	           0.008 ( 0.266 %)
           1.715 (22.600 %)	           0.009 ( 0.474 %)	           0.620 (26.832 %)	           0.006 ( 0.279 %)	           0.008 ( 0.224 %)
           0.031 ( 0.410 %)	           0.007 ( 0.342 %)	           0.008 ( 0.382 %)	           0.008 ( 0.398 %)	           0.007 ( 0.222 %)
           0.041 ( 0.545 %)	           0.007 ( 0.329 %)	           0.007 ( 0.330 %)	           0.006 ( 0.319 %)	           0.006 ( 0.191 %)
           0.059 ( 0.698 %)	           0.008 ( 0.400 %)	           0.007 ( 0.356 %)	           0.008 ( 0.375 %)	           0.006 ( 0.201 %)
           0.027 ( 0.365 %)	           0.011 ( 0.545 %)	           0.007 ( 0.350 %)	           0.007 ( 0.351 %)	           0.006 ( 0.187 %)
           0.047 ( 0.640 %)	           0.006 ( 0.305 %)	           0.008 ( 0.374 %)	           0.008 ( 0.411 %)	           0.011 ( 0.358 %)
           0.029 ( 0.404 %)	           0.007 ( 0.346 %)	           0.008 ( 0.402 %)	           0.006 ( 0.302 %)	           0.007 ( 0.241 %)
           0.031 ( 0.421 %)	           0.007 ( 0.380 %)	           0.007 ( 0.379 %)	           0.010 ( 0.510 %)	           0.008 ( 0.261 %)
           0.034 ( 0.452 %)	           0.010 ( 0.455 %)	           0.009 ( 0.462 %)	           0.008 ( 0.418 %)	           1.770 (51.697 %)
           0.038 ( 0.501 %)	           0.712 (29.717 %)	           0.008 ( 0.420 %)	           0.008 ( 0.416 %)	           0.005 ( 0.168 %)
           5.510 (65.103 %)	           0.010 ( 0.517 %)	           0.007 ( 0.338 %)	           0.008 ( 0.402 %)	           0.006 ( 0.191 %)
           0.042 ( 0.555 %)	           0.010 ( 0.512 %)	           0.008 ( 0.400 %)	           0.008 ( 0.383 %)	           0.007 ( 0.221 %)
           0.039 ( 0.523 %)	           0.011 ( 0.529 %)	           0.008 ( 0.380 %)	           0.006 ( 0.282 %)	           0.007 ( 0.243 %)
           0.028 ( 0.378 %)	           0.009 ( 0.439 %)	           0.007 ( 0.317 %)	           0.008 ( 0.386 %)	           0.009 ( 0.285 %)
           0.261 ( 3.557 %)	           0.011 ( 0.548 %)	           0.006 ( 0.292 %)	           0.007 ( 0.342 %)	           0.009 ( 0.289 %)
           0.224 ( 2.970 %)	           0.008 ( 0.404 %)	           0.007 ( 0.323 %)	           0.006 ( 0.315 %)	           0.011 ( 0.354 %)
           0.053 ( 0.712 %)	           0.007 ( 0.368 %)	           0.007 ( 0.326 %)	           0.008 ( 0.372 %)	           0.011 ( 0.364 %)
           3.622 (39.081 %)	           0.010 ( 0.515 %)	           0.539 (23.993 %)	           0.007 ( 0.345 %)	           0.011 ( 0.376 %)
           0.027 ( 0.357 %)	           0.011 ( 0.542 %)	           0.008 ( 0.417 %)	           0.009 ( 0.423 %)	           0.008 ( 0.268 %)
           0.028 ( 0.369 %)	           0.014 ( 0.675 %)	           0.010 ( 0.459 %)	           0.007 ( 0.355 %)	           0.008 ( 0.257 %)
           0.024 ( 0.324 %)	           0.009 ( 0.463 %)	           0.010 ( 0.433 %)	           0.009 ( 0.430 %)	           0.006 ( 0.185 %)
           0.039 ( 0.530 %)	           0.012 ( 0.612 %)	           0.009 ( 0.433 %)	           0.006 ( 0.307 %)	           0.009 ( 0.299 %)
           0.043 ( 0.569 %)	           0.020 ( 0.993 %)	           0.007 ( 0.349 %)	           0.007 ( 0.341 %)	           0.009 ( 0.303 %)
           0.058 ( 0.780 %)	           0.008 ( 0.387 %)	           0.009 ( 0.394 %)	           0.007 ( 0.353 %)	           0.010 ( 0.331 %)
           0.028 ( 0.380 %)	           0.010 ( 0.470 %)	           0.007 ( 0.323 %)	           0.009 ( 0.415 %)	           0.008 ( 0.270 %)
           3.819 (45.401 %)	           0.010 ( 0.493 %)	           0.009 ( 0.447 %)	           0.010 ( 0.429 %)	           0.011 ( 0.352 %)
           0.031 ( 0.413 %)	           0.011 ( 0.529 %)	           0.009 ( 0.446 %)	           0.007 ( 0.326 %)	           0.105 ( 3.336 %)
           3.428 (38.091 %)	           0.010 ( 0.436 %)	           0.008 ( 0.402 %)	           0.006 ( 0.260 %)	           0.009 ( 0.307 %)
           0.032 ( 0.441 %)	           0.010 ( 0.504 %)	           0.009 ( 0.380 %)	           0.006 ( 0.319 %)	           0.005 ( 0.181 %)
           0.043 ( 0.586 %)	           0.010 ( 0.452 %)	           0.007 ( 0.368 %)	           0.007 ( 0.353 %)	           0.007 ( 0.237 %)
           0.027 ( 0.364 %)	           0.007 ( 0.350 %)	           0.009 ( 0.439 %)	           0.007 ( 0.328 %)	           0.007 ( 0.238 %)
           0.037 ( 0.504 %)	           0.010 ( 0.487 %)	           0.009 ( 0.449 %)	           0.011 ( 0.406 %)	           0.025 ( 0.811 %)
           0.031 ( 0.422 %)	           0.008 ( 0.404 %)	           0.008 ( 0.427 %)	           0.009 ( 0.456 %)	           0.026 ( 0.829 %)
           0.028 ( 0.389 %)	           0.009 ( 0.459 %)	           0.009 ( 0.456 %)	           0.008 ( 0.396 %)	           0.008 ( 0.279 %)
           0.032 ( 0.437 %)	           0.009 ( 0.397 %)	           0.008 ( 0.409 %)	           0.006 ( 0.290 %)	           0.009 ( 0.227 %)
           0.036 ( 0.498 %)	           0.008 ( 0.410 %)	           0.008 ( 0.408 %)	           0.007 ( 0.332 %)	           0.006 ( 0.189 %)
           0.025 ( 0.344 %)	           0.009 ( 0.465 %)	           0.008 ( 0.419 %)	           0.006 ( 0.287 %)	           0.005 ( 0.181 %)
           0.041 ( 0.491 %)	           0.009 ( 0.468 %)	           0.012 ( 0.611 %)	           0.008 ( 0.401 %)	           0.010 ( 0.323 %)
           0.026 ( 0.361 %)	           0.006 ( 0.325 %)	           0.008 ( 0.418 %)	           0.007 ( 0.345 %)	           0.007 ( 0.199 %)
           0.057 ( 0.787 %)	           0.008 ( 0.426 %)	           0.008 ( 0.379 %)	           0.008 ( 0.416 %)	           0.011 ( 0.271 %)
           0.039 ( 0.458 %)	           0.008 ( 0.389 %)	           0.008 ( 0.396 %)	           0.007 ( 0.357 %)	           0.007 ( 0.245 %)
           2.536 (32.755 %)	           0.009 ( 0.467 %)	           0.006 ( 0.328 %)	           0.007 ( 0.343 %)	           0.006 ( 0.184 %)
