"","V1","V2","V3","V4","V5"
"1",6.83,0.193,0.106,0.035,0.043
"2",0.072,0.196,0.086,0.029,2.471
"3",0.063,0.155,0.089,0.033,0.045
"4",1.789,0.123,0.107,0.081,0.077
"5",0.061,0.182,0.029,0.033,0.053
"6",0.084,0.279,0.11,0.03,2.488
"7",0.917,0.165,2.213,0.03,0.073
"8",0.056,0.148,0.107,0.031,0.365
"9",0.065,0.159,0.104,0.029,0.085
"10",0.06,0.316,0.171,0.034,0.099
"11",0.062,0.18,0.101,0.035,0.207
"12",0.061,1.775,0.107,0.035,0.08
"13",0.071,0.06,0.027,0.037,0.093
"14",0.082,0.146,0.11,0.031,0.079
"15",0.042,0.178,0.102,0.016,0.097
"16",0.053,0.161,0.032,0.033,0.076
"17",2.429,0.223,0.03,0.019,0.045
"18",0.07,0.185,0.109,0.018,0.065
"19",2.639,0.15,0.112,0.058,0.076
"20",0.075,0.133,0.102,0.029,0.053
"21",0.072,0.096,0.107,0.018,0.049
"22",0.058,0.205,0.114,0.015,0.059
"23",0.036,0.166,0.106,0.02,0.04
"24",0.053,0.159,2.588,0.017,0.065
"25",0.048,0.278,0.111,0.017,0.06
"26",0.032,0.167,0.033,0.033,0.083
"27",0.071,0.193,0.11,0.017,0.035
"28",0.071,0.33,0.109,0.028,0.065
"29",0.061,0.212,0.262,0.014,0.066
"30",0.05,0.237,0.104,0.019,0.072
"31",0.057,0.293,0.108,0.031,0.064
"32",0.063,0.143,0.028,0.03,4.603
"33",0.053,0.194,0.111,0.034,0.07
"34",0.071,0.163,4.653,0.017,0.069
"35",0.06,0.167,0.142,0.034,0.073
"36",0.069,0.241,0.108,0.032,0.044
"37",0.067,0.137,0.108,1.628,0.06
"38",0.085,0.146,0.085,0.03,0.07
"39",0.08,0.155,0.249,2.563,0.05
"40",0.062,0.17,0.033,0.038,0.055
"41",0.076,0.199,0.033,0.388,0.049
"42",0.05,0.13,0.12,0.033,0.074
"43",0.059,0.165,0.211,0.035,0.045
"44",0.073,0.297,1.603,0.027,0.043
"45",0.074,0.175,0.036,0.035,0.06
"46",0.054,0.158,0.037,0.084,0.064
"47",0.04,0.194,0.134,0.033,0.057
"48",0.056,0.195,0.039,0.03,0.026
"49",0.048,0.233,0.107,0.036,0.062
"50",0.051,0.208,0.106,0.031,0.029
"51",0.175,0.308,0.115,0.036,0.065
"52",0.967,0.164,0.031,0.026,0.041
"53",1.776,0.17,0.109,0.03,0.017
"54",0.056,0.203,0.101,0.035,0.064
"55",0.074,0.168,0.117,0.028,0.071
"56",0.051,0.318,0.11,0.031,0.065
"57",0.062,0.144,0.1,0.035,0.029
"58",0.057,0.221,0.092,1.473,0.028
"59",1.67,0.169,0.03,0.044,0.054
"60",0.063,0.147,0.1,0.034,0.047
"61",1.626,0.127,0.1,0.027,0.07
"62",0.165,0.149,0.112,0.032,0.052
"63",0.071,0.16,0.108,0.02,0.041
"64",0.076,0.218,0.112,0.033,0.049
"65",0.071,0.276,1.269,0.022,0.036
"66",0.067,0.165,0.102,0.021,0.093
"67",0.067,0.183,2.493,0.03,0.053
"68",13.967,0.26,0.12,0.013,0.057
"69",0.056,0.277,0.097,0.032,0.043
"70",0.061,0.141,0.118,0.032,0.043
"71",0.047,0.198,0.102,0.034,0.053
"72",0.076,0.145,0.041,0.033,0.028
"73",0.073,0.131,0.1,0.016,2.538
"74",0.067,0.201,0.109,0.034,0.07
"75",0.046,0.297,0.102,0.03,0.068
"76",0.053,0.2,0.103,0.031,0.068
"77",0.044,0.235,0.033,0.033,0.083
"78",0.068,0.112,0.109,0.021,0.046
"79",0.059,0.249,0.104,0.033,0.053
"80",0.045,0.264,0.113,0.035,0.067
"81",0.07,0.223,0.031,0.021,0.066
"82",0.82,0.241,0.109,0.024,0.067
"83",0.045,0.317,0.035,0.017,0.081
"84",0.063,0.291,0.108,0.016,0.044
"85",0.054,0.282,0.112,0.031,0.071
"86",0.069,0.205,0.108,0.037,2.554
"87",0.06,0.383,0.103,0.031,0.052
"88",2.478,0.12,0.121,0.051,0.119
"89",0.062,0.225,0.104,0.031,0.062
"90",0.037,0.178,0.101,0.014,0.04
"91",0.065,4.279,0.108,0.814,0.049
"92",0.061,0.194,0.101,0.038,0.088
"93",0.078,2.593,0.11,0.038,0.074
"94",0.054,0.065,0.087,0.036,0.039
"95",0.039,0.169,0.104,0.02,0.055
"96",0.073,0.326,0.097,0.031,0.083
"97",0.057,1.165,0.029,0.031,0.034
"98",0.055,0.195,0.104,0.016,0.058
"99",0.058,1.231,0.101,0.027,0.048
"100",0.052,0.195,0.102,0.031,0.06
"101",0.059,9.699,0.091,0.028,0.057
