"","V1","V2","V3","V4","V5"
"1",9.799,1.959,1.938,1.989,2.423
"2",7.288,1.96,2.012,1.938,2.488
"3",7.491,2.014,2.016,1.99,2.488
"4",7.494,2.324,2.349,2.3,2.877
"5",7.496,2.012,2.085,2.045,2.564
"6",7.503,2.021,2.055,2.747,2.489
"7",7.288,2.087,2.078,2.045,2.491
"8",7.497,2.065,2.014,2.045,2.557
"9",8.428,2.009,2.011,2.044,2.559
"10",7.292,2.311,2.068,2.045,2.559
"11",7.29,2.315,2.067,2.294,4.175
"12",7.295,2.069,5.044,2.044,2.885
"13",8.314,2.333,2.068,2.046,3.317
"14",7.292,2.069,2.071,2.045,3.07
"15",7.287,2.007,2.051,2.046,2.973
"16",7.289,2.013,2.227,2.3,2.792
"17",7.498,2.084,2.008,1.989,2.877
"18",7.499,2.07,2.063,1.989,2.646
"19",8.425,2.036,2.073,1.992,2.561
"20",7.293,2.007,2.087,1.989,2.558
"21",7.498,2.073,2.088,1.989,2.558
"22",7.489,2.068,2.311,2.301,2.558
"23",7.297,2.013,2.003,1.991,2.562
"24",7.296,2.031,2.035,2.044,2.557
"25",7.29,2.007,2.067,2.045,2.558
"26",7.296,2.013,2.319,2.044,2.558
"27",7.494,2.009,2.049,2.045,2.876
"28",7.494,2.859,2.041,2.045,5.013
"29",7.29,2.087,2.078,2.044,3.29
"30",7.293,2.325,2.046,2.045,2.487
"31",7.293,2.019,2.063,2.045,2.878
"32",7.287,2.034,2.094,2.046,2.561
"33",7.29,2.075,2.079,2.044,2.558
"34",7.291,2.069,2.061,2.044,2.558
"35",7.292,2.067,2.072,2.045,2.558
"36",7.295,2.32,2.075,2.049,2.559
"37",7.295,2.067,2.565,2.053,2.557
"38",7.5,2.008,2.122,2.045,2.558
"39",7.494,2.03,3.613,2.231,2.561
"40",7.493,2.012,2.277,2.239,2.559
"41",8.432,1.97,2.369,2.301,2.558
"42",7.282,2.325,2.487,2.232,2.559
"43",7.906,2.333,4.695,2.307,2.558
"44",7.491,2.01,2.494,2.044,2.558
"45",7.492,2.028,2.838,2.046,2.557
"46",7.498,2.014,2.568,2.3,2.557
"47",7.3,2.006,2.581,2.309,2.557
"48",7.292,2.046,2.487,2.3,2.559
"49",7.493,2.33,2.403,2.044,2.557
"50",7.494,2.012,2.258,1.989,2.558
"51",7.506,2.017,2.195,1.99,2.878
"52",7.514,2.015,2.144,1.989,2.559
"53",7.523,2.017,2.065,1.99,2.557
"54",7.496,2.03,2.079,2.045,2.557
"55",7.488,2.04,2.068,2.045,2.557
"56",7.49,2.34,2.083,2.487,2.557
"57",7.498,2.084,2.013,2.045,2.558
"58",7.64,2.026,2.009,2.046,2.556
"59",7.492,2.064,2.012,2.052,2.557
"60",7.497,2.067,2.009,2.309,2.877
"61",7.495,2.012,2.016,1.983,2.881
"62",7.494,1.984,2.068,2.305,2.491
"63",11.321,2.088,2.089,2.044,2.489
"64",7.496,2.017,2.087,2.045,2.49
"65",7.494,2.028,2.074,2.045,2.489
"66",9.633,2.346,2.061,2.301,2.491
"67",7.403,2.335,2.136,1.99,2.492
"68",7.288,2.028,2.228,1.984,2.49
"69",7.3,2.08,2.237,2.045,2.558
"70",7.507,2.086,2.191,2.045,3.288
"71",7.5,2.064,2.152,2.045,2.489
"72",7.295,2.07,2.065,2.044,2.495
"73",7.3,2.021,2.082,2.045,2.558
"74",7.292,2.008,2.083,2.045,2.558
"75",7.302,2.021,2.046,2.301,2.558
"76",7.291,2.031,2.066,2.044,2.559
"77",7.294,2.067,2.085,2.3,2.557
"78",7.297,2.068,2.071,1.989,2.557
"79",7.292,2.082,2.067,1.989,2.878
"80",7.292,2.326,2.322,2.627,2.564
"81",8.43,2.069,2.009,2.299,2.56
"82",7.292,2.071,2.048,2.3,2.559
"83",7.289,2.039,2.072,1.99,2.877
"84",7.292,2.086,2.064,2.045,2.558
"85",7.29,2.082,2.066,1.989,2.557
"86",7.295,2.065,2.076,2.046,2.878
"87",7.287,2.321,2.068,1.991,2.557
"88",7.496,2.04,2.343,1.992,2.56
"89",7.496,2.071,2.05,2.045,2.561
"90",7.296,2.073,2.079,1.99,2.88
"91",7.288,3.633,2.058,2.05,2.558
"92",7.287,2.02,2.061,2.046,2.557
"93",7.287,2.032,2.073,2.046,2.557
"94",7.292,2.077,2.01,2.045,2.559
"95",7.295,2.347,2.014,2.042,3.289
"96",7.29,2.065,2.033,2.046,2.558
"97",7.291,2.095,2.03,1.989,2.491
"98",7.295,2.029,2.075,1.99,2.876
"99",7.291,2.09,2.068,2.044,2.488
"100",7.289,2.062,2.075,2.044,2.488
"101",7.292,2.017,2.074,2.046,2.877
