"","V1","V2","V3","V4","V5"
"1",7.209,0.041,0.039,0.042,0.007
"2",0.022,0.043,0.043,0.04,0.008
"3",0.03,0.044,0.044,0.041,0.009
"4",0.028,0.051,0.043,0.047,0.009
"5",0.038,0.044,0.041,0.043,0.006
"6",0.031,0.06,0.046,4.023,0.006
"7",0.028,0.038,0.043,0.042,0.007
"8",0.052,0.046,0.043,0.04,0.008
"9",0.033,0.044,0.043,0.042,0.017
"10",0.03,0.069,0.046,0.043,0.01
"11",0.032,1.522,0.046,0.009,0.094
"12",0.038,0.062,8.225,0.042,0.008
"13",2.581,0.069,0.045,0.042,1.416
"14",0.028,0.046,0.045,0.041,0.01
"15",0.024,0.044,0.044,0.044,0.014
"16",0.036,0.044,1.281,0.047,0.01
"17",0.033,0.06,0.043,0.041,0.01
"18",0.032,0.044,0.045,0.042,0.486
"19",0.034,0.053,0.062,0.041,0.01
"20",0.031,0.044,0.015,0.04,0.007
"21",0.044,0.043,0.038,0.04,0.008
"22",0.031,0.046,0.048,0.047,0.01
"23",0.031,0.043,0.061,0.039,0.008
"24",0.022,0.039,0.049,0.041,0.008
"25",0.031,0.044,0.061,0.043,0.01
"26",0.041,0.043,0.051,0.042,0.005
"27",0.031,0.043,0.042,0.041,0.007
"28",0.026,2.554,0.01,0.041,11.053
"29",0.031,0.041,0.043,0.041,0.01
"30",0.032,0.052,0.047,0.041,0.006
"31",0.032,0.058,0.046,0.041,0.007
"32",0.027,0.035,0.056,0.042,0.01
"33",0.037,0.045,0.041,0.042,0.006
"34",0.033,0.046,0.045,0.043,0.009
"35",0.03,0.045,0.045,0.044,0.01
"36",0.027,0.051,0.046,0.043,0.011
"37",0.039,0.046,2.835,0.065,0.005
"38",0.036,0.044,0.324,0.041,0.006
"39",0.03,0.038,0.036,0.046,0.008
"40",0.037,0.043,0.042,0.068,0.008
"41",0.032,0.04,0.006,0.048,0.007
"42",0.029,0.051,0.054,0.045,0.007
"43",2.485,0.051,1.437,0.069,0.01
"44",0.023,0.043,0.072,0.041,0.01
"45",0.028,0.039,1.291,0.042,0.007
"46",0.041,0.043,0.055,0.047,0.005
"47",0.045,0.044,0.075,0.071,0.007
"48",0.033,0.321,0.054,0.047,0.006
"49",0.029,0.051,0.052,0.043,0.007
"50",0.027,0.044,0.05,0.04,0.006
"51",0.055,0.043,0.046,0.042,0.009
"52",0.067,0.043,0.041,0.04,0.012
"53",0.062,0.044,0.044,0.041,0.005
"54",0.026,0.038,0.043,0.042,0.006
"55",0.04,0.008,0.062,0.042,0.009
"56",0.03,0.047,0.059,2.476,0.007
"57",0.029,0.039,0.044,0.042,0.009
"58",0.833,0.04,0.045,0.041,0.009
"59",0.024,0.045,0.043,0.066,0.006
"60",0.031,0.045,0.044,0.069,0.01
"61",0.029,0.045,0.043,0.006,0.007
"62",0.037,0.006,0.044,0.046,0.007
"63",10.491,0.038,0.038,0.043,0.007
"64",0.025,0.044,0.04,0.042,0.009
"65",0.038,0.039,0.061,0.042,0.009
"66",0.036,0.045,0.046,0.048,0.007
"67",0.626,0.07,0.064,0.041,0.007
"68",0.027,0.039,0.008,0.009,0.009
"69",0.03,0.042,0.046,0.042,0.008
"70",0.045,0.038,0.048,0.043,0.012
"71",0.042,0.045,0.056,0.042,0.007
"72",0.023,0.045,0.046,0.041,0.006
"73",0.047,0.043,0.042,0.042,0.009
"74",0.033,0.045,0.042,0.043,0.005
"75",0.036,0.06,0.047,0.045,0.008
"76",0.045,0.036,0.046,0.042,0.006
"77",0.035,0.045,0.039,0.046,0.008
"78",0.03,0.045,0.046,0.042,0.008
"79",0.026,0.06,0.044,0.04,0.012
"80",0.03,0.05,0.051,0.054,0.006
"81",0.033,0.046,0.045,0.048,0.019
"82",0.027,0.045,0.043,0.047,0.007
"83",0.031,0.007,0.045,0.042,0.008
"84",0.029,0.038,0.045,0.041,0.007
"85",0.035,0.042,0.045,0.042,0.005
"86",0.026,0.046,0.061,0.043,0.008
"87",0.039,0.052,0.044,0.04,0.007
"88",0.033,0.011,0.065,0.042,0.009
"89",0.045,0.043,0.041,0.042,0.008
"90",0.026,0.045,0.044,0.041,0.01
"91",0.031,0.618,0.046,0.043,0.009
"92",0.02,0.041,0.046,0.042,0.008
"93",0.034,0.036,0.088,0.043,0.006
"94",0.026,0.061,0.044,0.042,0.007
"95",0.03,0.042,0.043,0.007,0.012
"96",0.024,0.044,0.035,0.042,0.008
"97",0.048,0.053,0.037,0.042,0.007
"98",0.029,0.038,0.044,0.041,0.008
"99",0.026,0.037,0.046,0.041,0.007
"100",0.024,0.045,0.043,0.043,0.009
"101",0.026,0.061,0.046,0.042,0.007
