"","V1","V2","V3","V4","V5"
"1",16.063,4.115,3.954,2.22,3.85
"2",16.583,4.338,2.432,2.219,3.848
"3",15.563,4.117,2.495,2.28,3.85
"4",15.341,4.115,3.16,2.281,4.455
"5",15.759,4.23,2.56,2.287,3.857
"6",15.815,4.76,2.875,2.292,3.861
"7",17.731,4.228,2.56,2.28,3.964
"8",15.339,4.229,2.563,2.28,3.957
"9",15.388,4.122,2.565,2.284,3.957
"10",15.374,4.115,2.497,2.231,3.963
"11",16.994,4.113,2.494,2.215,3.956
"12",15.779,4.758,2.562,2.221,3.956
"13",16.039,4.249,2.586,2.216,3.957
"14",16.238,4.236,2.562,2.28,3.956
"15",15.755,4.23,2.566,2.28,4.304
"16",15.773,4.228,2.563,2.281,3.85
"17",15.428,4.228,2.885,2.28,3.853
"18",15.431,4.229,2.527,2.281,3.85
"19",15.766,4.232,2.563,2.285,3.849
"20",15.784,4.23,2.564,2.28,3.857
"21",15.827,4.23,2.567,2.281,3.856
"22",15.823,4.228,2.565,2.28,3.956
"23",15.997,4.231,2.883,2.279,3.956
"24",15.347,4.229,2.883,2.277,3.85
"25",15.331,4.232,2.493,2.276,3.85
"26",15.984,4.235,2.563,2.277,3.859
"27",15.829,4.232,2.562,2.281,3.85
"28",16.014,4.23,2.565,2.566,3.852
"29",15.761,4.229,2.562,2.564,3.955
"30",16.039,4.229,2.562,2.279,5.424
"31",15.92,4.761,2.564,2.566,3.849
"32",16.1,4.23,2.887,2.278,3.849
"33",15.394,4.76,2.562,2.279,3.961
"34",15.336,4.114,2.493,2.281,3.957
"35",15.537,4.115,2.495,3.158,3.96
"36",15.338,4.122,2.496,2.277,3.96
"37",15.346,4.121,2.493,2.217,3.848
"38",15.395,4.757,2.494,2.218,5.085
"39",15.336,4.119,2.541,2.218,3.853
"40",15.352,4.115,2.493,2.221,3.85
"41",17.739,4.121,2.494,2.219,3.957
"42",15.404,4.135,2.493,2.217,4.458
"43",15.336,4.113,2.564,2.219,5.355
"44",17.738,4.23,2.569,2.218,3.849
"45",15.768,4.229,2.494,2.218,3.849
"46",15.333,4.229,2.494,2.219,3.852
"47",15.342,4.233,2.565,2.216,5.509
"48",15.334,4.226,2.561,2.277,3.849
"49",15.763,4.114,2.573,2.28,3.955
"50",15.779,4.115,2.563,2.218,4.294
"51",15.337,4.229,2.561,2.218,4.09
"52",17.74,4.944,2.561,2.565,4.323
"53",15.768,4.229,2.561,2.28,4.326
"54",15.764,4.228,2.561,2.67,4.199
"55",15.347,4.235,2.49,2.219,4.436
"56",15.338,4.505,2.496,2.219,3.966
"57",15.343,4.229,2.494,2.28,3.957
"58",15.346,4.757,2.496,2.567,3.957
"59",15.334,4.228,2.56,2.281,3.957
"60",15.395,4.231,2.881,2.28,3.967
"61",15.335,4.117,2.495,2.28,3.96
"62",15.339,4.113,2.495,2.28,3.96
"63",17.726,4.761,2.493,2.28,3.963
"64",15.391,4.229,2.495,2.284,3.957
"65",17.744,4.228,2.61,2.28,4.374
"66",15.337,4.23,3.019,2.28,3.85
"67",15.345,4.229,2.569,2.281,3.85
"68",19.146,4.232,2.495,2.281,3.957
"69",16.991,4.229,2.491,2.28,3.964
"70",17.634,4.233,2.495,2.279,3.964
"71",15.765,4.23,2.502,2.282,3.96
"72",15.945,4.229,2.492,2.283,3.851
"73",15.752,4.758,2.884,2.282,3.849
"74",15.341,4.115,2.564,2.279,4.459
"75",15.764,4.757,2.495,2.281,3.957
"76",15.766,4.113,2.491,2.219,3.956
"77",15.405,4.757,2.495,2.221,3.851
"78",15.4,4.23,2.491,2.219,3.85
"79",15.349,4.23,2.493,2.219,3.905
"80",15.403,4.122,2.883,2.218,3.858
"81",15.335,4.119,2.884,2.221,3.96
"82",15.392,4.115,2.561,2.219,3.956
"83",15.346,4.115,2.563,2.282,3.956
"84",15.335,4.113,2.494,2.28,3.85
"85",15.821,4.755,2.49,2.219,3.849
"86",15.775,4.118,2.495,2.219,3.849
"87",16.451,4.229,2.561,2.28,3.85
"88",15.988,4.231,2.571,2.28,3.956
"89",15.768,4.114,2.559,2.287,3.955
"90",15.764,4.228,2.574,2.568,3.85
"91",15.76,4.756,2.785,2.283,3.856
"92",15.343,4.227,2.88,2.219,4.451
"93",17.739,4.115,2.564,2.218,3.849
"94",15.335,4.116,2.883,2.28,3.851
"95",15.341,4.236,2.564,2.281,4.461
"96",15.823,4.239,2.564,2.282,3.85
"97",15.83,4.23,2.563,2.279,3.965
"98",15.823,4.23,2.434,2.281,3.958
"99",15.765,4.229,3.297,2.219,3.85
"100",15.761,4.23,2.495,2.222,4.46
"101",15.762,4.116,2.492,2.565,4.459
