"","V1","V2","V3","V4","V5"
"1",4.386,0.02,2.803,0.032,0.038
"2",5.326,1.267,0.031,0.033,0.042
"3",1.279,0.02,0.031,0.035,0.041
"4",0.056,0.022,0.773,0.034,0.045
"5",0.049,0.021,0.018,0.06,0.04
"6",0.052,0.038,1.802,0.096,0.04
"7",0.065,0.024,0.017,0.033,0.044
"8",0.061,0.023,0.031,0.034,0.046
"9",0.056,0.02,0.033,0.056,0.042
"10",0.06,0.029,0.015,0.105,0.036
"11",6.73,0.017,0.031,0.012,0.048
"12",0.069,0.022,0.03,0.031,0.037
"13",1.606,0.033,0.16,0.016,0.045
"14",2.127,0.02,0.014,0.032,0.047
"15",0.065,0.021,0.033,0.03,2.539
"16",0.077,0.018,0.028,0.031,0.041
"17",0.265,0.022,0.036,0.016,0.039
"18",0.137,0.021,0.033,0.034,0.04
"19",0.064,0.028,0.029,0.033,0.038
"20",0.075,0.025,0.033,0.035,0.037
"21",0.053,0.021,0.049,0.031,0.036
"22",0.063,0.02,0.033,0.031,0.042
"23",1.307,0.033,0.034,0.03,0.041
"24",0.073,0.02,0.032,0.015,0.041
"25",0.053,0.017,0.019,0.013,0.039
"26",1.257,0.034,0.033,0.018,0.046
"27",0.109,0.027,0.031,0.033,0.045
"28",1.495,0.024,0.032,0.034,0.052
"29",0.066,0.019,0.017,0.031,0.041
"30",1.598,0.021,0.031,0.03,4.081
"31",0.914,0.027,0.035,0.033,0.038
"32",2.466,0.025,0.051,0.014,0.04
"33",0.063,0.033,0.027,0.031,0.048
"34",0.061,0.017,0.032,0.033,0.043
"35",1.109,0.016,0.033,1.299,0.059
"36",0.066,0.021,0.027,0.015,0.062
"37",0.064,0.014,0.032,0.029,0.038
"38",0.041,0.02,0.033,0.029,0.048
"39",0.057,0.025,0.317,0.016,0.048
"40",0.091,0.021,0.026,0.05,0.047
"41",0.072,0.016,0.031,0.03,0.043
"42",0.073,0.02,0.015,0.016,0.082
"43",0.071,0.02,0.029,0.033,1.545
"44",0.065,0.021,0.067,0.03,0.039
"45",0.064,0.019,0.03,0.019,0.04
"46",0.059,0.018,0.03,0.031,0.038
"47",0.047,0.026,0.028,0.017,5.162
"48",0.05,0.015,0.019,0.014,0.039
"49",0.046,0.024,0.031,0.032,0.04
"50",0.08,0.021,0.028,0.03,1.909
"51",0.065,0.02,0.013,0.031,0.062
"52",0.081,2.537,0.013,0.033,0.061
"53",0.076,0.019,0.015,0.029,0.048
"54",0.062,0.021,0.012,2.546,0.038
"55",0.055,0.029,0.014,0.035,2.53
"56",0.061,1.566,0.032,0.03,0.041
"57",0.055,0.019,0.033,0.03,0.038
"58",0.086,0.018,0.035,0.047,0.039
"59",0.072,0.021,0.016,0.03,0.044
"60",0.065,0.02,0.016,0.03,0.04
"61",0.051,0.022,0.033,0.029,0.051
"62",0.069,0.015,0.034,0.031,0.061
"63",0.066,0.022,0.027,0.031,0.037
"64",0.072,0.022,0.032,0.032,0.042
"65",0.099,0.015,0.147,0.032,2.519
"66",0.057,0.027,0.711,0.03,0.041
"67",0.11,0.027,0.036,0.03,0.043
"68",9.774,0.017,0.03,0.035,0.038
"69",4.786,0.025,0.016,0.032,0.039
"70",6.339,0.039,0.034,0.033,0.04
"71",0.063,0.018,0.032,0.014,0.061
"72",1.068,0.025,0.015,0.031,0.043
"73",0.055,0.02,0.03,0.042,0.038
"74",0.057,0.016,0.03,0.03,0.042
"75",0.076,0.021,0.031,0.031,0.046
"76",0.046,0.019,0.017,0.031,0.037
"77",0.057,0.018,0.026,0.033,0.042
"78",0.038,0.017,0.016,0.03,0.041
"79",0.054,0.022,0.027,0.029,0.178
"80",0.073,0.014,0.03,0.028,0.04
"81",0.078,0.027,0.032,0.032,0.059
"82",0.047,0.031,0.013,0.04,0.036
"83",0.059,0.021,0.029,0.036,0.04
"84",0.053,0.018,0.032,0.032,0.036
"85",0.054,0.019,0.017,0.031,0.038
"86",0.054,0.032,0.031,0.031,0.039
"87",1.906,0.019,0.014,0.029,0.041
"88",1.348,0.02,0.028,0.031,0.041
"89",0.051,0.017,0.014,0.068,0.036
"90",0.066,0.019,0.063,0.045,0.039
"91",0.052,0.024,1.27,0.047,0.038
"92",0.071,0.016,0.014,0.031,0.043
"93",0.062,0.016,0.04,0.031,0.04
"94",0.051,0.026,0.032,0.032,0.038
"95",0.064,0.02,0.035,0.032,0.046
"96",0.038,0.03,0.028,0.031,0.043
"97",0.05,0.022,0.03,0.029,0.042
"98",0.074,0.017,0.027,0.028,0.046
"99",0.05,0.019,0.042,0.031,0.047
"100",0.047,0.024,0.031,0.052,0.045
"101",0.052,0.02,0.02,0.034,0.043
