"","V1","V2","V3","V4","V5"
"1",7.095,1.97,2.131,1.971,3.031
"2",7.101,1.969,1.972,1.968,3.03
"3",7.289,1.969,1.969,2.023,3.032
"4",7.589,1.968,2.31,2.023,3.506
"5",7.492,2.024,2.026,2.025,3.031
"6",7.49,2.276,2.024,2.023,3.034
"7",8.435,2.024,2.024,2.023,3.117
"8",7.286,2.024,2.023,2.023,3.115
"9",7.296,1.968,2.025,2.022,3.115
"10",7.289,1.966,1.97,1.969,3.114
"11",7.293,1.969,1.969,1.97,3.115
"12",7.496,2.279,2.024,1.969,3.424
"13",7.494,2.396,2.023,1.968,3.031
"14",8.463,2.024,2.024,2.025,3.115
"15",7.496,2.025,2.027,2.023,3.031
"16",7.492,2.025,2.023,2.023,3.03
"17",7.289,2.024,2.277,2.025,3.031
"18",7.335,2.024,1.98,2.022,3.031
"19",7.527,2.023,2.023,2.025,3.032
"20",7.5,2.024,2.022,2.023,3.032
"21",9.267,2.025,2.246,2.023,3.032
"22",7.494,2.025,2.024,2.023,3.116
"23",7.494,2.028,2.279,2.023,3.116
"24",7.284,2.025,2.277,2.024,3.03
"25",7.292,2.026,1.97,2.023,3.031
"26",7.496,2.028,2.024,2.024,3.034
"27",7.494,2.024,2.278,2.023,3.031
"28",7.486,2.025,2.025,2.277,3.031
"29",8.412,2.023,2.023,2.278,3.115
"30",7.488,2.024,2.026,2.024,3.134
"31",9,2.277,2.025,2.276,3.032
"32",7.287,2.025,2.275,2.024,3.03
"33",7.289,2.279,2.024,2.023,3.118
"34",7.294,1.969,1.971,2.026,3.115
"35",7.291,1.969,1.966,2.604,3.118
"36",7.286,1.969,1.968,2.025,3.119
"37",7.291,1.969,1.97,1.969,3.031
"38",7.28,2.275,1.969,1.969,4.005
"39",7.29,1.97,1.969,1.969,3.031
"40",7.286,1.969,1.968,1.97,3.03
"41",8.434,1.97,1.969,1.97,3.116
"42",7.292,1.981,1.969,1.968,3.504
"43",7.294,1.969,2.022,1.97,4.006
"44",8.423,2.024,2.025,1.968,3.032
"45",7.742,2.023,1.967,1.972,3.03
"46",7.306,2.247,1.968,1.969,3.034
"47",7.29,2.025,2.022,1.969,3.12
"48",7.297,2.022,2.022,2.026,3.035
"49",7.499,1.968,2.024,2.023,3.115
"50",7.489,1.969,2.023,1.969,3.135
"51",7.286,2.024,2.023,1.968,3.208
"52",8.433,2.704,2.024,2.276,3.402
"53",7.492,2.023,2.024,2.023,3.404
"54",7.508,2.689,2.024,1.97,3.3
"55",7.285,2.023,1.97,1.969,3.115
"56",7.289,2.023,1.969,1.968,3.115
"57",7.289,2.024,1.968,2.024,3.116
"58",7.29,2.278,1.97,2.276,3.116
"59",7.285,2.022,2.023,2.023,3.114
"60",7.29,2.024,2.276,2.024,3.114
"61",7.301,1.967,1.969,2.024,3.117
"62",7.298,1.969,1.969,2.024,3.118
"63",8.436,2.278,1.969,2.024,3.118
"64",7.292,2.025,2.594,2.026,3.116
"65",8.437,2.023,2.075,2.023,3.032
"66",7.29,2.024,2.024,2.023,3.033
"67",7.291,2.023,2.022,2.022,3.033
"68",7.493,2.025,1.971,2.023,3.115
"69",7.497,2.024,1.967,2.024,3.114
"70",7.494,2.029,1.968,2.024,3.115
"71",7.496,2.02,1.968,2.023,3.116
"72",7.496,2.023,1.968,2.023,3.03
"73",7.493,2.274,2.278,2.024,3.031
"74",7.298,1.97,2.028,2.024,3.506
"75",7.489,2.28,1.972,2.022,3.118
"76",7.526,1.968,1.97,1.969,3.116
"77",7.291,2.278,1.967,1.968,3.031
"78",7.294,2.025,1.968,1.969,3.033
"79",7.29,2.022,1.97,1.971,3.03
"80",7.296,1.969,2.277,1.969,3.03
"81",7.291,1.968,2.275,1.969,3.115
"82",7.288,1.97,2.024,1.968,3.116
"83",7.315,1.97,2.023,2.022,3.115
"84",7.291,1.969,1.968,2.021,3.031
"85",7.499,2.275,1.969,1.968,3.035
"86",7.494,1.965,1.97,1.971,3.031
"87",7.499,2.025,2.024,2.023,3.041
"88",7.494,2.023,2.025,2.022,3.118
"89",7.491,1.97,2.024,2.024,3.115
"90",7.49,2.248,3.412,2.278,3.032
"91",7.49,2.276,2.022,2.024,3.03
"92",7.298,2.024,2.276,1.97,3.504
"93",8.436,1.97,2.025,1.969,3.03
"94",7.286,1.968,2.277,2.024,3.032
"95",7.301,2.023,2.025,2.023,3.506
"96",7.491,2.024,2.023,2.023,3.037
"97",7.493,2.022,3.297,2.022,3.115
"98",7.488,2.022,1.92,2.024,3.116
"99",7.501,2.024,2.605,1.968,3.03
"100",7.496,2.023,1.968,1.968,3.504
"101",7.488,1.968,1.969,2.275,3.504
